About	RB	about
10	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
went	VBD	go
through	IN	through
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
hard	JJ	hard
time	NN	time
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
go	VB	go
see	VB	see
a	DT	a
therapist	NN	therapist
.	SENT	.
I	PP	I
had	VBD	have
been	VBN	be
seeing	VBG	see
her	PP	her
for	IN	for
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
when	WRB	when
she	PP	she
looked	VBD	look
at	IN	at
me	PP	me
one	CD	one
day	NN	day
and	CC	and
said	VBD	say
,	,	,
"	``	"
Who	WP	who
actually	RB	actually
raised	VBD	raise
you	PP	you
until	IN	until
you	PP	you
were	VBD	be
three	CD	three
?	SENT	?
"	''	"
Seemed	VBN	seem
like	IN	like
a	DT	a
weird	JJ	weird
question	NN	question
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
My	PP$	my
parents	NNS	parent
.	SENT	.
"	``	"
And	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
actually	RB	actually
the	DT	the
case	NN	case
;	:	;
because	IN	because
if	IN	if
it	PP	it
were	VBD	be
,	,	,
we	PP	we
'	POS	'
d	NN	d
be	VB	be
dealing	VBG	deal
with	IN	with
things	NNS	thing
that	WDT	that
are	VBP	be
far	RB	far
more	RBR	more
complicated	JJ	complicated
than	IN	than
just	RB	just
this	DT	this
.	SENT	.
"	''	"
It	PP	it
sounded	VBD	sound
like	IN	like
the	DT	the
setup	NN	setup
to	TO	to
a	DT	a
joke	NN	joke
,	,	,
but	CC	but
I	PP	I
knew	VBD	know
she	PP	she
was	VBD	be
serious	JJ	serious
.	SENT	.
Because	IN	because
when	WRB	when
I	PP	I
first	RB	first
started	VBD	start
seeing	VBG	see
her	PP	her
,	,	,
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
be	VB	be
the	DT	the
funniest	JJS	funny
person	NN	person
in	IN	in
the	DT	the
room	NN	room
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
try	VB	try
and	CC	and
crack	VB	crack
these	DT	these
jokes	NNS	joke
,	,	,
but	CC	but
she	PP	she
caught	VBD	catch
on	IN	on
to	TO	to
me	PP	me
really	RB	really
quickly	RB	quickly
,	,	,
and	CC	and
whenever	WRB	whenever
I	PP	I
tried	VBD	try
to	TO	to
make	VB	make
a	DT	a
joke	NN	joke
,	,	,
she	PP	she
would	MD	would
look	VB	look
at	IN	at
me	PP	me
and	CC	and
say	VBP	say
,	,	,
"	``	"
That	DT	that
is	VBZ	be
actually	RB	actually
really	RB	really
sad	JJ	sad
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
terrible	JJ	terrible
.	SENT	.
So	RB	so
I	PP	I
knew	VBD	know
I	PP	I
had	VBD	have
to	TO	to
be	VB	be
serious	JJ	serious
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
my	PP$	my
parents	NNS	parent
who	WP	who
had	VBD	have
actually	RB	actually
raised	VBN	raise
me	PP	me
until	IN	until
I	PP	I
was	VBD	be
three	CD	three
?	SENT	?
And	CC	and
to	TO	to
my	PP$	my
surprise	NN	surprise
,	,	,
they	PP	they
said	VBD	say
my	PP$	my
primary	JJ	primary
caregiver	NN	caregiver
had	VBD	have
been	VBN	be
a	DT	a
distant	JJ	distant
relative	NN	relative
of	IN	of
the	DT	the
family	NN	family
.	SENT	.
I	PP	I
had	VBD	have
called	VBN	call
her	PP$	her
my	PP$	my
auntie	NN	auntie
.	SENT	.
I	PP	I
remember	VBP	remember
my	PP$	my
auntie	NN	auntie
so	RB	so
clearly	RB	clearly
,	,	,
it	PP	it
felt	VBD	feel
like	IN	like
she	PP	she
had	VBD	have
been	VBN	be
part	NN	part
of	IN	of
my	PP$	my
life	NN	life
when	WRB	when
I	PP	I
was	VBD	be
much	RB	much
older	JJR	old
.	SENT	.
I	PP	I
remember	VBP	remember
the	DT	the
thick	JJ	thick
,	,	,
straight	JJ	straight
hair	NN	hair
,	,	,
and	CC	and
how	WRB	how
it	PP	it
would	MD	would
come	VB	come
around	IN	around
me	PP	me
like	VBP	like
a	DT	a
curtain	NN	curtain
when	WRB	when
she	PP	she
bent	VBD	bend
to	TO	to
pick	VB	pick
me	PP	me
up	RP	up
;	:	;
her	PP$	her
soft	JJ	soft
,	,	,
southern	JJ	southern
Thai	JJ	Thai
accent	NN	accent
;	:	;
the	DT	the
way	NN	way
I	PP	I
would	MD	would
cling	VB	cling
to	TO	to
her	PP	her
,	,	,
even	RB	even
if	IN	if
she	PP	she
just	RB	just
wanted	VBD	want
to	TO	to
go	VB	go
to	TO	to
the	DT	the
bathroom	NN	bathroom
or	CC	or
get	VB	get
something	NN	something
to	TO	to
eat	VB	eat
.	SENT	.
I	PP	I
loved	VBD	love
her	PP	her
,	,	,
but	RB	but
[	SYM	[
with	IN	with
]	SYM	]
the	DT	the
ferocity	NN	ferocity
that	IN	that
a	DT	a
child	NN	child
has	VBZ	have
sometimes	RB	sometimes
before	IN	before
she	PP	she
understands	VBZ	understand
that	DT	that
love	NN	love
also	RB	also
requires	VBZ	require
letting	VBG	let
go	VB	go
.	SENT	.
But	CC	but
my	PP$	my
clearest	JJS	clear
and	CC	and
sharpest	JJS	sharp
memory	NN	memory
of	IN	of
my	PP$	my
auntie	NN	auntie
,	,	,
is	VBZ	be
also	RB	also
one	CD	one
of	IN	of
my	PP$	my
first	JJ	first
memories	NNS	memory
of	IN	of
life	NN	life
at	IN	at
all	DT	all
.	SENT	.
I	PP	I
remember	VBP	remember
her	PP$	her
being	VBG	be
beaten	VBN	beat
and	CC	and
slapped	VBN	slap
by	IN	by
another	DT	another
member	NN	member
of	IN	of
my	PP$	my
family	NN	family
.	SENT	.
I	PP	I
remember	VBP	remember
screaming	VBG	scream
hysterically	RB	hysterically
and	CC	and
wanting	VBG	want
it	PP	it
to	TO	to
stop	VB	stop
,	,	,
as	IN	as
I	PP	I
did	VBD	do
every	DT	every
single	JJ	single
time	NN	time
it	PP	it
happened	VBD	happen
,	,	,
for	IN	for
things	NNS	thing
as	IN	as
minor	JJ	minor
as	IN	as
wanting	VBG	want
to	TO	to
go	VB	go
out	RP	out
with	IN	with
her	PP$	her
friends	NNS	friend
,	,	,
or	CC	or
being	VBG	be
a	DT	a
little	RB	little
late	JJ	late
.	SENT	.
I	PP	I
became	VBD	become
so	RB	so
hysterical	JJ	hysterical
over	IN	over
her	PP$	her
treatment	NN	treatment
,	,	,
that	WDT	that
eventually	RB	eventually
,	,	,
she	PP	she
was	VBD	be
just	RB	just
beaten	VBN	beat
behind	IN	behind
closed	JJ	closed
doors	NNS	door
.	SENT	.
Things	NNS	thing
got	VBD	get
so	RB	so
bad	JJ	bad
for	IN	for
her	PP	her
that	IN	that
eventually	RB	eventually
she	PP	she
ran	VBD	run
away	RB	away
.	SENT	.
As	IN	as
an	DT	an
adult	NN	adult
,	,	,
I	PP	I
learned	VBD	learn
later	RBR	later
that	IN	that
she	PP	she
had	VBD	have
been	VBN	be
just	RB	just
19	CD	@card@
when	WRB	when
she	PP	she
was	VBD	be
brought	VBN	bring
over	RP	over
from	IN	from
Thailand	NP	Thailand
to	TO	to
the	DT	the
States	NPS	States
to	TO	to
care	VB	care
for	IN	for
me	PP	me
,	,	,
on	IN	on
a	DT	a
tourist	NN	tourist
visa	NN	visa
.	SENT	.
She	PP	she
wound	VBD	wind
up	RP	up
working	VBG	work
in	IN	in
Illinois	NP	Illinois
for	IN	for
a	DT	a
time	NN	time
,	,	,
before	IN	before
eventually	RB	eventually
returning	VBG	return
to	TO	to
Thailand	NP	Thailand
,	,	,
which	WDT	which
is	VBZ	be
where	WRB	where
I	PP	I
ran	VBD	run
into	IN	into
her	PP$	her
again	RB	again
,	,	,
at	IN	at
a	DT	a
political	JJ	political
rally	NN	rally
in	IN	in
Bangkok	NP	Bangkok
.	SENT	.
I	PP	I
clung	VBD	cling
to	TO	to
her	PP$	her
again	RB	again
,	,	,
as	IN	as
I	PP	I
had	VBD	have
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
child	NN	child
,	,	,
and	CC	and
I	PP	I
let	VBP	let
go	VB	go
,	,	,
and	CC	and
then	RB	then
I	PP	I
promised	VBD	promise
that	IN	that
I	PP	I
would	MD	would
call	VB	call
.	SENT	.
I	PP	I
never	RB	never
did	VBD	do
,	,	,
though	RB	though
.	SENT	.
Because	IN	because
I	PP	I
was	VBD	be
afraid	JJ	afraid
if	IN	if
I	PP	I
said	VBD	say
everything	NN	everything
that	IN	that
she	PP	she
meant	VBD	mean
to	TO	to
me	PP	me
—	:	-
that	IN	that
I	PP	I
owed	VBD	owe
perhaps	RB	perhaps
the	DT	the
best	JJS	good
parts	NNS	part
of	IN	of
who	WP	who
I	PP	I
became	VBD	become
to	TO	to
her	PP$	her
care	NN	care
,	,	,
and	CC	and
that	IN	that
the	DT	the
words	NNS	word
"	``	"
I	NP	I
'	POS	'
m	NN	m
sorry	RB	sorry
"	''	"
were	VBD	be
like	IN	like
a	DT	a
thimble	NN	thimble
to	TO	to
bail	VB	bail
out	RP	out
all	PDT	all
the	DT	the
guilt	NN	guilt
and	CC	and
shame	NN	shame
and	CC	and
rage	NN	rage
I	PP	I
felt	VBD	feel
over	IN	over
everything	NN	everything
she	PP	she
had	VBD	have
endured	VBN	endure
to	TO	to
care	VB	care
for	IN	for
me	PP	me
for	IN	for
as	RB	as
long	JJ	long
as	IN	as
she	PP	she
had	VBD	have
—	:	-
I	PP	I
thought	VBD	think
if	IN	if
I	PP	I
said	VBD	say
those	DT	those
words	NNS	word
to	TO	to
her	PP	her
,	,	,
I	PP	I
would	MD	would
never	RB	never
