Hello	UH	hello
,	,	,
brains	NNS	brain
!	SENT	!
I	PP	I
say	VBP	say
that	IN	that
to	TO	to
you	PP	you
because	IN	because
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
you	PP	you
that	RB	that
decided	VBD	decide
to	TO	to
come	VB	come
here	RB	here
today	NN	today
.	SENT	.
It	PP	it
was	VBD	be
your	PP$	your
brain	NN	brain
.	SENT	.
And	CC	and
whether	IN	whether
you	PP	you
decided	VBD	decide
to	TO	to
walk	VB	walk
,	,	,
or	CC	or
drive	VB	drive
,	,	,
take	VB	take
a	DT	a
taxi	NN	taxi
,	,	,
or	CC	or
ride	VB	ride
a	DT	a
bike	NN	bike
,	,	,
that	DT	that
decision	NN	decision
was	VBD	be
made	VBN	make
by	IN	by
your	PP$	your
brain	NN	brain
.	SENT	.
Behavior	NN	behavior
,	,	,
all	DT	all
behavior	NN	behavior
,	,	,
is	VBZ	be
affected	VBN	affect
by	IN	by
the	DT	the
brain	NN	brain
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
story	NN	story
about	IN	about
my	PP$	my
brain	NN	brain
.	SENT	.
So	RB	so
,	,	,
I	PP	I
was	VBD	be
a	DT	a
smart	JJ	smart
kid	NN	kid
.	SENT	.
By	IN	by
18	CD	@card@
months	NNS	month
,	,	,
I	PP	I
was	VBD	be
speaking	VBG	speak
in	IN	in
full	JJ	full
sentences	NNS	sentence
.	SENT	.
By	IN	by
third	JJ	third
grade	NN	grade
,	,	,
I	PP	I
was	VBD	be
scoring	VBG	score
post-high	JJ	post-high
school	NN	school
on	IN	on
standardized	JJ	standardized
tests	NNS	test
.	SENT	.
I	PP	I
had	VBD	have
,	,	,
as	IN	as
all	PDT	all
my	PP$	my
teachers	NNS	teacher
agreed	VBD	agree
,	,	,
so	RB	so
much	RB	much
potential	JJ	potential
.	SENT	.
I	PP	I
was	VBD	be
also	RB	also
struggling	VBG	struggle
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
many	JJ	many
,	,	,
any	RB	any
,	,	,
friends	NNS	friend
outside	JJ	outside
of	IN	of
books	NNS	book
.	SENT	.
I	PP	I
was	VBD	be
easily	RB	easily
overwhelmed	VBN	overwhelm
.	SENT	.
I	PP	I
spaced	VBD	space
out	RP	out
in	IN	in
class	NN	class
.	SENT	.
I	PP	I
lost	VBD	lose
things	NNS	thing
constantly	RB	constantly
.	SENT	.
And	CC	and
trying	VBG	try
to	TO	to
get	VB	get
my	PP$	my
brain	NN	brain
to	TO	to
focus	VB	focus
on	IN	on
anything	NN	anything
I	PP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
excited	VBD	excite
about	RB	about
was	VBD	be
like	IN	like
trying	VBG	try
to	TO	to
nail	VB	nail
jello	NN	jello
to	TO	to
the	DT	the
