When	WRB	when
I	PP	I
was	VBD	be
raising	VBG	raise
investment	NN	investment
for	IN	for
my	PP$	my
startup	NN	startup
,	,	,
a	DT	a
venture	NN	venture
capitalist	NN	capitalist
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	''	"
Ashwini	NP	<unknown>
,	,	,
I	PP	I
think	VBP	think
you	PP	you
'	''	'
re	IN	re
going	VBG	go
to	TO	to
raise	VB	raise
a	DT	a
few	JJ	few
million	CD	million
dollars	NNS	dollar
.	SENT	.
And	CC	and
your	PP$	your
company	NN	company
â	NP	<unknown>
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
sell	VB	sell
for	IN	for
50	CD	@card@
to	TO	to
70	CD	@card@
million	CD	million
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
really	RB	really
excited	VBN	excite
.	SENT	.
Your	PP$	your
early	JJ	early
investors	NNS	investor
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
really	RB	really
excited	VBN	excite
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
really	RB	really
upset	VBN	upset
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
invest	VB	invest
in	IN	in
this	DT	this
deal	NN	deal
.	SENT	.
"	``	"
I	PP	I
remember	VBP	remember
just	RB	just
being	VBG	be
dumbstruck	JJ	dumbstruck
.	SENT	.
Who	WP	who
would	MD	would
be	VB	be
unhappy	JJ	unhappy
with	IN	with
putting	VBG	put
four	CD	four
or	CC	or
five	CD	five
million	CD	million
dollars	NNS	dollar
into	IN	into
a	DT	a
company	NN	company
and	CC	and
having	VBG	have
it	PP	it
sell	VB	sell
for	IN	for
50	CD	@card@
to	TO	to
70	CD	@card@
million	CD	million
?	SENT	?
I	PP	I
was	VBD	be
a	DT	a
first-time	JJ	first-time
founder	NN	founder
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
wealthy	JJ	wealthy
network	NN	network
of	IN	of
individuals	NNS	individual
to	TO	to
turn	VB	turn
to	TO	to
for	IN	for
investment	NN	investment
,	,	,
so	RB	so
I	PP	I
went	VBD	go
to	TO	to
venture	VB	venture
capitalists	NNS	capitalist
the	DT	the
most	RBS	most
common	JJ	common
form	NN	form
of	IN	of
investor	NN	investor
in	IN	in
a	DT	a
technology	NN	technology
company	NN	company
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
d	NN	d
never	RB	never
taken	VBN	take
the	DT	the
time	NN	time
to	TO	to
understand	VB	understand
what	WP	what
was	VBD	be
motivating	VBG	motivate
that	DT	that
VC	NP	VC
to	TO	to
invest	VB	invest
.	SENT	.
I	PP	I
believe	VBP	believe
we	PP	we
'	''	'
re	IN	re
living	VBG	live
