Paul	NP	Paul
Krugman	NP	Krugman
,	,	,
the	DT	the
Nobel	NP	Nobel
Prize	NP	Prize
[	SYM	[
winner	NN	winner
]	SYM	]
in	IN	in
economics	NNS	economics
,	,	,
once	RB	once
wrote	VBD	write
:	:	:
"	``	"
Productivity	NN	productivity
is	VBZ	be
not	RB	not
everything	NN	everything
,	,	,
but	CC	but
in	IN	in
the	DT	the
long	JJ	long
run	NN	run
,	,	,
it	PP	it
is	VBZ	be
almost	RB	almost
everything	NN	everything
.	SENT	.
"	''	"
So	RB	so
this	DT	this
is	VBZ	be
serious	JJ	serious
.	SENT	.
There	EX	there
are	VBP	be
not	RB	not
that	DT	that
many	JJ	many
things	NNS	thing
on	IN	on
earth	NN	earth
that	WDT	that
are	VBP	be
"	``	"
almost	RB	almost
everything	NN	everything
.	SENT	.
"	``	"
Productivity	NN	productivity
is	VBZ	be
the	DT	the
principal	JJ	principal
driver	NN	driver
of	IN	of
the	DT	the
prosperity	NN	prosperity
of	IN	of
a	DT	a
society	NN	society
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
a	DT	a
problem	NN	problem
.	SENT	.
In	IN	in
the	DT	the
largest	JJS	large
European	JJ	European
economies	NNS	economy
,	,	,
productivity	NN	productivity
used	VBD	use
to	TO	to
grow	VB	grow
five	CD	five
percent	NN	percent
per	IN	per
annum	NN	annum
in	IN	in
the	DT	the
'	''	'
50s	NN	50s
,	,	,
'	''	'
60s	JJ	<unknown>
,	,	,
early	JJ	early
'	''	'
70s	NNS	<unknown>
.	SENT	.
From	IN	from
'	''	'
73	JJ	@card@
to	TO	to
'	''	'
83	CD	@card@
:	:	:
three	CD	three
percent	NN	percent
per	IN	per
annum	NN	annum
.	SENT	.
From	IN	from
'	''	'
83	JJ	@card@
to	TO	to
'	''	'
95	CD	@card@
:	:	:
two	CD	two
percent	NN	percent
per	IN	per
annum	NN	annum
.	SENT	.
Since	IN	since
1995	CD	@card@
:	:	:
less	JJR	less
than	IN	than
one	CD	one
percent	NN	percent
per	IN	per
annum	NN	annum
.	SENT	.
The	DT	the
same	JJ	same
profile	NN	profile
in	IN	in
Japan	NP	Japan
.	SENT	.
The	DT	the
same	JJ	same
profile	NN	profile
in	IN	in
the	DT	the
US	NP	US
,	,	,
despite	IN	despite
a	DT	a
momentary	JJ	momentary
rebound	NN	rebound
15	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
despite	IN	despite
all	PDT	all
the	DT	the
technological	JJ	technological
innovations	NNS	innovation
around	IN	around
us	PP	us
:	:	:
the	DT	the
Internet	NN	Internet
,	,	,
the	DT	the
information	NN	information
,	,	,
the	DT	the
new	JJ	new
information	NN	information
and	CC	and
communication	NN	communication
technologies	NNS	technology
.	SENT	.
When	WRB	when
productivity	NN	productivity
grows	VBZ	grow
three	CD	three
percent	NN	percent
per	IN	per
annum	NN	annum
,	,	,
you	PP	you
double	VBP	double
the	DT	the
standard	NN	standard
of	IN	of
living	VBG	live
every	DT	every
generation	NN	generation
.	SENT	.
Every	DT	every
generation	NN	generation
is	VBZ	be
twice	RB	twice
as	RB	as
well-off	JJ	well-off
as	IN	as
its	PP$	its
parents	NNS	parent
'	POS	'
.	SENT	.
When	WRB	when
it	PP	it
grows	VBZ	grow
one	CD	one
percent	NN	percent
per	IN	per
annum	NN	annum
,	,	,
it	PP	it
takes	VBZ	take
three	CD	three
generations	NNS	generation
to	TO	to
double	VB	double
the	DT	the
standard	NN	standard
of	IN	of
living	NN	living
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
process	NN	process
,	,	,
many	JJ	many
people	NNS	people
will	MD	will
be	VB	be
less	RBR	less
well-off	JJ	well-off
than	IN	than
their	PP$	their
parents	NNS	parent
.	SENT	.
They	PP	they
will	MD	will
have	VB	have
less	JJR	less
of	IN	of
everything	NN	everything
:	:	:
smaller	JJR	small
roofs	NNS	roof
,	,	,
or	CC	or
perhaps	RB	perhaps
no	DT	no
roof	NN	roof
at	IN	at
all	DT	all
,	,	,
less	JJR	less
access	NN	access
to	TO	to
education	NN	education
,	,	,
to	TO	to
vitamins	NNS	vitamin
,	,	,
to	TO	to
antibiotics	NNS	antibiotic
,	,	,
to	TO	to
vaccination	NN	vaccination
—	:	-
to	TO	to
everything	NN	everything
.	SENT	.
Think	VB	think
of	IN	of
all	PDT	all
the	DT	the
problems	NNS	problem
that	IN	that
we	PP	we
'	POS	'
re	NN	re
facing	VBG	face
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
All	RB	all
.	SENT	.
Chances	NNS	chance
are	VBP	be
that	IN	that
they	PP	they
are	VBP	be
rooted	VBN	root
in	IN	in
the	DT	the
productivity	NN	productivity
crisis	NN	crisis
