So	IN	so
anyone	NN	anyone
who	WP	who
'	POS	'
s	RB	<unknown>
been	VBN	be
paying	VBG	pay
attention	NN	attention
for	IN	for
the	DT	the
last	JJ	last
few	JJ	few
months	NNS	month
has	VBZ	have
been	VBN	be
seeing	VBG	see
headlines	NNS	headline
like	IN	like
this	DT	this
,	,	,
especially	RB	especially
in	IN	in
education	NN	education
.	SENT	.
The	DT	the
thesis	NN	thesis
has	VBZ	have
been	VBN	be
:	:	:
students	NNS	student
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
using	VBG	use
ChatGPT	JJ	<unknown>
and	CC	and
other	JJ	other
forms	NNS	form
of	IN	of
AI	VBP	ai
to	TO	to
cheat	VB	cheat
,	,	,
do	VB	do
their	PP$	their
assignments	NNS	assignment
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
learn	VB	learn
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
completely	RB	completely
undermine	VB	undermine
education	NN	education
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
argue	VB	argue
today	NN	today
is	VBZ	be
not	RB	not
only	RB	only
are	VBP	be
there	RB	there
ways	NNS	way
to	TO	to
mitigate	VB	mitigate
all	DT	all
of	IN	of
that	WDT	that
,	,	,
if	IN	if
we	PP	we
put	VBD	put
the	DT	the
right	JJ	right
guardrails	NNS	guardrail
,	,	,
we	PP	we
do	VBP	do
the	DT	the
right	JJ	right
things	NNS	thing
,	,	,
we	PP	we
can	MD	can
mitigate	VB	mitigate
it	PP	it
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	NN	re
at	IN	at
the	DT	the
cusp	NN	cusp
of	IN	of
using	VBG	use
AI	VBP	ai
for	IN	for
probably	RB	probably
the	DT	the
biggest	JJS	big
positive	JJ	positive
transformation	NN	transformation
that	IN	that
education	NN	education
has	VBZ	have
ever	RB	ever
seen	VBN	see
.	SENT	.
And	CC	and
the	DT	the
way	NN	way
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
that	DT	that
is	VBZ	be
by	IN	by
giving	VBG	give
every	DT	every
student	NN	student
on	IN	on
the	DT	the
planet	NN	planet
an	DT	an
artificially	RB	artificially
intelligent	JJ	intelligent
but	CC	but
amazing	JJ	amazing
personal	JJ	personal
tutor	NN	tutor
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
give	VB	give
every	DT	every
teacher	NN	teacher
on	IN	on
the	DT	the
planet	NN	planet
an	DT	an
amazing	JJ	amazing
,	,	,
artificially	RB	artificially
intelligent	JJ	intelligent
teaching	NN	teaching
assistant	NN	assistant
.	SENT	.
And	CC	and
just	RB	just
to	TO	to
appreciate	VB	appreciate
how	WRB	how
big	JJ	big
of	IN	of
a	DT	a
deal	NN	deal
it	PP	it
would	MD	would
be	VB	be
to	TO	to
give	VB	give
everyone	NN	everyone
a	DT	a
personal	JJ	personal
tutor	NN	tutor
,	,	,
I	PP	I
show	VBP	show
you	PP	you
this	DT	this
clip	NN	clip
from	IN	from
Benjamin	NP	Benjamin
Bloom	NP	Bloom
'	POS	'
s	NN	S
1984	CD	@card@
2	CD	@card@
sigma	NN	sigma
study	NN	study
,	,	,
or	CC	or
he	PP	he
called	VBD	call
it	PP	it
the	DT	the
"	``	"
2	CD	@card@
sigma	NN	sigma
problem	NN	problem
.	SENT	.
"	''	"
The	DT	the
2	CD	@card@
sigma	NN	sigma
comes	VBZ	come
from	IN	from
two	CD	two
standard	JJ	standard
deviation	NN	deviation
,	,	,
sigma	NN	sigma
,	,	,
the	DT	the
symbol	NN	symbol
for	IN	for
standard	JJ	standard
deviation	NN	deviation
.	SENT	.
And	CC	and
he	PP	he
had	VBD	have
good	JJ	good
data	NNS	datum
that	WDT	that
showed	VBD	show
that	DT	that
look	NN	look
,	,	,
a	DT	a
normal	JJ	normal
distribution	NN	distribution
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
one	CD	one
that	IN	that
you	PP	you
see	VBP	see
in	IN	in
the	DT	the
traditional	JJ	traditional
bell	NN	bell
curve	NN	curve
right	NN	right
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
the	DT	the
world	NN	world
kind	NN	kind
of	IN	of
sorts	NNS	sort
itself	PP	itself
out	RB	out
,	,	,
that	IN	that
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
give	VB	give
personal	JJ	personal
1-to-1	JJ	1-to-1
to	TO	to
tutoring	VBG	tutor
for	IN	for
students	NNS	student
,	,	,
then	RB	then
you	PP	you
could	MD	could
actually	RB	actually
get	VB	get
a	DT	a
distribution	NN	distribution
that	WDT	that
looks	VBZ	look
like	IN	like
that	DT	that
right	NN	right
.	SENT	.
It	PP	it
says	VBZ	say
tutorial	NN	tutorial
1-to-1	JJ	1-to-1
with	IN	with
the	DT	the
asterisks	NNS	asterisk
,	,	,
like	VB	like
,	,	,
that	DT	that
right	JJ	right
distribution	NN	distribution
,	,	,
a	DT	a
two	CD	two
standard-deviation	NN	standard-deviation
improvement	NN	improvement
.	SENT	.
Just	RB	just
to	TO	to
put	VB	put
that	IN	that
in	IN	in
plain	JJ	plain
language	NN	language
,	,	,
that	WDT	that
could	MD	could
take	VB	take
your	PP$	your
average	JJ	average
student	NN	student
and	CC	and
turn	VB	turn
them	PP	them
into	IN	into
an	DT	an
exceptional	JJ	exceptional
student	NN	student
.	SENT	.
It	PP	it
can	MD	can
take	VB	take
your	PP$	your
below-average	JJ	below-average
student	NN	student
and	CC	and
turn	VB	turn
them	PP	them
into	IN	into
an	DT	an
above-average	JJ	above-average
student	NN	student
.	SENT	.
Now	RB	now
the	DT	the
reason	NN	reason
why	WRB	why
he	PP	he
framed	VBD	frame
it	PP	it
as	IN	as
a	DT	a
problem	NN	problem
,	,	,
was	VBD	be
he	PP	he
said	VBD	say
,	,	,
well	RB	well
,	,	,
this	DT	this
is	VBZ	be
all	DT	all
good	JJ	good
,	,	,
but	CC	but
how	WRB	how
do	VBP	do
you	PP	you
actually	RB	actually
scale	VB	scale
group	NN	group
instruction	NN	instruction
this	DT	this
way	NN	way
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
actually	RB	actually
give	VBP	give
it	PP	it
to	TO	to
everyone	NN	everyone
in	IN	in
an	DT	an
economic	JJ	economic
way	NN	way
?	SENT	?
What	WP	what
I	PP	I
'	POS	'
m	NN	m
about	RB	about
to	TO	to
show	VB	show
you	PP	you
is	VBZ	be
I	PP	I
think	VBP	think
the	DT	the
first	JJ	first
moves	NNS	move
towards	IN	towards
doing	VBG	do
that	DT	that
.	SENT	.
Obviously	RB	obviously
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
to	TO	to
approximate	VB	approximate
it	PP	it
in	IN	in
some	DT	some
way	NN	way
at	IN	at
Khan	NP	Khan
Academy	NP	Academy
for	IN	for
over	IN	over
a	DT	a
decade	NN	decade
now	RB	now
,	,	,
but	CC	but
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	NN	re
at	IN	at
the	DT	the
cusp	NN	cusp
of	IN	of
accelerating	VBG	accelerate
it	PP	it
