Growing	VBG	grow
up	RP	up
in	IN	in
Missouri	NP	Missouri
,	,	,
they	PP	they
would	MD	would
kind	RB	kind
of	IN	of
take	VB	take
us	PP	us
out	RP	out
into	IN	into
the	DT	the
woods	NNS	wood
,	,	,
and	CC	and
they	PP	they
would	MD	would
give	VB	give
you	PP	you
a	DT	a
map	NN	map
,	,	,
and	CC	and
they	PP	they
would	MD	would
give	VB	give
you	PP	you
a	DT	a
compass	NN	compass
,	,	,
and	CC	and
you	PP	you
had	VBD	have
to	TO	to
find	VB	find
your	PP$	your
way	NN	way
home	NN	home
.	SENT	.
And	CC	and
without	IN	without
the	DT	the
compass	NN	compass
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
read	VBD	read
the	DT	the
map	NN	map
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
.	SENT	.
The	DT	the
compass	NN	compass
is	VBZ	be
the	DT	the
key	NN	key
.	SENT	.
[	SYM	[
Small	JJ	small
thing	NN	thing
.	SENT	.
]	SYM	]
[	SYM	[
Big	JJ	big
idea	NN	idea
.	SENT	.
]	SYM	]
A	DT	a
compass	NN	compass
is	VBZ	be
most	RBS	most
simply	RB	simply
a	DT	a
piece	NN	piece
of	IN	of
metal	NN	metal
that	WDT	that
has	VBZ	have
been	VBN	be
magnetized	VBN	magnetize
,	,	,
so	RB	so
that	IN	that
it	PP	it
will	MD	will
turn	VB	turn
towards	IN	towards
the	DT	the
Earth	NN	earth
'	POS	'
s	JJ	<unknown>
magnetic	JJ	magnetic
pole	NN	pole
.	SENT	.
The	DT	the
one	CD	one
that	IN	that
we	PP	we
all	RB	all
think	VBP	think
of	IN	of
is	VBZ	be
the	DT	the
pocket	NN	pocket
compass	NN	compass
.	SENT	.
It	PP	it
looks	VBZ	look
like	IN	like
a	DT	a
watch	NN	watch
,	,	,
right	RB	right
?	SENT	?
You	PP	you
can	MD	can
hold	VB	hold
it	PP	it
in	IN	in
your	PP$	your
hand	NN	hand
and	CC	and
