Most	JJS	most
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
that	IN	that
when	WRB	when
I	PP	I
went	VBD	go
to	TO	to
high	JJ	high
school	NN	school
in	IN	in
this	DT	this
country	NN	country
â	NP	<unknown>
I	NP	I
applied	VBD	apply
for	IN	for
university	NN	university
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
I	PP	I
was	VBD	be
convinced	JJ	convinced
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
an	DT	an
artist	NN	artist
and	CC	and
be	VB	be
a	DT	a
sculptor	NN	sculptor
.	SENT	.
And	CC	and
I	PP	I
came	VBD	come
from	IN	from
a	DT	a
very	RB	very
privileged	JJ	privileged
background	NN	background
.	SENT	.
I	PP	I
was	VBD	be
very	RB	very
lucky	JJ	lucky
.	SENT	.
My	PP$	my
family	NN	family
was	VBD	be
wealthy	JJ	wealthy
,	,	,
and	CC	and
my	PP$	my
father	NN	father
believed	VBN	believe
in	IN	in
one	CD	one
thing	NN	thing
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
to	TO	to
give	VB	give
us	PP	us
all	DT	all
as	RB	as
much	JJ	much
education	NN	education
as	IN	as
we	PP	we
wanted	VBD	want
.	SENT	.
And	CC	and
I	PP	I
announced	VBD	announce
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
sculptor	NN	sculptor
in	IN	in
Paris	NP	Paris
.	SENT	.
And	CC	and
he	PP	he
was	VBD	be
a	DT	a
clever	JJ	clever
man	NN	man
.	SENT	.
He	PP	he
sort	VBP	sort
of	IN	of
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
OK	JJ	OK
,	,	,
but	CC	but
you	PP	you
'	POS	'
ve	NNS	<unknown>
done	VBN	do
very	RB	very
well	RB	well
in	IN	in
your	PP$	your
math	NN	math
SATs	NNS	SAT
.	SENT	.
"	''	"
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
'	POS	'
d	NN	d
got	VBD	get
an	DT	an
800	CD	@card@
.	SENT	.
And	CC	and
he	PP	he
thought	VBD	think
I	PP	I
did	VBD	do
very	RB	very
well	RB	well
â	NP	<unknown>
and	CC	and
I	PP	I
did	VBD	do
,	,	,
too	RB	too
â	NP	<unknown>
in	IN	in
the	DT	the
arts	NNS	art
:	:	:
this	DT	this
was	VBD	be
my	PP$	my
passion	NN	passion
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
"	``	"
If	IN	if
you	PP	you
go	VBP	go
to	TO	to
MIT	NP	MIT
,	,	,
"	''	"
to	TO	to
which	WDT	which
I	PP	I
had	VBD	have
been	VBN	be
given	VBN	give
early	JJ	early
admission	NN	admission
,	,	,
"	''	"
I	PP	I
will	MD	will
pay	VB	pay
for	IN	for
every	DT	every
year	NN	year
you	PP	you
'	POS	'
re	NN	re
at	IN	at
MIT	NP	MIT
,	,	,
in	IN	in
graduate	NN	graduate
or	CC	or
undergraduate	JJ	undergraduate
â	NP	<unknown>
as	RB	as
much	RB	much
as	IN	as
you	PP	you
want	VBP	want
â	NP	<unknown>
I	PP	I
will	MD	will
pay	VB	pay
for	IN	for
an	DT	an
equal	JJ	equal
number	NN	number
of	IN	of
years	NNS	year
for	IN	for
you	PP	you
to	TO	to
live	VB	live
in	IN	in
Paris	NP	Paris
.	SENT	.
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
that	DT	that
was	VBD	be
the	DT	the
best	JJS	good
deal	NN	deal
in	IN	in
town	NN	town
,	,	,
so	RB	so
I	PP	I
accepted	VBD	accept
it	PP	it
immediately	RB	immediately
.	SENT	.
And	CC	and
I	PP	I
decided	VBD	decide
that	IN	that
if	IN	if
I	PP	I
was	VBD	be
good	JJ	good
in	IN	in
art	NN	art
,	,	,
and	CC	and
I	PP	I
was	VBD	be
good	JJ	good
in	IN	in
mathematics	NN	mathematics
,	,	,
I	PP	I
'	POS	'
d	NN	d
study	NN	study
architecture	NN	architecture
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
blending	NN	blending
of	IN	of
the	DT	the
two	CD	two
.	SENT	.
I	PP	I
went	VBD	go
and	CC	and
told	VBD	tell
my	PP$	my
headmaster	NN	headmaster
that	IN	that
,	,	,
at	IN	at
prep	NN	prep
school	NN	school
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
to	TO	to
him	PP	him
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
,	,	,
that	IN	that
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
go	VB	go
study	NN	study
architecture	NN	architecture
because	IN	because
it	PP	it
was	VBD	be
