When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
I	PP	I
was	VBD	be
,	,	,
like	IN	like
many	JJ	many
of	IN	of
you	PP	you
in	IN	in
this	DT	this
room	NN	room
,	,	,
very	RB	very
much	RB	much
fascinated	VBN	fascinate
by	IN	by
Star	NP	Star
Wars	NPS	Wars
,	,	,
and	CC	and
what	WP	what
fascinated	VBD	fascinate
me	PP	me
the	DT	the
most	JJS	most
is	VBZ	be
this	DT	this
notion	NN	notion
of	IN	of
the	DT	the
Force	NP	Force
,	,	,
this	DT	this
energy	NN	energy
that	WDT	that
connects	VBZ	connect
all	DT	all
people	NNS	people
and	CC	and
all	DT	all
objects	NNS	object
and	CC	and
allows	VBZ	allow
you	PP	you
to	TO	to
feel	VB	feel
people	NNS	people
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
see	VB	see
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
many	JJ	many
nights	NNS	night
,	,	,
I	PP	I
would	MD	would
be	VB	be
sitting	VBG	sit
at	IN	at
home	NN	home
,	,	,
just	RB	just
,	,	,
like	VB	like
,	,	,
concentrating	VBG	concentrate
and	CC	and
focusing	VBG	focus
,	,	,
trying	VBG	try
to	TO	to
feel	VB	feel
the	DT	the
Force	NP	Force
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
feel	NN	feel
anything	NN	anything
,	,	,
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
.	SENT	.
And	CC	and
later	RBR	later
in	IN	in
life	NN	life
,	,	,
I	PP	I
became	VBD	become
a	DT	a
scientist	NN	scientist
.	SENT	.
I	PP	I
joined	VBD	join
the	DT	the
MIT	NP	MIT
faculty	NN	faculty
and	CC	and
started	VBD	start
working	VBG	work
on	IN	on
wireless	NN	wireless
signals	NNS	signal
.	SENT	.
These	DT	these
are	VBP	be
things	NNS	thing
like	IN	like
Wi-Fi	NP	<unknown>
or	CC	or
cellular	JJ	cellular
systems	NNS	system
,	,	,
and	CC	and
I	PP	I
did	VBD	do
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
in	IN	in
that	DT	that
domain	NN	domain
.	SENT	.
But	CC	but
then	RB	then
,	,	,
again	RB	again
,	,	,
this	DT	this
Force	NP	Force
thing	NN	thing
kept	VBD	keep
nagging	VBG	nag
me	PP	me
,	,	,
and	CC	and
at	IN	at
some	DT	some
point	NN	point
,	,	,
I	PP	I
was	VBD	be
just	RB	just
like	JJ	like
,	,	,
"	``	"
Wait	VB	wait
a	DT	a
minute	NN	minute
,	,	,
these	DT	these
wireless	NN	wireless
signals	VBZ	signal
—	:	-
they	PP	they
are	VBP	be
like	IN	like
the	DT	the
Force	NP	Force
.	SENT	.
"	''	"
So	RB	so
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
