There	EX	there
'	POS	'
s	NN	S
currently	RB	currently
over	IN	over
a	DT	a
thousand	CD	thousand
TED	VBP	ted
Talks	NNS	talk
on	IN	on
the	DT	the
TED	VBP	ted
website	NN	website
.	SENT	.
And	CC	and
I	PP	I
guess	VBP	guess
many	JJ	many
of	IN	of
you	PP	you
here	RB	here
think	VBP	think
that	IN	that
this	DT	this
is	VBZ	be
quite	RB	quite
fantastic	JJ	fantastic
,	,	,
except	IN	except
for	IN	for
me	PP	me
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
agree	VBP	agree
with	IN	with
this	DT	this
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
a	DT	a
situation	NN	situation
here	RB	here
.	SENT	.
Because	IN	because
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
1	CD	@card@
,	,	,
000	CD	@card@
TED	VBP	ted
Talks	NNS	talk
,	,	,
that	WDT	that
'	POS	'
s	NN	S
over	IN	over
1	CD	@card@
,	,	,
000	CD	@card@
ideas	NNS	idea
worth	JJ	worth
spreading	VBG	spread
.	SENT	.
How	WRB	how
on	IN	on
earth	NN	earth
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
spread	VB	spread
a	DT	a
thousand	CD	thousand
ideas	NNS	idea
?	SENT	?
Even	RB	even
if	IN	if
you	PP	you
just	RB	just
try	VBP	try
to	TO	to
get	VB	get
all	DT	all
of	IN	of
those	DT	those
ideas	NNS	idea
into	IN	into
your	PP$	your
head	NN	head
by	IN	by
watching	VBG	watch
all	PDT	all
those	DT	those
thousand	CD	thousand
TED	VBP	ted
videos	NNS	video
,	,	,
it	PP	it
would	MD	would
actually	RB	actually
currently	RB	currently
take	VB	take
you	PP	you
over	IN	over
250	CD	@card@
hours	NNS	hour
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
And	CC	and
I	PP	I
did	VBD	do
a	DT	a
little	JJ	little
calculation	NN	calculation
of	IN	of
this	DT	this
.	SENT	.
The	DT	the
damage	NN	damage
to	TO	to
the	DT	the
economy	NN	economy
for	IN	for
each	DT	each
one	CD	one
who	WP	who
does	VBZ	do
this	DT	this
is	VBZ	be
around	RB	around
$15	JJ	$@card@
,	,	,
000	CD	@card@
.	SENT	.
So	IN	so
having	VBG	have
seen	VBN	see
this	DT	this
danger	NN	danger
to	TO	to
the	DT	the
economy	NN	economy
,	,	,
I	PP	I
thought	VBD	think
,	,	,
we	PP	we
need	VBP	need
to	TO	to
find	VB	find
a	DT	a
solution	NN	solution
to	TO	to
this	DT	this
problem	NN	problem
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
my	PP$	my
approach	NN	approach
to	TO	to
it	PP	it
all	DT	all
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
current	JJ	current
situation	NN	situation
,	,	,
you	PP	you
have	VBP	have
a	DT	a
thousand	CD	thousand
TED	VBP	ted
Talks	NNS	talk
.	SENT	.
Each	DT	each
of	IN	of
those	DT	those
TED	VBP	ted
Talks	NNS	talk
has	VBZ	have
an	DT	an
average	JJ	average
length	NN	length
of	IN	of
about	RB	about
2	CD	@card@
,	,	,
300	CD	@card@
words	NNS	word
.	SENT	.
Now	RB	now
take	VB	take
this	DT	this
together	RB	together
,	,	,
and	CC	and
you	PP	you
end	VBP	end
up	RP	up
with	IN	with
2	CD	@card@
.	SENT	.
3	CD	@card@
million	CD	million
words	NNS	word
of	IN	of
TED	VBP	ted
Talks	NNS	talk
,	,	,
which	WDT	which
is	VBZ	be
about	RB	about
three	CD	three
Bibles-worth	NN	Bibles-worth
of	IN	of
content	NN	content
.	SENT	.
The	DT	the
obvious	JJ	obvious
question	NN	question
here	RB	here
is	VBZ	be
,	,	,
does	VBZ	do
a	DT	a
TED	VBP	ted
Talk	NN	talk
really	RB	really
need	VBP	need
2	CD	@card@
,	,	,
300	CD	@card@
words	NNS	word
?	SENT	?
Isn	NP	Isn
'	POS	'
t	NN	t
there	RB	there
something	RB	something
shorter	JJR	short
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
you	PP	you
have	VBP	have
an	DT	an
idea	NN	idea
worth	NN	worth
spreading	VBG	spread
,	,	,
surely	RB	surely
you	PP	you
can	MD	can
put	VB	put
it	PP	it
into	IN	into
something	NN	something
shorter	JJR	short
than	IN	than
2	CD	@card@
,	,	,
300	CD	@card@
words	NNS	word
.	SENT	.
The	DT	the
only	JJ	only
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
short	RB	short
can	MD	can
you	PP	you
get	VB	get
