Hello	UH	hello
,	,	,
everybody	NN	everybody
.	SENT	.
Good	JJ	good
to	TO	to
see	VB	see
you	PP	you
,	,	,
thanks	NNS	thanks
for	IN	for
coming	VBG	come
out	RP	out
.	SENT	.
NASA	NP	NASA
'	POS	'
s	NNS	<unknown>
known	VBN	know
for	IN	for
studying	VBG	study
the	DT	the
vastness	NN	vastness
of	IN	of
space	NN	space
.	SENT	.
And	CC	and
all	DT	all
around	IN	around
my	PP$	my
NASA	NP	NASA
campus	NN	campus
,	,	,
people	NNS	people
are	VBP	be
studying	VBG	study
things	NNS	thing
like	IN	like
Mars	NP	Mars
geology	NN	geology
and	CC	and
solar	JJ	solar
flares	NNS	flare
.	SENT	.
With	IN	with
Hubble	NP	Hubble
,	,	,
we	PP	we
have	VBP	have
the	DT	the
galaxy	NN	galaxy
far	RB	far
,	,	,
far	RB	far
away	RB	away
group	NN	group
and	CC	and
over	IN	over
in	IN	in
physics	NNS	physic
of	IN	of
the	DT	the
Cosmos	NN	cosmos
,	,	,
they	PP	they
'	POS	'
re	NN	re
studying	VBG	study
the	DT	the
origins	NNS	origin
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
all	PDT	all
some	DT	some
very	RB	very
massive	JJ	massive
stuff	NN	stuff
.	SENT	.
Yet	RB	yet
,	,	,
in	IN	in
the	DT	the
Ocean	NP	Ocean
Ecology	NN	ecology
lab	NN	lab
,	,	,
we	PP	we
'	POS	'
re	NN	re
studying	VBG	study
microscopic	JJ	microscopic
life	NN	life
right	RB	right
here	RB	here
on	IN	on
planet	NN	planet
Earth	NN	earth
.	SENT	.
Yeah	RB	yeah
!	SENT	!
My	PP$	my
favorite	JJ	favorite
planet	NN	planet
.	SENT	.
So	RB	so
,	,	,
I	PP	I
am	VBP	be
Dr	NP	Dr
.	SENT	.
Bridget	NP	Bridget
Seegers	NP	Seegers
,	,	,
a	DT	a
research	NN	research
scientist	NN	scientist
in	IN	in
NASA	NP	NASA
'	POS	'
s	JJ	<unknown>
Ocean	NP	Ocean
Ecology	NN	ecology
lab	NN	lab
.	SENT	.
And	CC	and
I	PP	I
study	VBP	study
tiny	JJ	tiny
plankton	NN	plankton
because	IN	because
they	PP	they
matter	VBP	matter
a	DT	a
lot	NN	lot
.	SENT	.
If	IN	if
you	PP	you
went	VBD	go
down	RB	down
to	TO	to
the	DT	the
ocean	NN	ocean
with	IN	with
a	DT	a
teaspoon	NN	teaspoon
and	CC	and
scooped	VBD	scoop
up	RP	up
a	DT	a
spoonful	NN	spoonful
of	IN	of
water	NN	water
,	,	,
it	PP	it
would	MD	would
be	VB	be
teeming	VBG	teem
with	IN	with
life	NN	life
,	,	,
from	IN	from
a	DT	a
microscopic	JJ	microscopic
world	NN	world
capable	JJ	capable
of	IN	of
global	JJ	global
