AIDS	NP	AIDS
was	VBD	be
discovered	VBN	discover
1981	CD	@card@
;	:	;
the	DT	the
virus	NN	virus
,	,	,
1983	CD	@card@
.	SENT	.
These	DT	these
Gapminder	NP	Gapminder
bubbles	NNS	bubble
show	VBP	show
you	PP	you
how	WRB	how
the	DT	the
spread	NN	spread
of	IN	of
the	DT	the
virus	NN	virus
was	VBD	be
in	IN	in
1983	CD	@card@
in	IN	in
the	DT	the
world	NN	world
,	,	,
or	CC	or
how	WRB	how
we	PP	we
estimate	VBP	estimate
that	IN	that
it	PP	it
was	VBD	be
.	SENT	.
What	WP	what
we	PP	we
are	VBP	be
showing	VBG	show
here	RB	here
is	VBZ	be
â	NP	<unknown>
on	IN	on
this	DT	this
axis	NN	axis
here	RB	here
,	,	,
I	PP	I
'	POS	'
m	NN	m
showing	VBG	show
percent	NN	percent
of	IN	of
infected	JJ	infected
adults	NNS	adult
.	SENT	.
And	CC	and
on	IN	on
this	DT	this
axis	NN	axis
,	,	,
I	PP	I
'	POS	'
m	NN	m
showing	VBG	show
dollars	NNS	dollar
per	IN	per
person	NN	person
in	IN	in
income	NN	income
.	SENT	.
And	CC	and
the	DT	the
size	NN	size
of	IN	of
these	DT	these
bubbles	NNS	bubble
,	,	,
the	DT	the
size	NN	size
of	IN	of
the	DT	the
bubbles	NNS	bubble
here	RB	here
,	,	,
that	WDT	that
shows	VBZ	show
how	WRB	how
many	JJ	many
are	VBP	be
infected	VBN	infect
in	IN	in
each	DT	each
country	NN	country
,	,	,
and	CC	and
the	DT	the
color	NN	color
is	VBZ	be
the	DT	the
continent	NN	continent
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
can	MD	can
see	VB	see
United	NP	United
States	NPS	States
,	,	,
in	IN	in
1983	CD	@card@
,	,	,
had	VBD	have
a	DT	a
very	RB	very
low	JJ	low
percentage	NN	percentage
infected	VBN	infect
,	,	,
but	CC	but
due	JJ	due
to	TO	to
the	DT	the
big	JJ	big
population	NN	population
,	,	,
still	RB	still
a	DT	a
sizable	JJ	sizable
bubble	NN	bubble
.	SENT	.
There	EX	there
were	VBD	be
quite	RB	quite
many	JJ	many
people	NNS	people
infected	VBN	infect
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
And	CC	and
,	,	,
up	RB	up
there	RB	there
,	,	,
you	PP	you
see	VBP	see
Uganda	NP	Uganda
.	SENT	.
They	PP	they
had	VBD	have
almost	RB	almost
five	CD	five
percent	NN	percent
infected	JJ	infected
,	,	,
and	CC	and
quite	RB	quite
a	DT	a
big	JJ	big
bubble	NN	bubble
in	IN	in
spite	NN	spite
of	IN	of
being	VBG	be
a	DT	a
small	JJ	small
country	NN	country
,	,	,
then	RB	then
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
probably	RB	probably
the	DT	the
most	RBS	most
infected	JJ	infected
country	NN	country
in	IN	in
the	DT	the
