Hello	UH	hello
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Birke	NP	<unknown>
Baehr	NP	Baehr
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
11	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
I	PP	I
came	VBD	come
here	RB	here
today	NN	today
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
with	IN	with
our	PP$	our
food	NN	food
system	NN	system
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
say	VB	say
that	IN	that
I	NP	I
'	POS	'
m	NN	m
really	RB	really
amazed	VBN	amaze
at	IN	at
how	WRB	how
easily	RB	easily
kids	NNS	kid
are	VBP	be
led	VBN	lead
to	TO	to
believe	VB	believe
all	PDT	all
the	DT	the
marketing	NN	marketing
and	CC	and
advertising	NN	advertising
on	IN	on
TV	NN	TV
,	,	,
at	IN	at
public	JJ	public
schools	NNS	school
and	CC	and
pretty	RB	pretty
much	RB	much
everywhere	RB	everywhere
else	RB	else
you	PP	you
look	VBP	look
.	SENT	.
It	PP	it
seems	VBZ	seem
to	TO	to
me	PP	me
like	IN	like
corporations	NNS	corporation
are	VBP	be
always	RB	always
trying	VBG	try
to	TO	to
get	VB	get
kids	NNS	kid
,	,	,
like	IN	like
me	PP	me
,	,	,
to	TO	to
get	VB	get
their	PP$	their
parents	NNS	parent
to	TO	to
buy	VB	buy
stuff	NN	stuff
that	IN	that
really	RB	really
isn	NP	isn
'	POS	'
t	NN	t
good	JJ	good
for	IN	for
us	PP	us
or	CC	or
the	DT	the
planet	NN	planet
.	SENT	.
Little	JJ	little
kids	NNS	kid
,	,	,
especially	RB	especially
,	,	,
are	VBP	be
attracted	VBN	attract
by	IN	by
colorful	JJ	colorful
packaging	NN	packaging
and	CC	and
plastic	NN	plastic
toys	NNS	toy
.	SENT	.
I	PP	I
must	MD	must
admit	VB	admit
,	,	,
I	PP	I
used	VBD	use
to	TO	to
be	VB	be
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
I	PP	I
also	RB	also
used	VBD	use
to	TO	to
think	VB	think
that	IN	that
all	DT	all
of	IN	of
our	PP$	our
food	NN	food
came	VBD	come
from	IN	from
these	DT	these
happy	JJ	happy
,	,	,
little	JJ	little
farms	NNS	farm
where	WRB	where
pigs	NNS	pig
rolled	VBD	roll
in	IN	in
mud	NN	mud
and	CC	and
cows	NNS	cow
grazed	VBD	graze
on	IN	on
grass	NN	grass
all	DT	all
day	NN	day
.	SENT	.
What	WP	what
I	PP	I
discovered	VBD	discover
was	VBD	be
this	DT	this
is	VBZ	be
not	RB	not
true	JJ	true
.	SENT	.
I	PP	I
began	VBD	begin
to	TO	to
look	VB	look
into	IN	into
this	DT	this
stuff	NN	stuff
on	IN	on
the	DT	the
Internet	NN	Internet
,	,	,
in	IN	in
books	NNS	book
and	CC	and
in	IN	in
documentary	JJ	documentary
films	NNS	film
,	,	,
in	IN	in
my	PP$	my
travels	NNS	travel
with	IN	with
my	PP$	my
family	NN	family
.	SENT	.
I	PP	I
discovered	VBD	discover
the	DT	the
dark	JJ	dark
side	NN	side
of	IN	of
the	DT	the
industrialized	JJ	industrialized
food	NN	food
system	NN	system
.	SENT	.
First	RB	first
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
genetically	RB	genetically
