So	RB	so
,	,	,
I	PP	I
have	VBP	have
a	DT	a
strange	JJ	strange
career	NN	career
.	SENT	.
I	PP	I
know	VBP	know
it	PP	it
because	IN	because
people	NNS	people
come	VBN	come
up	RP	up
to	TO	to
me	PP	me
,	,	,
like	IN	like
colleagues	NNS	colleague
,	,	,
and	CC	and
say	VBP	say
,	,	,
"	''	"
Chris	NP	Chris
,	,	,
you	PP	you
have	VBP	have
a	DT	a
strange	JJ	strange
career	NN	career
.	SENT	.
"	``	"
And	CC	and
I	PP	I
can	MD	can
see	VB	see
their	PP$	their
point	NN	point
,	,	,
because	IN	because
I	PP	I
started	VBD	start
my	PP$	my
career	NN	career
as	IN	as
a	DT	a
theoretical	JJ	theoretical
nuclear	JJ	nuclear
physicist	NN	physicist
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
about	IN	about
quarks	NNS	quark
and	CC	and
gluons	NNS	gluon
and	CC	and
heavy	JJ	heavy
ion	NN	ion
collisions	NNS	collision
,	,	,
and	CC	and
I	PP	I
was	VBD	be
only	RB	only
14	CD	@card@
years	NNS	year
old	JJ	old
—	:	-
No	UH	no
,	,	,
no	UH	no
,	,	,
I	PP	I
wasn	NNS	<unknown>
'	POS	'
t	NN	t
14	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
But	CC	but
after	IN	after
that	DT	that
,	,	,
I	PP	I
actually	RB	actually
had	VBD	have
my	PP$	my
own	JJ	own
lab	NN	lab
in	IN	in
the	DT	the
Computational	JJ	computational
Neuroscience	NP	Neuroscience
department	NN	department
,	,	,
and	CC	and
I	PP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
doing	VBG	do
any	DT	any
neuroscience	NN	neuroscience
.	SENT	.
Later	RBR	later
,	,	,
I	PP	I
would	MD	would
work	VB	work
on	IN	on
evolutionary	JJ	evolutionary
genetics	NNS	genetics
,	,	,
and	CC	and
I	PP	I
would	MD	would
work	VB	work
on	IN	on
systems	NNS	system
biology	NN	biology
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
something	NN	something
else	JJ	else
today	NN	today
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
how	WRB	how
I	PP	I
learned	VBD	learn
something	NN	something
about	IN	about
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
actually	RB	actually
a	DT	a
rocket	NN	rocket
scientist	NN	scientist
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
a	DT	a
rocket	NN	rocket
scientist	NN	scientist
,	,	,
but	CC	but
I	PP	I
was	VBD	be
working	VBG	work
at	IN	at
the	DT	the
Jet	NP	Jet
Propulsion	NN	propulsion
Laboratory	NN	laboratory
in	IN	in
sunny	JJ	sunny
California	NP	California
,	,	,
where	WRB	where
it	PP	it
'	POS	'
s	NNS	<unknown>
warm	JJ	warm
;	:	;
whereas	IN	whereas
now	RB	now
I	PP	I
am	VBP	be
in	IN	in
the	DT	the
mid-West	NN	<unknown>
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
cold	NN	cold
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
an	DT	an
exciting	JJ	exciting
experience	NN	experience
.	SENT	.
One	CD	one
day	NN	day
,	,	,
a	DT	a
NASA	NP	NASA
manager	NN	manager
comes	VBZ	come
into	IN	into
my	PP$	my
office	NN	office
,	,	,
sits	VBZ	sit
down	RB	down
and	CC	and
says	VBZ	say
,	,	,
"	``	"
Can	MD	can
you	PP	you
please	VB	please
tell	VB	tell
us	PP	us
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
look	VBP	look
for	IN	for
life	NN	life
outside	IN	outside
Earth	NP	Earth
?	SENT	?
"	``	"
And	CC	and
that	DT	that
came	VBD	come
as	IN	as
a	DT	a
surprise	NN	surprise
to	TO	to
me	PP	me
,	,	,
because	IN	because
I	PP	I
was	VBD	be
actually	RB	actually
hired	VBN	hire
to	TO	to
work	VB	work
on	IN	on
quantum	NN	quantum
computation	NN	computation
.	SENT	.
Yet	RB	yet
,	,	,
I	PP	I
had	VBD	have
a	DT	a
very	RB	very
good	JJ	good
answer	NN	answer
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
.	SENT	.
"	``	"
And	CC	and
he	PP	he
told	VBD	tell
me	PP	me
,	,	,
"	''	"
Biosignatures	NP	Biosignatures
,	,	,
we	PP	we
need	VBP	need
to	TO	to
look	VB	look
for	IN	for
a	DT	a
biosignature	NN	biosignature
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
is	VBZ	be
that	RB	that
?	SENT	?
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NN	S
any	DT	any
measurable	JJ	measurable
phenomenon	NN	phenomenon
that	WDT	that
allows	VBZ	allow
us	PP	us
to	TO	to
indicate	VB	indicate
the	DT	the
presence	NN	presence
of	IN	of
life	NN	life
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
