Ever	RB	ever
since	IN	since
I	PP	I
was	VBD	be
a	DT	a
little	JJ	little
girl	NN	girl
seeing	VBG	see
"	``	"
Star	NP	Star
Wars	NPS	Wars
"	''	"
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
fascinated	VBN	fascinate
by	IN	by
this	DT	this
idea	NN	idea
of	IN	of
personal	JJ	personal
robots	NNS	robot
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
little	JJ	little
girl	NN	girl
,	,	,
I	PP	I
loved	VBD	love
the	DT	the
idea	NN	idea
of	IN	of
a	DT	a
robot	NN	robot
that	WDT	that
interacted	VBD	interact
with	IN	with
us	PP	us
much	RB	much
more	RBR	more
like	IN	like
a	DT	a
helpful	JJ	helpful
,	,	,
trusted	VBD	trust
sidekick	NN	sidekick
â	NP	<unknown>
something	NN	something
that	WDT	that
would	MD	would
delight	VB	delight
us	PP	us
,	,	,
enrich	VB	enrich
our	PP$	our
lives	NNS	life
and	CC	and
help	VB	help
us	PP	us
save	VB	save
a	DT	a
galaxy	NN	galaxy
or	CC	or
two	CD	two
.	SENT	.
I	PP	I
knew	VBD	know
robots	NNS	robot
like	IN	like
that	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
exist	VBP	exist
,	,	,
but	CC	but
I	PP	I
knew	VBD	know
I	PP	I
wanted	VBD	want
to	TO	to
build	VB	build
them	PP	them
.	SENT	.
So	RB	so
20	CD	@card@
years	NNS	year
pass	VB	pass
â	NP	<unknown>
I	PP	I
am	VBP	be
now	RB	now
a	DT	a
graduate	JJ	graduate
student	NN	student
at	IN	at
MIT	NP	MIT
studying	VBG	study
artificial	JJ	artificial
intelligence	NN	intelligence
,	,	,
the	DT	the
year	NN	year
is	VBZ	be
1997	CD	@card@
,	,	,
and	CC	and
NASA	NP	NASA
has	VBZ	have
just	RB	just
landed	VBN	land
the	DT	the
first	JJ	first
robot	NN	robot
on	IN	on
Mars	NP	Mars
.	SENT	.
But	CC	but
robots	NNS	robot
are	VBP	be
still	RB	still
not	RB	not
in	IN	in
our	PP$	our
home	NN	home
,	,	,
ironically	RB	ironically
.	SENT	.
And	CC	and
