Cartoons	NNS	cartoon
are	VBP	be
basically	RB	basically
short	JJ	short
stories	NNS	story
.	SENT	.
I	PP	I
tried	VBD	try
to	TO	to
find	VB	find
one	CD	one
that	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
words	NNS	word
.	SENT	.
Not	RB	not
all	RB	all
of	IN	of
them	PP	them
have	VBP	have
happy	JJ	happy
endings	NNS	ending
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
I	PP	I
get	VB	get
started	VBN	start
cartooning	NN	cartooning
?	SENT	?
I	PP	I
doodled	VBD	doodle
a	DT	a
lot	NN	lot
as	IN	as
a	DT	a
kid	NN	kid
,	,	,
and	CC	and
if	IN	if
you	PP	you
spend	VBP	spend
enough	JJ	enough
time	NN	time
doodling	VBG	doodle
,	,	,
sooner	RBR	sooner
or	CC	or
later	RBR	later
,	,	,
something	NN	something
happens	VBZ	happen
:	:	:
all	PDT	all
your	PP$	your
career	NN	career
options	NNS	option
run	VBP	run
out	RP	out
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
living	VBG	live
cartooning	NN	cartooning
.	SENT	.
Actually	RB	actually
,	,	,
I	PP	I
fell	VBD	fall
in	IN	in
love	NN	love
with	IN	with
the	DT	the
ocean	NN	ocean
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
little	JJ	little
boy	NN	boy
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
about	RB	about
eight	CD	eight
or	CC	or
nine	CD	nine
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
particularly	RB	particularly
fascinated	VBN	fascinate
with	IN	with
sharks	NNS	shark
.	SENT	.
This	DT	this
is	VBZ	be
some	DT	some
of	IN	of
my	PP$	my
early	JJ	early
work	NN	work
.	SENT	.
Eventually	RB	eventually
,	,	,
my	PP$	my
mom	NN	mom
took	VBD	take
the	DT	the
red	JJ	red
crayon	NN	crayon
away	RB	away
,	,	,
so	RB	so
it	PP	it
was	VBD	be
[	SYM	[
unclear	JJ	unclear
]	SYM	]
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
relay	VB	relay
to	TO	to
you	PP	you
a	DT	a
childhood	NN	childhood
experience	NN	experience
of	IN	of
mine	NN	mine
that	WDT	that
really	RB	really
made	VBD	make
me	PP	me
see	VBP	see
the	DT	the
ocean	NN	ocean
differently	RB	differently
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
become	VBP	become
the	DT	the
foundation	NN	foundation
of	IN	of
my	PP$	my
work	NN	work
because	IN	because
,	,	,
I	PP	I
feel	VBP	feel
like	IN	like
,	,	,
if	IN	if
in	IN	in
a	DT	a
day	NN	day
,	,	,
I	PP	I
can	MD	can
see	VB	see
the	DT	the
ocean	NN	ocean
differently	RB	differently
,	,	,
then	RB	then
I	PP	I
can	MD	can
evoke	VB	evoke
that	DT	that
same	JJ	same
kind	NN	kind
of	IN	of
change	NN	change
in	IN	in
others	NNS	other
,	,	,
especially	RB	especially
kids	NNS	kid
.	SENT	.
Before	IN	before
that	DT	that
day	NN	day
,	,	,
this	DT	this
is	VBZ	be
how	WRB	how
I	PP	I
saw	VBD	see
the	DT	the
ocean	NN	ocean
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
big	JJ	big
blue	JJ	blue
surface	NN	surface
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
the	DT	the
ocean	NN	ocean
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
mystery	NN	mystery
.	SENT	.
There	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
folklore	NN	folklore
developed	VBN	develop
around	IN	around
the	DT	the
ocean	NN	ocean
,	,	,
mostly	RB	mostly
negative	JJ	negative
.	SENT	.
And	CC	and
that	DT	that
prompted	VBN	prompt
people	NNS	people
to	TO	to
make	VB	make
maps	NNS	map
like	IN	like
this	DT	this
,	,	,
with	IN	with
all	DT	all
kinds	NNS	kind
of	IN	of
wonderful	JJ	wonderful
detail	NN	detail
on	IN	on
the	DT	the
land	NN	land
,	,	,
but	CC	but
when	WRB	when
you	PP	you
get	VBP	get
to	TO	to
the	DT	the
waters	NNS	water
edge	NN	edge
,	,	,
the	DT	the
ocean	NN	ocean
looks	VBZ	look
like	IN	like
one	CD	one
giant	JJ	giant
puddle	NN	puddle
of	IN	of
blue	JJ	blue
paint	NN	paint
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
way	NN	way
I	PP	I
saw	VBD	see
the	DT	the
ocean	NN	ocean
at	IN	at
school	NN	school
—	:	-
as	IN	as
if	IN	if
to	TO	to
say	VB	say
,	,	,
"	''	"
All	DT	all
geography	NN	geography
and	CC	and
science	NN	science
lessons	NNS	lesson
stop	VBP	stop
at	IN	at
water	NN	water
'	POS	'
s	NN	S
edge	NN	edge
.	SENT	.
This	DT	this
part	NN	part
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
on	IN	on
the	DT	the
test	NN	test
.	SENT	.
"	''	"
But	CC	but
that	DT	that
day	NN	day
I	PP	I
flew	VBD	fly
low	JJ	low
over	IN	over
the	DT	the
islands	NNS	island
—	:	-
it	PP	it
was	VBD	be
a	DT	a
family	NN	family
trip	NN	trip
to	TO	to
the	DT	the
Caribbean	NP	Caribbean
,	,	,
and	CC	and
I	PP	I
flew	VBD	fly
in	IN	in
a	DT	a
small	JJ	small
plane	NN	plane
low	JJ	low
over	IN	over
the	DT	the
islands	NNS	island
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
I	PP	I
saw	VBD	see
.	SENT	.
I	PP	I
saw	VBD	see
hills	NNS	hill
and	CC	and
valleys	NNS	valley
.	SENT	.
I	PP	I
saw	VBD	see
forests	NNS	forest
and	CC	and
meadows	NNS	meadow
.	SENT	.
I	PP	I
saw	VBD	see
grottoes	NNS	grotto
and	CC	and
secret	JJ	secret
gardens	NNS	garden
and	CC	and
places	VBZ	place
I	PP	I
'	''	'
d	SYM	d
love	NN	love
to	TO	to
hide	VB	hide
as	IN	as
a	DT	a
kid	NN	kid
,	,	,
if	IN	if
I	PP	I
could	MD	could
only	RB	only
breathe	VB	breathe
underwater	RB	underwater
.	SENT	.
And	CC	and
best	JJS	good
of	IN	of
all	DT	all
,	,	,
I	PP	I
saw	VBD	see
the	DT	the
animals	NNS	animal
.	SENT	.
I	PP	I
saw	VBD	see
a	DT	a
manta	NN	manta
ray	NN	ray
that	WDT	that
looked	VBD	look
as	RB	as
big	JJ	big
as	IN	as
the	DT	the
plane	NN	plane
I	PP	I
was	VBD	be
flying	VBG	fly
in	IN	in
.	SENT	.
And	CC	and
I	PP	I
flew	VBD	fly
over	IN	over
a	DT	a
lagoon	NN	lagoon
with	IN	with
a	DT	a
