Today	NN	today
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
with	IN	with
you	PP	you
about	IN	about
something	NN	something
that	WDT	that
should	MD	should
be	VB	be
a	DT	a
totally	RB	totally
uncontroversial	JJ	uncontroversial
topic	NN	topic
.	SENT	.
But	CC	but
,	,	,
unfortunately	RB	unfortunately
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
become	VBP	become
incredibly	RB	incredibly
controversial	JJ	controversial
.	SENT	.
This	DT	this
year	NN	year
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
over	IN	over
a	DT	a
billion	NN	billion
couples	NNS	couple
will	MD	will
have	VB	have
sex	NN	sex
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
Couples	NNS	couple
like	IN	like
this	DT	this
one	CD	one
,	,	,
and	CC	and
this	DT	this
one	CD	one
,	,	,
and	CC	and
this	DT	this
one	CD	one
,	,	,
and	CC	and
,	,	,
yes	UH	yes
,	,	,
even	RB	even
this	DT	this
one	CD	one
.	SENT	.
And	CC	and
my	PP$	my
idea	NN	idea
is	VBZ	be
this	DT	this
—	:	-
all	PDT	all
these	DT	these
men	NNS	man
and	CC	and
women	NNS	woman
should	MD	should
be	VB	be
free	JJ	free
to	TO	to
decide	VB	decide
whether	IN	whether
they	PP	they
do	VBP	do
or	CC	or
do	VBP	do
not	RB	not
want	VB	want
to	TO	to
conceive	VB	conceive
a	DT	a
child	NN	child
.	SENT	.
And	CC	and
they	PP	they
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
use	VB	use
one	CD	one
of	IN	of
these	DT	these
birth	NN	birth
control	NN	control
methods	NNS	method
to	TO	to
act	VB	act
on	IN	on
their	PP$	their
decision	NN	decision
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
think	VBP	think
you	PP	you
'	''	'
d	SYM	d
have	VB	have
a	DT	a
hard	JJ	hard
time	NN	time
finding	VBG	find
many	JJ	many
people	NNS	people
who	WP	who
disagree	VBP	disagree
with	IN	with
this	DT	this
idea	NN	idea
.	SENT	.
Over	IN	over
one	CD	one
billion	NN	billion
people	NNS	people
use	VBP	use
birth	NN	birth
control	NN	control
without	IN	without
any	DT	any
hesitation	NN	hesitation
at	IN	at
all	DT	all
.	SENT	.
They	PP	they
want	VBP	want
the	DT	the
power	NN	power
to	TO	to
plan	VB	plan
their	PP$	their
own	JJ	own
lives	NNS	life
and	CC	and
to	TO	to
raise	VB	raise
healthier	JJR	healthy
,	,	,
better	RBR	well
educated	VBN	educate
and	CC	and
more	RBR	more
prosperous	JJ	prosperous
families	NNS	family
.	SENT	.
But	CC	but
,	,	,
for	IN	for
an	DT	an
idea	NN	idea
that	WDT	that
is	VBZ	be
so	RB	so
broadly	RB	broadly
accepted	VBN	accept
in	IN	in
private	JJ	private
,	,	,
birth	NN	birth
control	NN	control
certainly	RB	certainly
generates	VBZ	generate
a	DT	a
lot	NN	lot
of	IN	of
opposition	NN	opposition
in	IN	in
public	NN	public
.	SENT	.
Some	DT	some
people	NNS	people
think	VBP	think
when	WRB	when
we	PP	we
talk	VBP	talk
about	IN	about
contraception	NN	contraception
that	IN	that
it	PP	it
'	POS	'
s	JJ	<unknown>
code	NN	code
for	IN	for
abortion	NN	abortion
,	,	,
which	WDT	which
it	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
Some	DT	some
people	NNS	people
—	:	-
let	VB	let
'	''	'
s	NN	S
be	VB	be
honest	JJ	honest
—	:	-
they	PP	they
'	POS	'
re	NN	re
uncomfortable	JJ	uncomfortable
with	IN	with
the	DT	the
topic	NN	topic
because	IN	because
it	PP	it
'	POS	'
s	NN	S
about	IN	about
sex	NN	sex
.	SENT	.
Some	DT	some
people	NNS	people
worry	VBP	worry
that	IN	that
the	DT	the
real	JJ	real
goal	NN	goal
of	IN	of
family	NN	family
planning	NN	planning
is	VBZ	be
to	TO	to
control	VB	control
populations	NNS	population
.	SENT	.
These	DT	these
are	VBP	be
all	DT	all
side	NN	side
issues	NNS	issue
that	WDT	that
have	VBP	have
attached	VBN	attach
themselves	PP	themselves
to	TO	to
this	DT	this
core	JJ	core
idea	NN	idea
that	IN	that
men	NNS	man
and	CC	and
women	NNS	woman
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
decide	VB	decide
when	WRB	when
they	PP	they
want	VBP	want
to	TO	to
have	VB	have
a	DT	a
child	NN	child
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
result	NN	result
,	,	,
birth	NN	birth
control	NN	control
has	VBZ	have
almost	RB	almost
completely	RB	completely
and	CC	and
totally	RB	totally
disappeared	VBD	disappear
from	IN	from
the	DT	the
global	JJ	global
health	NN	health
agenda	NN	agenda
.	SENT	.
The	DT	the
victims	NNS	victim
of	IN	of
this	DT	this
paralysis	NN	paralysis
are	VBP	be
the	DT	the
people	NNS	people
of	IN	of
sub-Saharan	JJ	sub-Saharan
Africa	NP	Africa
and	CC	and
South	NP	South
Asia	NP	Asia
.	SENT	.
Here	RB	here
in	IN	in
Germany	NP	Germany
,	,	,
the	DT	the
proportion	NN	proportion
of	IN	of
people	NNS	people
that	WDT	that
use	VBP	use
contraception	NN	contraception
is	VBZ	be
about	RB	about
66	CD	@card@
