Well	RB	well
,	,	,
I	PP	I
was	VBD	be
born	VBN	bear
with	IN	with
a	DT	a
rare	JJ	rare
visual	JJ	visual
condition	NN	condition
called	VBD	call
achromatopsia	NN	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
total	JJ	total
color	NN	color
blindness	NN	blindness
,	,	,
so	IN	so
I	PP	I
'	POS	'
ve	NN	ve
never	RB	never
seen	VBN	see
color	NN	color
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
color	NN	color
looks	VBZ	look
like	IN	like
,	,	,
because	IN	because
I	PP	I
come	VBP	come
from	IN	from
a	DT	a
grayscale	JJ	<unknown>
world	NN	world
.	SENT	.
To	TO	to
me	PP	me
,	,	,
the	DT	the
sky	NN	sky
is	VBZ	be
always	RB	always
gray	JJ	gray
,	,	,
flowers	NNS	flower
are	VBP	be
always	RB	always
gray	JJ	gray
,	,	,
and	CC	and
television	NN	television
is	VBZ	be
still	RB	still
in	IN	in
black	JJ	black
and	CC	and
white	JJ	white
.	SENT	.
But	CC	but
,	,	,
since	IN	since
the	DT	the
age	NN	age
of	IN	of
21	CD	@card@
,	,	,
instead	RB	instead
of	IN	of
seeing	VBG	see
color	NN	color
,	,	,
I	PP	I
can	MD	can
hear	VB	hear
color	NN	color
.	SENT	.
In	IN	in
2003	CD	@card@
,	,	,
I	PP	I
started	VBD	start
a	DT	a
project	NN	project
with	IN	with
computer	NN	computer
scientist	NN	scientist
Adam	NP	Adam
Montandon	NP	Montandon
,	,	,
and	CC	and
the	DT	the
result	NN	result
,	,	,
with	IN	with
further	JJR	further
collaborations	NNS	collaboration
with	IN	with
Peter	NP	Peter
Kese	NP	<unknown>
from	IN	from
Slovenia	NP	Slovenia
and	CC	and
Matias	NP	Matias
Lizana	NP	Lizana
from	IN	from
Barcelona	NP	Barcelona
,	,	,
is	VBZ	be
this	DT	this
electronic	JJ	electronic
eye	NN	eye
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
color	NN	color
sensor	NN	sensor
that	WDT	that
detects	VBZ	detect
the	DT	the
color	NN	color
frequency	NN	frequency
in	IN	in
front	NN	front
of	IN	of
me	PP	me
—	:	-
—	:	-
and	CC	and
sends	VBZ	send
this	DT	this
frequency	NN	frequency
to	TO	to
a	DT	a
chip	NN	chip
installed	VBN	install
at	IN	at
the	DT	the
back	NN	back
of	IN	of
my	PP$	my
head	NN	head
,	,	,
and	CC	and
I	PP	I
hear	VBP	hear
the	DT	the
color	NN	color
in	IN	in
front	NN	front
of	IN	of
me	PP	me
through	IN	through
the	DT	the
bone	NN	bone
,	,	,
through	IN	through
bone	NN	bone
conduction	NN	conduction
.	SENT	.
So	RB	so
,	,	,
for	IN	for
example	NN	example
,	,	,
if	IN	if
I	PP	I
have	VBP	have
,	,	,
like	VBP	like
—	:	-
This	DT	this
is	VBZ	be
the	DT	the
sound	NN	sound
of	IN	of
purple	NN	purple
.	SENT	.
For	IN	for
example	NN	example
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
sound	NN	sound
of	IN	of
grass	NN	grass
.	SENT	.
This	DT	this
is	VBZ	be
red	JJ	red
,	,	,
like	VB	like
TED	VB	ted
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
sound	NN	sound
of	IN	of
a	DT	a
dirty	JJ	dirty
sock	NN	sock
.	SENT	.
Which	WDT	which
is	VBZ	be
like	IN	like
yellow	NN	yellow
,	,	,
this	DT	this
one	CD	one
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
hearing	VBG	hear
color	NN	color
all	PDT	all
the	DT	the
time	NN	time
for	IN	for
eight	CD	eight
years	NNS	year
,	,	,
since	IN	since
2004	CD	@card@
,	,	,
so	RB	so
I	PP	I
find	VBP	find
it	PP	it
completely	RB	completely
normal	JJ	normal
now	RB	now
to	TO	to
hear	VB	hear
color	VB	color
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
At	IN	at
the	DT	the
start	NN	start
,	,	,
though	RB	though
,	,	,
I	PP	I
had	VBD	have
to	TO	to
memorize	VB	memorize
the	DT	the
names	NNS	name
you	PP	you
give	VBP	give
for	IN	for
each	DT	each
color	NN	color
,	,	,
so	RB	so
I	PP	I
had	VBD	have
to	TO	to
memorize	VB	memorize
the	DT	the
notes	NNS	note
,	,	,
but	CC	but
after	IN	after
some	DT	some
time	NN	time
,	,	,
all	PDT	all
this	DT	this
information	NN	information
became	VBD	become
a	DT	a
perception	NN	perception
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
think	VB	think
about	IN	about
the	DT	the
notes	NNS	note
.	SENT	.
And	CC	and
after	IN	after
some	DT	some
time	NN	time
,	,	,
this	DT	this
perception	NN	perception
became	VBD	become
a	DT	a
feeling	NN	feeling
.	SENT	.
I	PP	I
started	VBD	start
to	TO	to
have	VB	have
favorite	JJ	favorite
colors	NNS	color
,	,	,
and	CC	and
I	PP	I
started	VBD	start
to	TO	to
dream	VB	dream
in	IN	in
colors	NNS	color
.	SENT	.
So	RB	so
,	,	,
when	WRB	when
I	PP	I
started	VBD	start
to	TO	to
dream	VB	dream
in	IN	in
color	NN	color
is	VBZ	be
when	WRB	when
