When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
junior	NN	junior
in	IN	in
college	NN	college
,	,	,
from	IN	from
the	DT	the
back	JJ	back
row	NN	row
of	IN	of
a	DT	a
darkened	VBN	darken
auditorium	NN	auditorium
,	,	,
I	PP	I
listened	VBD	listen
to	TO	to
the	DT	the
CEO	NN	CEO
of	IN	of
a	DT	a
clean	JJ	clean
energy	NN	energy
developer	NN	developer
describe	VBP	describe
an	DT	an
amazing	JJ	amazing
new	JJ	new
technology	NN	technology
that	WDT	that
could	MD	could
produce	VB	produce
a	DT	a
lot	NN	lot
of	IN	of
clean	JJ	clean
electricity	NN	electricity
and	CC	and
reduce	VB	reduce
a	DT	a
lot	NN	lot
of	IN	of
emissions	NNS	emission
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
project	NN	project
called	VBD	call
Cape	NP	Cape
Wind	NP	Wind
,	,	,
an	DT	an
audacious	JJ	audacious
plan	NN	plan
to	TO	to
drive	VB	drive
130	CD	@card@
massive	JJ	massive
offshore	JJ	offshore
turbines	NNS	turbine
to	TO	to
the	DT	the
coast	NN	coast
of	IN	of
Cape	NP	Cape
Cod	NP	Cod
,	,	,
Massachusetts	NP	Massachusetts
,	,	,
supplying	VBG	supply
enough	JJ	enough
clean	JJ	clean
electricity	NN	electricity
to	TO	to
supply	VB	supply
more	JJR	more
than	IN	than
300	CD	@card@
,	,	,
000	CD	@card@
homes	NNS	home
and	CC	and
eliminate	VB	eliminate
the	DT	the
need	NN	need
for	IN	for
a	DT	a
mid-sized	JJ	mid-sized
emitting	VBG	emit
power	NN	power
plant	NN	plant
.	SENT	.
It	PP	it
was	VBD	be
one	CD	one
of	IN	of
those	DT	those
moments	NNS	moment
that	WDT	that
inspired	VBD	inspire
me	PP	me
to	TO	to
a	DT	a
career	NN	career
in	IN	in
clean	JJ	clean
energy	NN	energy
and	CC	and
climate	NN	climate
policy	NN	policy
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
the	DT	the
20	CD	@card@
years	NNS	year
since	IN	since
that	DT	that
night	NN	night
,	,	,
we	PP	we
could	MD	could
have	VB	have
built	VBN	build
literally	RB	literally
thousands	NNS	thousand
of	IN	of
those	DT	those
turbines	NNS	turbine
up	RB	up
and	CC	and
down	RB	down
the	DT	the
US	NP	US
East	NP	East
Coast	NP	Coast
.	SENT	.
But	CC	but
instead	RB	instead
,	,	,
we	PP	we
have	VBP	have
built	VBN	build
literally	RB	literally
six	CD	six
total	JJ	total
turbines	NNS	turbine
in	IN	in
the	DT	the
US	NP	US
East	NP	East
Coast	NP	Coast
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
a	DT	a
combination	NN	combination
of	IN	of
wealthy	JJ	wealthy
coastal	JJ	coastal
landowners	NNS	landowner
,	,	,
both	CC	both
liberals	NNS	liberal
and	CC	and
conservatives	NNS	conservative
,	,	,
