My	PP$	my
first	JJ	first
year	NN	year
in	IN	in
graduate	JJ	graduate
school	NN	school
,	,	,
studying	VBG	study
cooperation	NN	cooperation
in	IN	in
monkeys	NNS	monkey
,	,	,
I	PP	I
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
outside	NN	outside
,	,	,
just	RB	just
watching	VBG	watch
our	PP$	our
groups	NNS	group
of	IN	of
capuchin	NN	capuchin
monkeys	NNS	monkey
interact	VBP	interact
.	SENT	.
One	CD	one
afternoon	NN	afternoon
,	,	,
I	PP	I
was	VBD	be
out	RP	out
back	RB	back
feeding	VBG	feed
peanuts	NNS	peanut
to	TO	to
one	CD	one
of	IN	of
our	PP$	our
groups	NNS	group
,	,	,
which	WDT	which
required	VBD	require
distracting	VBG	distract
one	CD	one
of	IN	of
our	PP$	our
males	NNS	male
,	,	,
Ozzie	NP	Ozzie
,	,	,
enough	RB	enough
so	RB	so
that	IN	that
the	DT	the
other	JJ	other
monkeys	NNS	monkey
could	MD	could
get	VB	get
some	DT	some
.	SENT	.
Ozzie	NP	Ozzie
loved	VBD	love
peanuts	NNS	peanut
,	,	,
and	CC	and
he	PP	he
always	RB	always
tried	VBD	try
to	TO	to
do	VB	do
anything	NN	anything
he	PP	he
could	MD	could
to	TO	to
grab	VB	grab
some	DT	some
.	SENT	.
On	IN	on
that	DT	that
day	NN	day
,	,	,
however	RB	however
,	,	,
he	PP	he
began	VBD	begin
trying	VBG	try
to	TO	to
bring	VB	bring
other	JJ	other
things	NNS	thing
from	IN	from
his	PP$	his
enclosure	NN	enclosure
to	TO	to
me	PP	me
and	CC	and
trade	VB	trade
them	PP	them
with	IN	with
me	PP	me
in	IN	in
order	NN	order
to	TO	to
get	VB	get
a	DT	a
peanut	NN	peanut
.	SENT	.
Now	RB	now
,	,	,
capuchins	NNS	capuchin
are	VBP	be
smart	JJ	smart
,	,	,
so	RB	so
this	DT	this
wasn	NN	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
a	DT	a
surprise	NN	surprise
.	SENT	.
But	CC	but
what	WP	what
was	VBD	be
a	DT	a
surprise	NN	surprise
was	VBD	be
that	IN	that
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
he	PP	he
was	VBD	be
bringing	VBG	bring
me	PP	me
,	,	,
I	PP	I
was	VBD	be
pretty	RB	pretty
sure	JJ	sure
he	PP	he
liked	VBD	like
better	JJR	good
than	IN	than
peanuts	NNS	peanut
.	SENT	.
First	RB	first
,	,	,
he	PP	he
brought	VBD	bring
me	PP	me
a	DT	a
piece	NN	piece
of	IN	of
monkey	NN	monkey
chow	NN	chow
,	,	,
which	WDT	which
is	VBZ	be
like	IN	like
dried	VBN	dry
dog	NN	dog
food	NN	food
--	:	--
it	PP	it
was	VBD	be
even	RB	even
made	VBN	make
by	IN	by
Purina	NP	Purina
--	:	--
and	CC	and
for	IN	for
a	DT	a
monkey	NN	monkey
,	,	,
is	VBZ	be
about	RB	about
as	RB	as
worthless	JJ	worthless
as	IN	as
it	PP	it
gets	VBZ	get
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
give	VB	give
him	PP	him
a	DT	a
peanut	NN	peanut
for	IN	for
that	DT	that
.	SENT	.
But	CC	but
he	PP	he
kept	VBD	keep
trying	VBG	try
,	,	,
and	CC	and
eventually	RB	eventually
,	,	,
he	PP	he
brought	VBD	bring
me	PP	me
a	DT	a
quarter	NN	quarter
of	IN	of
an	DT	an
orange	NN	orange
and	CC	and
tried	VBD	try
to	TO	to
trade	VB	trade
it	PP	it
with	IN	with
me	PP	me
for	IN	for
a	DT	a
peanut	NN	peanut
.	SENT	.
Now	RB	now
,	,	,
oranges	NNS	orange
are	VBP	be
a	DT	a
valuable	JJ	valuable
monkey	NN	monkey
commodity	NN	commodity
,	,	,
so	RB	so
this	DT	this
trade	NN	trade
seemed	VBD	seem
,	,	,
shall	MD	shall
I	PP	I
say	VBP	say
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
nuts	NNS	nut
?	SENT	?
Now	RB	now
you	PP	you
may	MD	may
be	VB	be
wondering	VBG	wonder
how	WRB	how
we	PP	we
know	VBP	know
what	WP	what
monkeys	NNS	monkey
prefer	VBP	prefer
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
ask	VBP	ask
them	PP	them
,	,	,
by	IN	by
giving	VBG	give
them	PP	them
a	DT	a
choice	NN	choice
between	IN	between
two	CD	two
foods	NNS	food
and	CC	and
seeing	VBG	see
which	WDT	which
one	CD	one
they	PP	they
pick	VBP	pick
.	SENT	.
Generally	RB	generally
speaking	VBG	speak
,	,	,
their	PP$	their
preferences	NNS	preference
are	VBP	be
a	DT	a
lot	NN	lot
like	IN	like
ours	PP	ours
:	:	:
the	DT	the
sweeter	JJR	sweet
it	PP	it
is	VBZ	be
,	,	,
the	DT	the
more	RBR	more
they	PP	they
like	VBP	like
it	PP	it
.	SENT	.
So	RB	so
,	,	,
much	RB	much
like	IN	like
humans	NNS	human
prefer	VBP	prefer
cupcakes	NNS	cupcake
to	TO	to
kale	NN	kale
,	,	,
monkeys	NNS	monkey
prefer	VBP	prefer
fruits	NNS	fruit
,	,	,
like	IN	like
oranges	NNS	orange
or	CC	or
grapes	NNS	grape
,	,	,
to	TO	to
vegetables	NNS	vegetable
like	IN	like
cucumbers	NNS	cucumber
,	,	,
and	CC	and
all	DT	all
of	IN	of
this	DT	this
to	TO	to
monkey	NN	monkey
chow	NN	chow
.	SENT	.
And	CC	and
peanuts	NNS	peanut
are	VBP	be
not	RB	not
bad	JJ	bad
.	SENT	.
However	RB	however
,	,	,
they	PP	they
definitely	RB	definitely
don	VBP	don
'	POS	'
t	NN	t
prefer	VBP	prefer
them	PP	them
to	TO	to
a	DT	a
chunk	NN	chunk
of	IN	of
orange	NN	orange
.	SENT	.
So	RB	so
when	WRB	when
Ozzie	NP	Ozzie
tried	VBD	try
to	TO	to
trade	VB	trade
a	DT	a
quarter	NN	quarter
of	IN	of
an	DT	an
orange	NN	orange
for	IN	for
a	DT	a
peanut	NN	peanut
,	,	,
it	PP	it
was	VBD	be
a	DT	a
surprise	NN	surprise
,	,	,
and	CC	and
I	PP	I
began	VBD	begin
to	TO	to
wonder	VB	wonder
if	IN	if
he	PP	he
suddenly	RB	suddenly
wanted	VBD	want
that	DT	that
peanut	NN	peanut
because	IN	because
everybody	NN	everybody
else	RB	else
in	IN	in
his	PP$	his
group	NN	group
was	VBD	be
getting	VBG	get
one	CD	one
.	SENT	.
In	IN	in
case	NN	case
you	PP	you
'	POS	'
re	NN	re
wondering	VBG	wonder
,	,	,
I	PP	I
did	VBD	do
give	VB	give
Ozzie	NP	Ozzie
his	PP$	his
peanut	NN	peanut
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
went	VBD	go
straight	RB	straight
to	TO	to
my	PP$	my
graduate	JJ	graduate
adviser	NN	adviser
,	,	,
Frans	NP	Frans
de	NP	de
Waal	NP	Waal
,	,	,
and	CC	and
we	PP	we
began	VBD	begin
to	TO	to
design	VB	design
a	DT	a
study	NN	study
to	TO	to
see	VB	see
how	WRB	how
the	DT	the
monkeys	NNS	monkey
would	MD	would
respond	VB	respond
when	WRB	when
somebody	NN	somebody
else	RB	else
in	IN	in
their	PP$	their
group	NN	group
got	VBD	get
a	DT	a
better	JJR	good
reward	NN	reward
than	IN	than
they	PP	they
did	VBD	do
for	IN	for
doing	VBG	do
the	DT	the
same	JJ	same
work	NN	work
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
simple	JJ	simple
study	NN	study
.	SENT	.
We	PP	we
took	VBD	take
two	CD	two
monkeys	NNS	monkey
from	IN	from
the	DT	the
same	JJ	same
group	NN	group
and	CC	and
had	VBD	have
them	PP	them
sit	VBP	sit
side	NN	side
by	IN	by
side	NN	side
,	,	,
and	CC	and
they	PP	they
would	MD	would
do	VB	do
a	DT	a
task	NN	task
,	,	,
which	WDT	which
was	VBD	be
trading	VBG	trade
a	DT	a
token	NN	token
with	IN	with
me	PP	me
,	,	,
and	CC	and
if	IN	if
they	PP	they
did	VBD	do
so	RB	so
successfully	RB	successfully
,	,	,
they	PP	they
got	VBD	get
a	DT	a
reward	NN	reward
.	SENT	.
The	DT	the
catch	NN	catch
was	VBD	be
that	IN	that
one	CD	one
monkey	NN	monkey
always	RB	always
got	VBD	get
a	DT	a
piece	NN	piece
of	IN	of
cucumber	NN	cucumber
,	,	,
and	CC	and
the	DT	the
other	JJ	other
monkey	NN	monkey
sometimes	RB	sometimes
got	VBD	get
a	DT	a
piece	NN	piece
of	IN	of
cucumber	NN	cucumber
,	,	,
but	CC	but
sometimes	RB	sometimes
got	VBD	get
a	DT	a
grape	NN	grape
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
ll	NN	ll
recall	NN	recall
,	,	,
grapes	NNS	grape
are	VBP	be
much	RB	much
preferred	JJ	preferred
to	TO	to
cucumbers	NNS	cucumber
on	IN	on
the	DT	the
capuchin	NN	capuchin
monkey	NN	monkey
hierarchy	NN	hierarchy
.	SENT	.
These	DT	these
are	VBP	be
two	CD	two
of	IN	of
my	PP$	my
capuchin	NN	capuchin
monkeys	NNS	monkey
.	SENT	.
Winter	NN	winter
,	,	,
on	IN	on
the	DT	the
right	NN	right
,	,	,
is	VBZ	be
trading	VBG	trade
for	IN	for
a	DT	a
grape	NN	grape
,	,	,
and	CC	and
Lance	NP	Lance
,	,	,
on	IN	on
the	DT	the
left	NN	left
,	,	,
is	VBZ	be
trading	VBG	trade
for	IN	for
a	DT	a
cucumber	NN	cucumber
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
that	IN	that
she	PP	she
--	:	--
and	CC	and
yes	UH	yes
,	,	,
Lance	NP	Lance
is	VBZ	be
actually	RB	actually
a	DT	a
female	NN	female
--	:	--
is	VBZ	be
at	IN	at
first	RB	first
perfectly	RB	perfectly
happy	JJ	happy
with	IN	with
her	PP$	her
cucumber	NN	cucumber
,	,	,
until	IN	until
she	PP	she
sees	VBZ	see
Winter	NP	Winter
trading	NN	trading
for	IN	for
a	DT	a
grape	NN	grape
.	SENT	.
Suddenly	RB	suddenly
,	,	,
Lance	NP	Lance
is	VBZ	be
very	RB	very
enthusiastic	JJ	enthusiastic
about	IN	about
trading	NN	trading
.	SENT	.
She	PP	she
gets	VBZ	get
her	PP$	her
cucumber	NN	cucumber
,	,	,
takes	VBZ	take
a	DT	a
bite	NN	bite
and	CC	and
then	RB	then
--	:	--
throws	VBZ	throw
it	PP	it
right	RB	right
back	VBP	back
out	RP	out
again	RB	again
