Hello	UH	hello
,	,	,
everyone	NN	everyone
.	SENT	.
As	IN	as
he	PP	he
said	VBD	say
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Margaret	NP	Margaret
Hall	NP	Hall
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
musical	JJ	musical
theater	NN	theater
historian	NN	historian
,	,	,
writer	NN	writer
and	CC	and
teacher	NN	teacher
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
how	WRB	how
we	PP	we
talk	VBP	talk
about	IN	about
art	NN	art
.	SENT	.
Theater	NN	theater
is	VBZ	be
,	,	,
at	IN	at
its	PP$	its
core	NN	core
,	,	,
a	DT	a
collaborative	JJ	collaborative
art	NN	art
form	NN	form
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
way	NN	way
for	IN	for
human	JJ	human
beings	NNS	being
to	TO	to
communicate	VB	communicate
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
Why	WRB	why
then	RB	then
do	VB	do
we	PP	we
struggle	VB	struggle
to	TO	to
communicate	VB	communicate
about	IN	about
the	DT	the
art	NN	art
form	VB	form
itself	PP	itself
?	SENT	?
There	EX	there
is	VBZ	be
one	CD	one
massive	JJ	massive
foundation-shifting	NN	<unknown>
question	NN	question
that	IN	that
many	JJ	many
people	NNS	people
working	VBG	work
in	IN	in
the	DT	the
American	JJ	American
theater	NN	theater
avoid	VB	avoid
,	,	,
and	CC	and
that	IN	that
question	NN	question
is	VBZ	be
:	:	:
How	WRB	how
do	VBP	do
we	PP	we
approach	VBP	approach
aging	VBG	age
art	NN	art
?	SENT	?
The	DT	the
American	JJ	American
musical	NN	musical
is	VBZ	be
a	DT	a
relatively	RB	relatively
young	JJ	young
art	NN	art
form	NN	form
.	SENT	.
If	IN	if
we	PP	we
use	VBP	use
1866	CD	@card@
'	POS	'
s	NN	S
"	``	"
The	DT	the
Black	NP	Black
Crook	NP	Crook
"	''	"
