Hello	UH	hello
,	,	,
friends	NNS	friend
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
happy	JJ	happy
to	TO	to
see	VB	see
all	DT	all
of	IN	of
you	PP	you
here	RB	here
today	NN	today
.	SENT	.
This	DT	this
is	VBZ	be
actually	RB	actually
exactly	RB	exactly
what	WP	what
I	PP	I
say	VBP	say
to	TO	to
the	DT	the
people	NNS	people
who	WP	who
visit	VBP	visit
us	PP	us
at	IN	at
the	DT	the
La	NP	La
Crosse	NP	Crosse
Public	NP	Public
Library	NP	Library
.	SENT	.
And	CC	and
I	PP	I
say	VBP	say
it	PP	it
because	IN	because
I	PP	I
mean	VBP	mean
it	PP	it
.	SENT	.
The	DT	the
children	NNS	child
who	WP	who
come	VBP	come
into	IN	into
our	PP$	our
library	NN	library
are	VBP	be
my	PP$	my
friends	NNS	friend
in	IN	in
that	WDT	that
I	PP	I
care	VBP	care
about	IN	about
their	PP$	their
needs	NNS	need
and	CC	and
their	PP$	their
futures	NNS	future
.	SENT	.
I	PP	I
want	VBP	want
them	PP	them
to	TO	to
be	VB	be
happy	JJ	happy
and	CC	and
successful	JJ	successful
.	SENT	.
I	PP	I
hope	VBP	hope
that	IN	that
they	PP	they
'	POS	'
ll	NNS	<unknown>
find	VBP	find
great	JJ	great
books	NNS	book
or	CC	or
a	DT	a
movie	NN	movie
that	WDT	that
delights	VBZ	delight
them	PP	them
.	SENT	.
Or	CC	or
the	DT	the
solution	NN	solution
to	TO	to
a	DT	a
tricky	JJ	tricky
problem	NN	problem
.	SENT	.
Libraries	NNS	library
in	IN	in
general	JJ	general
have	VBP	have
this	DT	this
wonderful	JJ	wonderful
reputation	NN	reputation
of	IN	of
really	RB	really
caring	VBG	care
about	IN	about
our	PP$	our
communities	NNS	community
.	SENT	.
We	PP	we
put	VBD	put
out	RP	out
mission	NN	mission
statements	NNS	statement
and	CC	and
statements	NNS	statement
of	IN	of
purpose	NN	purpose
that	WDT	that
say	VBP	say
that	IN	that
we	PP	we
connect	VBP	connect
our	PP$	our
community	NN	community
to	TO	to
the	DT	the
broader	JJR	broad
world	NN	world
.	SENT	.
We	PP	we
engage	VBP	engage
minds	NNS	mind
,	,	,
we	PP	we
create	VBP	create
lifelong	JJ	lifelong
learners	NNS	learner
.	SENT	.
And	CC	and
these	DT	these
ideals	NNS	ideal
are	VBP	be
really	RB	really
important	JJ	important
to	TO	to
us	PP	us
as	IN	as
libraries	NNS	library
,	,	,
because	IN	because
we	PP	we
