Cyndi	NP	Cyndi
Stivers	NP	Stivers
:	:	:
So	RB	so
,	,	,
future	JJ	future
of	IN	of
storytelling	NN	storytelling
.	SENT	.
Before	IN	before
we	PP	we
do	VBP	do
the	DT	the
future	NN	future
,	,	,
let	VBN	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
what	WP	what
is	VBZ	be
never	RB	never
going	VBG	go
to	TO	to
change	VB	change
about	IN	about
storytelling	NN	storytelling
.	SENT	.
Shonda	NP	Shonda
Rhimes	NP	Rhimes
:	:	:
What	WP	what
'	POS	'
s	NN	S
never	RB	never
going	VBG	go
to	TO	to
change	VB	change
.	SENT	.
Obviously	RB	obviously
,	,	,
I	PP	I
think	VBP	think
good	JJ	good
stories	NNS	story
are	VBP	be
never	RB	never
going	VBG	go
to	TO	to
change	VB	change
,	,	,
the	DT	the
need	NN	need
for	IN	for
people	NNS	people
to	TO	to
gather	VB	gather
together	RB	together
and	CC	and
exchange	VB	exchange
their	PP$	their
stories	NNS	story
and	CC	and
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
things	NNS	thing
that	WDT	that
feel	VBP	feel
universal	JJ	universal
,	,	,
the	DT	the
idea	NN	idea
that	IN	that
we	PP	we
all	RB	all
feel	VBP	feel
a	DT	a
compelling	JJ	compelling
need	NN	need
to	TO	to
watch	VB	watch
stories	NNS	story
,	,	,
to	TO	to
tell	VB	tell
stories	NNS	story
,	,	,
to	TO	to
share	NN	share
stories	NNS	story
—	:	-
sort	NN	sort
of	IN	of
the	DT	the
gathering	NN	gathering
around	IN	around
the	DT	the
campfire	NN	campfire
to	TO	to
discuss	VB	discuss
the	DT	the
things	NNS	thing
that	WDT	that
tell	VBP	tell
each	DT	each
one	CD	one
of	IN	of
us	PP	us
that	IN	that
we	PP	we
are	VBP	be
not	RB	not
alone	RB	alone
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Those	DT	those
things	NNS	thing
to	TO	to
me	PP	me
are	VBP	be
never	RB	never
going	VBG	go
to	TO	to
change	VB	change
.	SENT	.
That	DT	that
essence	NN	essence
of	IN	of
storytelling	NN	storytelling
is	VBZ	be
never	RB	never
going	VBG	go
to	TO	to
change	VB	change
.	SENT	.
CS	NP	CS
:	:	:
OK	UH	OK
.	SENT	.
In	IN	in
preparation	NN	preparation
for	IN	for
this	DT	this
conversation	NN	conversation
,	,	,
I	PP	I
checked	VBD	check
in	IN	in
with	IN	with
Susan	NP	Susan
Lyne	NP	Lyne
,	,	,
who	WP	who
was	VBD	be
running	VBG	run
ABC	NP	ABC
Entertainment	NP	Entertainment
when	WRB	when
you	PP	you
were	VBD	be
working	VBG	work
on	IN	on
"	``	"
Grey	NP	Grey
'	POS	'
s	JJ	<unknown>
Anatomy	NN	anatomy
"	''	"
—	:	-
SR	NN	SR
:	:	:
Yes	UH	yes
.	SENT	.
CS	NP	CS
:	:	:
And	CC	and
she	PP	she
said	VBD	say
that	IN	that
there	EX	there
was	VBD	be
this	DT	this
indelible	JJ	indelible
memory	NN	memory
she	PP	she
had	VBD	have
of	IN	of
your	PP$	your
casting	NN	casting
process	NN	process
,	,	,
where	WRB	where
without	IN	without
discussing	VBG	discuss
it	PP	it
with	IN	with
any	DT	any
of	IN	of
the	DT	the
executives	NNS	executive
,	,	,
you	PP	you
got	VBD	get
people	NNS	people
coming	VBG	come
in	IN	in
to	TO	to
read	VB	read
for	IN	for
your	PP$	your
scripts	NNS	script
,	,	,
and	CC	and
every	DT	every
one	CD	one
of	IN	of
them	PP	them
was	VBD	be
the	DT	the
full	JJ	full
range	NN	range
of	IN	of
humanity	NN	humanity
,	,	,
you	PP	you
did	VBD	do
not	RB	not
type	NN	type
anyone	NN	anyone
in	IN	in
any	DT	any
way	NN	way
,	,	,
and	CC	and
that	IN	that
it	PP	it
was	VBD	be
completely	RB	completely
surprising	JJ	surprising
.	SENT	.
So	RB	so
she	PP	she
said	VBD	say
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
retraining	VBG	retrain
the	DT	the
studio	NN	studio
executives	NNS	executive
,	,	,
you	PP	you
also	RB	also
,	,	,
she	PP	she
feels	VBZ	feel
,	,	,
and	CC	and
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
—	:	-
I	PP	I
agree	VBP	agree
,	,	,
retrained	VBN	retrain
the	DT	the
expectations	NNS	expectation
of	IN	of
the	DT	the
American	JJ	American
TV	NN	TV
audience	NN	audience
.	SENT	.
So	RB	so
what	WP	what
else	RB	else
does	VBZ	do
the	DT	the
audience	NN	audience
not	RB	not
yet	RB	yet
realize	VB	realize
that	IN	that
it	PP	it
needs	VBZ	need
?	SENT	?
SR	NN	SR
:	:	:
What	WP	what
else	RB	else
does	VBZ	do
it	PP	it
not	RB	not
yet	RB	yet
realize	VB	realize
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
'	''	'
re	IN	re
anywhere	RB	anywhere
near	JJ	near
there	RB	there
yet	RB	yet
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
'	POS	'
re	NN	re
still	RB	still
in	IN	in
a	DT	a
place	NN	place
in	IN	in
which	WDT	which
we	PP	we
'	POS	'
re	NN	re
far	RB	far
,	,	,
far	RB	far
behind	IN	behind
what	WP	what
looks	VBZ	look
like	IN	like
the	DT	the
real	JJ	real
world	NN	world
in	IN	in
actuality	NN	actuality
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
bringing	VBG	bring
in	IN	in
a	DT	a
bunch	NN	bunch
of	IN	of
actors	NNS	actor
who	WP	who
looked	VBD	look
very	RB	very
different	JJ	different
from	IN	from
one	CD	one
another	DT	another
simply	RB	simply
because	IN	because
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
make	VB	make
a	DT	a
point	NN	point
,	,	,
and	CC	and
I	PP	I
