My	PP$	my
name	NN	name
is	VBZ	be
Arvind	NP	Arvind
Gupta	NP	Gupta
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
a	DT	a
toymaker	NN	toymaker
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
making	VBG	make
toys	NNS	toy
for	IN	for
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
.	SENT	.
The	DT	the
early	JJ	early
'	POS	'
70s	NNS	<unknown>
,	,	,
I	PP	I
was	VBD	be
in	IN	in
college	NN	college
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
revolutionary	JJ	revolutionary
time	NN	time
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
political	JJ	political
ferment	NN	ferment
,	,	,
so	RB	so
to	TO	to
say	VB	say
â	NP	<unknown>
students	NNS	student
out	RP	out
in	IN	in
the	DT	the
streets	NNS	street
of	IN	of
Paris	NP	Paris
,	,	,
revolting	VBG	revolt
against	IN	against
authority	NN	authority
.	SENT	.
America	NP	America
was	VBD	be
jolted	VBN	jolt
by	IN	by
the	DT	the
anti-Vietnam	NP	anti-Vietnam
movement	NN	movement
,	,	,
the	DT	the
Civil	NP	Civil
Rights	NPS	Rights
movement	NN	movement
.	SENT	.
In	IN	in
India	NP	India
,	,	,
we	PP	we
had	VBD	have
the	DT	the
Naxalite	NP	<unknown>
movement	NN	movement
,	,	,
the	DT	the
[	SYM	[
unclear	JJ	unclear
]	SYM	]
movement	NN	movement
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
there	EX	there
is	VBZ	be
a	DT	a
political	JJ	political
churning	NN	churning
of	IN	of
society	NN	society
,	,	,
it	PP	it
unleashes	VBZ	unleash
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
.	SENT	.
The	DT	the
National	NP	National
Movement	NP	Movement
of	IN	of
India	NP	India
was	VBD	be
testimony	NN	testimony
to	TO	to
that	DT	that
.	SENT	.
Lots	NNS	lot
of	IN	of
people	NNS	people
resigned	VBN	resign
from	IN	from
well-paid	JJ	well-paid
jobs	NNS	job
and	CC	and
jumped	VBD	jump
into	IN	into
the	DT	the
National	NP	National
Movement	NP	Movement
.	SENT	.
Now	RB	now
in	IN	in
the	DT	the
early	JJ	early
'	POS	'
70s	NNS	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
programs	NNS	program
in	IN	in
India	NP	India
was	VBD	be
to	TO	to
revitalize	VB	revitalize
primary	JJ	primary
science	NN	science
in	IN	in
village	NN	village
schools	NNS	school
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
person	NN	person
,	,	,
Anil	NP	Anil
Sadgopal	NP	Sadgopal
,	,	,
did	VBD	do
a	DT	a
Ph	NN	Ph
.	SENT	.
D	LS	d
.	SENT	.
from	IN	from
Caltech	NP	Caltech
and	CC	and
returned	VBD	return
back	RB	back
as	IN	as
a	DT	a
molecular	JJ	molecular
biologist	NN	biologist
in	IN	in
India	NP	India
'	POS	'
s	JJ	<unknown>
cutting-edge	NN	cutting-edge
research	NN	research
institute	NN	institute
,	,	,
the	DT	the
TIFR	NP	<unknown>
.	SENT	.
At	IN	at
31	CD	@card@
,	,	,
he	PP	he
was	VBD	be
not	RB	not
able	JJ	able
to	TO	to
relate	VB	relate
the	DT	the
kind	NN	kind
of	IN	of
[	SYM	[
unclear	JJ	unclear
]	SYM	]
research	NN	research
,	,	,
which	WDT	which
he	PP	he
was	VBD	be
doing	VBG	do
with	IN	with
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
ordinary	JJ	ordinary
people	NNS	people
.	SENT	.
So	RB	so
he	PP	he
designed	VBD	design
and	CC	and
went	VBD	go
and	CC	and
started	VBD	start
a	DT	a
village	NN	village
science	NN	science
program	NN	program
.	SENT	.
Many	JJ	many
people	NNS	people
were	VBD	be
inspired	VBN	inspire
by	IN	by
this	DT	this
.	SENT	.
The	DT	the
slogan	NN	slogan
of	IN	of
the	DT	the
early	JJ	early
'	POS	'
70s	NNS	<unknown>
was	VBD	be
"	``	"
Go	VB	go
to	TO	to
the	DT	the
