People	NNS	people
ask	VBP	ask
me	PP	me
all	PDT	all
the	DT	the
time	NN	time
,	,	,
"	``	"
What	WP	what
is	VBZ	be
the	DT	the
toughest	JJS	tough
part	NN	part
about	IN	about
growing	VBG	grow
up	RP	up
in	IN	in
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
?	SENT	?
"	``	"
I	PP	I
was	VBD	be
an	DT	an
11-month-old	JJ	11-month-old
baby	NN	baby
when	WRB	when
I	PP	I
was	VBD	be
placed	VBN	place
in	IN	in
foster	JJ	foster
care	NN	care
.	SENT	.
By	IN	by
the	DT	the
time	NN	time
I	PP	I
was	VBD	be
in	IN	in
the	DT	the
third	JJ	third
grade	NN	grade
and	CC	and
I	PP	I
was	VBD	be
about	RB	about
nine	CD	nine
,	,	,
I	PP	I
was	VBD	be
adopted	VBN	adopt
.	SENT	.
I	PP	I
was	VBD	be
given	VBN	give
a	DT	a
new	JJ	new
forever	NNS	forever
family	NN	family
,	,	,
but	CC	but
it	PP	it
was	VBD	be
far	RB	far
from	IN	from
a	DT	a
loving	JJ	loving
home	NN	home
.	SENT	.
I	PP	I
was	VBD	be
consistently	RB	consistently
referred	VBN	refer
to	TO	to
as	IN	as
the	DT	the
N-word	NP	<unknown>
.	SENT	.
The	DT	the
refrigerator	NN	refrigerator
couldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
touched	VBN	touch
.	SENT	.
She	PP	she
cared	VBD	care
more	JJR	more
about	IN	about
that	DT	that
check	NN	check
than	IN	than
she	PP	she
did	VBD	do
me	PP	me
.	SENT	.
By	IN	by
the	DT	the
time	NN	time
I	PP	I
was	VBD	be
15	CD	@card@
,	,	,
I	PP	I
was	VBD	be
sick	JJ	sick
of	IN	of
it	PP	it
.	SENT	.
I	PP	I
knew	VBD	know
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
take	VB	take
matters	NNS	matter
into	IN	into
my	PP$	my
own	JJ	own
hands	NNS	hand
.	SENT	.
So	RB	so
after	IN	after
watching	VBG	watch
"	``	"
Law	NP	Law
and	CC	and
Order	NP	Order
,	,	,
"	''	"
the	DT	the
show	NN	show
--	:	--
Thank	VB	thank
God	NP	God
