Can	MD	can
any	DT	any
of	IN	of
you	PP	you
remember	VBP	remember
what	WP	what
you	PP	you
wanted	VBD	want
to	TO	to
be	VB	be
when	WRB	when
you	PP	you
were	VBD	be
17	CD	@card@
?	SENT	?
Do	VB	do
you	PP	you
know	VB	know
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
?	SENT	?
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
biker	NN	biker
chick	NN	chick
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
race	NN	race
cars	NNS	car
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
cowgirl	NN	cowgirl
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
Mowgli	NP	<unknown>
from	IN	from
"	``	"
The	DT	the
Jungle	NN	jungle
Book	NN	book
.	SENT	.
"	``	"
Because	IN	because
they	PP	they
were	VBD	be
all	RB	all
about	IN	about
being	VBG	be
free	JJ	free
,	,	,
the	DT	the
wind	NN	wind
in	IN	in
your	PP$	your
hair	NN	hair
—	:	-
just	RB	just
to	TO	to
be	VB	be
free	JJ	free
.	SENT	.
And	CC	and
on	IN	on
my	PP$	my
seventeenth	JJ	seventeenth
birthday	NN	birthday
,	,	,
my	PP$	my
parents	NNS	parent
,	,	,
knowing	VBG	know
how	WRB	how
much	JJ	much
I	PP	I
loved	VBD	love
speed	NN	speed
,	,	,
gave	VBD	give
me	PP	me
one	CD	one
driving	NN	driving
lesson	NN	lesson
for	IN	for
my	PP$	my
seventeenth	JJ	seventeenth
birthday	NN	birthday
.	SENT	.
Not	RB	not
that	IN	that
we	PP	we
could	MD	could
have	VB	have
afforded	VBN	afford
I	PP	I
drive	VBP	drive
,	,	,
but	CC	but
to	TO	to
give	VB	give
me	PP	me
the	DT	the
dream	NN	dream
of	IN	of
driving	VBG	drive
.	SENT	.
And	CC	and
on	IN	on
my	PP$	my
seventeenth	JJ	seventeenth
birthday	NN	birthday
,	,	,
I	PP	I
accompanied	VBD	accompany
my	PP$	my
little	JJ	little
sister	NN	sister
in	IN	in
complete	JJ	complete
innocence	NN	innocence
,	,	,
as	IN	as
I	PP	I
always	RB	always
had	VBD	have
all	PDT	all
my	PP$	my
life	NN	life
—	:	-
my	PP$	my
visually	RB	visually
impaired	VBN	impair
sister	NN	sister
—	:	-
to	TO	to
go	VB	go
to	TO	to
see	VB	see
an	DT	an
eye	NN	eye
specialist	NN	specialist
.	SENT	.
Because	IN	because
big	JJ	big
sisters	NNS	sister
are	VBP	be
always	RB	always
supposed	VBN	suppose
to	TO	to
support	VB	support
their	PP$	their
little	JJ	little
sisters	NNS	sister
.	SENT	.
And	CC	and
my	PP$	my
little	JJ	little
sister	NN	sister
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
pilot	NN	pilot
—	:	-
God	NP	God
help	VB	help
her	PP	her
.	SENT	.
So	RB	so
I	PP	I
used	VBD	use
to	TO	to
get	VB	get
my	PP$	my
eyes	NNS	eye
tested	VBN	test
just	RB	just
for	IN	for
fun	NN	fun
.	SENT	.
And	CC	and
on	IN	on
my	PP$	my
seventeenth	JJ	seventeenth
birthday	NN	birthday
,	,	,
after	IN	after
my	PP$	my
fake	JJ	fake
eye	NN	eye
exam	NN	exam
,	,	,
the	DT	the
eye	NN	eye
specialist	NN	specialist
just	RB	just
noticed	VBD	notice
it	PP	it
happened	VBD	happen
to	TO	to
be	VB	be
my	PP$	my
birthday	NN	birthday
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
So	RB	so
what	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
to	TO	to
celebrate	VB	celebrate
?	SENT	?
"	``	"
And	CC	and
I	PP	I
took	VBD	take
that	IN	that
driving	VBG	drive
lesson	NN	lesson
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
drive	VB	drive
.	SENT	.
"	''	"
And	CC	and
then	RB	then
there	EX	there
was	VBD	be
a	DT	a
silence	NN	silence
—	:	-
one	CD	one
of	IN	of
those	DT	those
awful	JJ	awful
silences	NNS	silence
when	WRB	when
you	PP	you
know	VBP	know
something	NN	something
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
.	SENT	.
And	CC	and
he	PP	he
turned	VBD	turn
to	TO	to
my	PP$	my
mother	NN	mother
,	,	,
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
haven	NN	haven
'	POS	'
t	NN	t
told	VBD	tell
her	PP	her
yet	RB	yet
?	SENT	?
"	''	"
On	IN	on
my	PP$	my
seventeenth	JJ	seventeenth
birthday	NN	birthday
,	,	,
as	IN	as
Janis	NP	Janis
Ian	NP	Ian
would	MD	would
best	RBS	well
say	VB	say
,	,	,
I	PP	I
learned	VBD	learn
the	DT	the
truth	NN	truth
at	IN	at
17	CD	@card@
.	SENT	.
I	PP	I
am	VBP	be
,	,	,
and	CC	and
have	VBP	have
been	VBN	be
since	IN	since
birth	NN	birth
,	,	,
legally	RB	legally
blind	JJ	blind
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
on	IN	on
earth	NN	earth
did	VBD	do
I	PP	I
get	VB	get
to	TO	to
17	CD	@card@
and	CC	and
not	RB	not
know	VB	know
that	DT	that
?	SENT	?
Well	RB	well
,	,	,
if	IN	if
anybody	NN	anybody
says	VBZ	say
country	NN	country
music	NN	music
isn	NN	isn
'	POS	'
t	NN	t
powerful	JJ	powerful
,	,	,
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
this	DT	this
:	:	:
I	PP	I
got	VBD	get
there	RB	there
because	IN	because
my	PP$	my
father	NN	father
'	POS	'
s	JJ	<unknown>
passion	NN	passion
for	IN	for
Johnny	NP	Johnny
Cash	NP	Cash
and	CC	and
a	DT	a
song	NN	song
,	,	,
"	''	"
A	NP	A
Boy	NP	Boy
Named	VBD	name
Sue	NP	Sue
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
the	DT	the
eldest	JJ	eldest
of	IN	of
three	CD	three
.	SENT	.
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
1971	CD	@card@
.	SENT	.
And	CC	and
very	RB	very
shortly	RB	shortly
after	IN	after
my	PP$	my
birth	NN	birth
,	,	,
my	PP$	my
parents	NNS	parent
found	VBN	find
out	IN	out
I	PP	I
had	VBD	have
a	DT	a
condition	NN	condition
called	VBD	call
ocular	JJ	ocular
albinism	NN	<unknown>
.	SENT	.
And	CC	and
what	WP	what
the	DT	the
hell	NN	hell
does	VBZ	do
that	RB	that
mean	VB	mean
to	TO	to
you	PP	you
?	SENT	?
So	RB	so
let	VB	let
me	PP	me
just	RB	just
tell	VBP	tell
you	PP	you
,	,	,
the	DT	the
great	JJ	great
part	NN	part
of	IN	of
all	DT	all
of	IN	of
this	DT	this
?	SENT	?
I	PP	I
can	MD	can
'	''	'
t	NN	t
see	VB	see
this	DT	this
clock	NN	clock
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
see	VB	see
the	DT	the
timing	NN	timing
,	,	,
so	RB	so
holy	JJ	holy
God	NP	God
,	,	,
woohoo	NN	<unknown>
!	SENT	!
I	PP	I
might	MD	might
buy	VB	buy
some	DT	some
more	JJR	more
time	NN	time
.	SENT	.
But	CC	but
more	RBR	more
importantly	RB	importantly
,	,	,
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
—	:	-
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
come	VB	come
up	RP	up
really	RB	really
close	VB	close
here	RB	here
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
freak	NN	freak
out	RB	out
,	,	,
Pat	NP	Pat
.	SENT	.
Hey	UH	hey
.	SENT	.
See	VB	see
this	DT	this
hand	NN	hand
?	SENT	?
Beyond	IN	beyond
this	DT	this
hand	NN	hand
is	VBZ	be
a	DT	a
world	NN	world
of	IN	of
Vaseline	NN	vaseline
.	SENT	.
Every	DT	every
man	NN	man
in	IN	in
this	DT	this
room	NN	room
,	,	,
even	RB	even
you	PP	you
,	,	,
Steve	NP	Steve
,	,	,
is	VBZ	be
George	NP	George
Clooney	NP	Clooney
.	SENT	.
And	CC	and
every	DT	every
woman	NN	woman
,	,	,
you	PP	you
are	VBP	be
so	RB	so
beautiful	JJ	beautiful
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
want	VBP	want
to	TO	to
look	VB	look
beautiful	JJ	beautiful
,	,	,
I	PP	I
step	VBP	step
three	CD	three
feet	NNS	foot
away	RB	away
from	IN	from
the	DT	the
mirror	NN	mirror
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
see	VB	see
these	DT	these
lines	NNS	line
etched	VBN	etch
in	IN	in
my	PP$	my
face	NN	face
from	IN	from
all	PDT	all
the	DT	the
squinting	VBG	squint
I	PP	I
'	POS	'
ve	RB	<unknown>
done	VBN	do
all	PDT	all
my	PP$	my
life	NN	life
from	IN	from
all	PDT	all
the	DT	the
dark	JJ	dark
lights	NNS	light
.	SENT	.
The	DT	the
really	RB	really
strange	JJ	strange
part	NN	part
is	VBZ	be
that	IN	that
,	,	,
at	IN	at
three	CD	three
and	CC	and
a	DT	a
half	NN	half
,	,	,
just	RB	just
before	IN	before
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
school	NN	school
,	,	,
my	PP$	my
parents	NNS	parent
made	VBD	make
a	DT	a
bizarre	JJ	bizarre
,	,	,
unusual	JJ	unusual
and	CC	and
incredibly	RB	incredibly
brave	JJ	brave
decision	NN	decision
.	SENT	.
No	DT	no
special	JJ	special
needs	NNS	need
schools	NNS	school
.	SENT	.
No	DT	no
labels	NNS	label
.	SENT	.
No	DT	no
limitations	NNS	limitation
.	SENT	.
My	PP$	my
ability	NN	ability
and	CC	and
my	PP$	my
potential	NN	potential
.	SENT	.
And	CC	and
they	PP	they
decided	VBD	decide
to	TO	to
tell	VB	tell
me	PP	me
that	IN	that
I	PP	I
could	MD	could
see	VB	see
.	SENT	.
So	RB	so
just	RB	just
like	IN	like
Johnny	NP	Johnny
Cash	NP	Cash
'	POS	'
s	JJ	<unknown>
Sue	NP	Sue
,	,	,
a	DT	a
boy	NN	boy
given	VBN	give
a	DT	a
girl	NN	girl
'	POS	'
s	NN	S
name	NN	name
,	,	,
I	PP	I
would	MD	would
grow	VB	grow
up	RP	up
and	CC	and
learn	VB	learn
from	IN	from
experience	NN	experience
how	WRB	how
to	TO	to
be	VB	be
tough	JJ	tough
and	CC	and
how	WRB	how
to	TO	to
survive	VB	survive
,	,	,
when	WRB	when
they	PP	they
were	VBD	be
no	RB	no
longer	RBR	longer
there	RB	there
to	TO	to
protect	VB	protect
me	PP	me
,	,	,
or	CC	or
just	RB	just
take	VB	take
it	PP	it
all	DT	all
away	RP	away
.	SENT	.
But	CC	but
more	RBR	more
significantly	RB	significantly
,	,	,
they	PP	they
gave	VBD	give
me	PP	me
the	DT	the
ability	NN	ability
to	TO	to
believe	VB	believe
,	,	,
totally	RB	totally
,	,	,
to	TO	to
believe	VB	believe
that	IN	that
I	PP	I
could	MD	could
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
I	PP	I
heard	VBD	hear
that	IN	that
eye	NN	eye
specialist	NN	specialist
tell	VBP	tell
me	PP	me
all	PDT	all
the	DT	the
things	NNS	thing
,	,	,
a	DT	a
big	JJ	big
fat	JJ	fat
"	``	"
no	UH	no
,	,	,
"	``	"
everybody	NN	everybody
imagines	VBZ	imagine
I	PP	I
was	VBD	be
devastated	VBN	devastate
.	SENT	.
And	CC	and
don	NN	don
'	POS	'
t	NN	t
get	VB	get
me	PP	me
wrong	JJ	wrong
,	,	,
because	IN	because
when	WRB	when
I	PP	I
first	RB	first
heard	VBD	hear
it	PP	it
—	:	-
aside	RB	aside
from	IN	from
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
thought	VBD	think
he	PP	he
was	VBD	be
insane	JJ	insane
—	:	-
I	PP	I
got	VBD	get
that	DT	that
thump	NN	thump
in	IN	in
my	PP$	my
chest	NN	chest
,	,	,
just	RB	just
that	IN	that
"	``	"
huh	NP	Huh
?	SENT	?
"	``	"
But	CC	but
very	RB	very
quickly	RB	quickly
I	PP	I
recovered	VBD	recover
.	SENT	.
It	PP	it
was	VBD	be
like	IN	like
that	DT	that
.	SENT	.
The	DT	the
first	JJ	first
thing	NN	thing
I	PP	I
thought	VBD	think
about	RB	about
was	VBD	be
my	PP$	my
mom	NN	mom
,	,	,
who	WP	who
was	VBD	be
crying	VBG	cry
over	RP	over
beside	IN	beside
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
swear	VBP	swear
to	TO	to
God	NP	God
,	,	,
I	PP	I
walked	VBD	walk
out	RP	out
of	IN	of
his	PP$	his
office	NN	office
,	,	,
"	''	"
I	PP	I
will	MD	will
drive	VB	drive
.	SENT	.
I	PP	I
will	MD	will
drive	VB	drive
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
mad	JJ	mad
.	SENT	.
I	NP	I
'	POS	'
ll	NN	ll
drive	NN	drive
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
can	MD	can
drive	VB	drive
.	SENT	.
"	''	"
And	CC	and
with	IN	with
the	DT	the
same	JJ	same
dogged	JJ	dogged
determination	NN	determination
that	IN	that
my	PP$	my
father	NN	father
had	VBD	have
bred	VBN	breed
into	IN	into
me	PP	me
since	IN	since
I	PP	I
was	VBD	be
such	JJ	such
a	DT	a
child	NN	child
—	:	-
he	PP	he
taught	VBD	teach
me	PP	me
how	WRB	how
to	TO	to
sail	VB	sail
,	,	,
knowing	VBG	know
I	PP	I
could	MD	could
never	RB	never
see	VB	see
where	WRB	where
I	PP	I
was	VBD	be
going	VBG	go
,	,	,
I	PP	I
could	MD	could
never	RB	never
see	VB	see
the	DT	the
shore	NN	shore
,	,	,
and	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
see	VBP	see
the	DT	the
sails	NNS	sail
,	,	,
and	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
see	VBP	see
the	DT	the
destination	NN	destination
.	SENT	.
But	CC	but
he	PP	he
told	VBD	tell
me	PP	me
to	TO	to
believe	VB	believe
and	CC	and
feel	VB	feel
the	DT	the
wind	NN	wind
in	IN	in
my	PP$	my
face	NN	face
.	SENT	.
And	CC	and
that	DT	that
wind	NN	wind
in	IN	in
my	PP$	my
face	NN	face
made	VBD	make
me	PP	me
believe	VBP	believe
that	IN	that
he	PP	he
was	VBD	be
mad	JJ	mad
and	CC	and
I	PP	I
would	MD	would
drive	VB	drive
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
next	JJ	next
11	CD	@card@
years	NNS	year
,	,	,
I	PP	I
swore	VBD	swear
nobody	NN	nobody
would	MD	would
ever	RB	ever
find	VB	find
out	RP	out
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
see	VB	see
,	,	,
because	IN	because
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
a	DT	a
failure	NN	failure
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
weak	JJ	weak
.	SENT	.
And	CC	and
I	PP	I
believed	VBD	believe
I	PP	I
could	MD	could
do	VB	do
it	PP	it
.	SENT	.
So	RB	so
I	PP	I
rammed	VBD	ram
through	IN	through
life	NN	life
as	IN	as
only	RB	only
a	DT	a
Casey	NP	Casey
can	MD	can
do	VB	do
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
an	DT	an
archeologist	NN	archeologist
,	,	,
and	CC	and
then	RB	then
I	PP	I
broke	VBD	break
things	NNS	thing
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
managed	VBD	manage
a	DT	a
restaurant	NN	restaurant
,	,	,
and	CC	and
then	RB	then
I	PP	I
slipped	VBD	slip
on	IN	on
things	NNS	thing
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
was	VBD	be
a	DT	a
masseuse	NN	masseuse
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
was	VBD	be
a	DT	a
landscape	NN	landscape
gardener	NN	gardener
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
went	VBD	go
to	TO	to
business	NN	business
school	NN	school
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
disabled	JJ	disabled
people	NNS	people
are	VBP	be
hugely	RB	hugely
educated	VBN	educate
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
went	VBD	go
in	IN	in
and	CC	and
I	PP	I
got	VBD	get
a	DT	a
global	JJ	global
consulting	NN	consulting
job	NN	job
with	IN	with
Accenture	NP	<unknown>
.	SENT	.
And	CC	and
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
know	VBP	know
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
extraordinary	JJ	extraordinary
how	WRB	how
far	RB	far
belief	NN	belief
can	MD	can
take	VB	take
you	PP	you
.	SENT	.
In	IN	in
1999	CD	@card@
,	,	,
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
years	NNS	year
into	IN	into
that	DT	that
job	NN	job
,	,	,
something	NN	something
happened	VBD	happen
.	SENT	.
Wonderfully	RB	wonderfully
,	,	,
my	PP$	my
eyes	NNS	eye
decided	VBD	decide
,	,	,
enough	RB	enough
.	SENT	.
And	CC	and
temporarily	RB	temporarily
,	,	,
very	RB	very
unexpectedly	RB	unexpectedly
,	,	,
they	PP	they
dropped	VBD	drop
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
in	IN	in
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
competitive	JJ	competitive
environments	NNS	environment
in	IN	in
the	DT	the
world	NN	world
,	,	,
where	WRB	where
you	PP	you
work	VBP	work
hard	RB	hard
,	,	,
play	VB	play
hard	RB	hard
,	,	,
you	PP	you
gotta	VB	gotta
be	VB	be
the	DT	the
best	JJS	good
,	,	,
you	PP	you
gotta	VB	gotta
be	VB	be
the	DT	the
best	JJS	good
.	SENT	.
And	CC	and
two	CD	two
years	NNS	year
in	IN	in
,	,	,
I	PP	I
really	RB	really
could	MD	could
see	VB	see
very	RB	very
little	JJ	little
.	SENT	.
And	CC	and
I	PP	I
found	VBD	find
myself	PP	myself
in	IN	in
front	NN	front
of	IN	of
an	DT	an
HR	NP	HR
manager	NN	manager
in	IN	in
1999	CD	@card@
,	,	,
saying	VBG	say
something	NN	something
I	PP	I
never	RB	never
imagined	VBD	imagine
that	IN	that
I	PP	I
would	MD	would
say	VB	say
.	SENT	.
I	PP	I
was	VBD	be
28	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
I	PP	I
had	VBD	have
built	VBN	build
a	DT	a
persona	NN	persona
all	DT	all
around	IN	around
what	WP	what
I	PP	I
could	MD	could
and	CC	and
couldn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
.	SENT	.
And	CC	and
I	PP	I
simply	RB	simply
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
sorry	RB	sorry
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
see	VB	see
,	,	,
and	CC	and
I	PP	I
need	MD	need
help	VB	help
.	SENT	.
"	''	"
Asking	VBG	ask
for	IN	for
help	NN	help
can	MD	can
be	VB	be
incredibly	RB	incredibly
difficult	JJ	difficult
.	SENT	.
And	CC	and
you	PP	you
all	RB	all
know	VBP	know
what	WP	what
it	PP	it
is	VBZ	be
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
have	VB	have
a	DT	a
disability	NN	disability
to	TO	to
know	VB	know
that	DT	that
