Five	CD	five
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
had	VBD	have
my	PP$	my
dream	NN	dream
job	NN	job
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
foreign	JJ	foreign
correspondent	NN	correspondent
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
reporting	NN	reporting
for	IN	for
ABC	NP	ABC
News	NP	News
.	SENT	.
But	CC	but
there	EX	there
was	VBD	be
a	DT	a
crack	NN	crack
in	IN	in
the	DT	the
wall	NN	wall
,	,	,
a	DT	a
problem	NN	problem
with	IN	with
our	PP$	our
industry	NN	industry
,	,	,
that	WDT	that
I	PP	I
felt	VBD	feel
we	PP	we
needed	VBD	need
to	TO	to
fix	VB	fix
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
I	PP	I
got	VBD	get
to	TO	to
the	DT	the
Middle	JJ	middle
East	JJ	East
right	NN	right
around	IN	around
the	DT	the
end	NN	end
of	IN	of
2007	CD	@card@
,	,	,
which	WDT	which
was	VBD	be
just	RB	just
around	IN	around
the	DT	the
midpoint	NN	midpoint
of	IN	of
the	DT	the
Iraq	NP	Iraq
War	NP	War
.	SENT	.
But	CC	but
by	IN	by
the	DT	the
time	NN	time
I	PP	I
got	VBD	get
there	RB	there
,	,	,
it	PP	it
was	VBD	be
already	RB	already
nearly	RB	nearly
impossible	JJ	impossible
to	TO	to
find	VB	find
stories	NNS	story
about	IN	about
Iraq	NP	Iraq
on	IN	on
air	NN	air
.	SENT	.
Coverage	NN	coverage
had	VBD	have
dropped	VBN	drop
across	IN	across
the	DT	the
board	NN	board
,	,	,
across	IN	across
networks	NNS	network
.	SENT	.
And	CC	and
of	IN	of
the	DT	the
stories	NNS	story
that	WDT	that
did	VBD	do
make	VB	make
it	PP	it
,	,	,
more	JJR	more
than	IN	than
80	CD	@card@
percent	NN	percent
of	IN	of
them	PP	them
were	VBD	be
about	IN	about
us	PP	us
.	SENT	.
We	PP	we
were	VBD	be
missing	VBG	miss
the	DT	the
stories	NNS	story
about	IN	about
Iraq	NP	Iraq
,	,	,
the	DT	the
people	NNS	people
who	WP	who
live	VBP	live
there	RB	there
,	,	,
and	CC	and
what	WP	what
was	VBD	be
happening	VBG	happen
to	TO	to
them	PP	them
under	IN	under
the	DT	the
weight	NN	weight
of	IN	of
the	DT	the
war	NN	war
.	SENT	.
Afghanistan	NP	Afghanistan
had	VBD	have
already	RB	already
fallen	VBN	fall
off	RP	off
the	DT	the
agenda	NN	agenda
.	SENT	.
There	EX	there
were	VBD	be
less	JJR	less
than	IN	than
one	CD	one
percent	NN	percent
of	IN	of
all	DT	all
news	NN	news
stories	NNS	story
in	IN	in
2008	CD	@card@
that	WDT	that
went	VBD	go
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Afghanistan	NP	Afghanistan
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
longest	JJS	long
war	NN	war
in	IN	in
US	NP	US
history	NN	history
,	,	,
but	CC	but
information	NN	information
was	VBD	be
so	RB	so
scarce	JJ	scarce
that	IN	that
schoolteachers	NNS	schoolteacher
we	PP	we
spoke	VBD	speak
