Hello	UH	hello
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
introduce	VB	introduce
you	PP	you
to	TO	to
someone	NN	someone
.	SENT	.
This	DT	this
is	VBZ	be
Jomny	NP	<unknown>
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
"	``	"
Jonny	NP	<unknown>
"	''	"
but	CC	but
spelled	VBN	spell
accidentally	RB	accidentally
with	IN	with
an	DT	an
"	``	"
m	NN	m
,	,	,
"	''	"
in	IN	in
case	NN	case
you	PP	you
were	VBD	be
wondering	VBG	wonder
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
not	RB	not
all	RB	all
perfect	JJ	perfect
.	SENT	.
Jomny	NP	<unknown>
is	VBZ	be
an	DT	an
alien	NN	alien
who	WP	who
has	VBZ	have
been	VBN	be
sent	VBN	send
to	TO	to
earth	VB	earth
with	IN	with
a	DT	a
mission	NN	mission
to	TO	to
study	VB	study
humans	NNS	human
.	SENT	.
Jomny	NP	<unknown>
is	VBZ	be
feeling	VBG	feel
lost	JJ	lost
and	CC	and
alone	RB	alone
and	CC	and
far	RB	far
from	IN	from
home	NN	home
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ve	NNS	<unknown>
all	RB	all
felt	VBD	feel
this	DT	this
way	NN	way
.	SENT	.
Or	CC	or
,	,	,
at	IN	at
least	JJS	least
I	PP	I
have	VBP	have
.	SENT	.
I	PP	I
wrote	VBD	write
this	DT	this
story	NN	story
about	IN	about
this	DT	this
alien	NN	alien
at	IN	at
a	DT	a
moment	NN	moment
in	IN	in
my	PP$	my
life	NN	life
when	WRB	when
I	PP	I
was	VBD	be
feeling	VBG	feel
particularly	RB	particularly
alien	JJ	alien
.	SENT	.
I	PP	I
had	VBD	have
just	RB	just
moved	VBN	move
to	TO	to
Cambridge	NP	Cambridge
and	CC	and
started	VBD	start
my	PP$	my
doctoral	JJ	doctoral
program	NN	program
at	IN	at
MIT	NP	MIT
,	,	,
and	CC	and
I	PP	I
was	VBD	be
feeling	VBG	feel
intimidated	VBN	intimidate
and	CC	and
isolated	VBN	isolate
and	CC	and
very	RB	very
much	RB	much
like	IN	like
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
belong	VBP	belong
.	SENT	.
But	CC	but
I	PP	I
had	VBD	have
a	DT	a
lifeline	NN	lifeline
of	IN	of
sorts	NNS	sort
.	SENT	.
See	VB	see
,	,	,
I	PP	I
was	VBD	be
writing	VBG	write
jokes	NNS	joke
for	IN	for
years	NNS	year
and	CC	and
years	NNS	year
and	CC	and
sharing	VBG	share
them	PP	them
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
and	CC	and
I	PP	I
found	VBD	find
that	IN	that
I	PP	I
was	VBD	be
turning	VBG	turn
to	TO	to
doing	VBG	do
this	DT	this
more	JJR	more
and	CC	and
more	JJR	more
.	SENT	.
Now	RB	now
,	,	,
for	IN	for
many	JJ	many
people	NNS	people
,	,	,
the	DT	the
internet	NN	Internet
can	MD	can
feel	VB	feel
like	IN	like
a	DT	a
lonely	JJ	lonely
place	NN	place
.	SENT	.
It	PP	it
can	MD	can
feel	VB	feel
like	IN	like
this	DT	this
,	,	,
a	DT	a
big	JJ	big
,	,	,
endless	JJ	endless
,	,	,
expansive	JJ	expansive
void	NN	void
where	WRB	where
you	PP	you
can	MD	can
constantly	RB	constantly
call	VB	call
out	RP	out
to	TO	to
it	PP	it
but	CC	but
no	DT	no
one	CD	one
'	POS	'
s	NN	S
ever	RB	ever
listening	VBG	listen
.	SENT	.
But	CC	but
I	PP	I
actually	RB	actually
found	VBD	find
a	DT	a
comfort	NN	comfort
in	IN	in
speaking	VBG	speak
out	RP	out
to	TO	to
the	DT	the
void	NN	void
.	SENT	.
I	PP	I
found	VBD	find
,	,	,
in	IN	in
sharing	VBG	share
my	PP$	my
feelings	NNS	feeling
with	IN	with
the	DT	the
void	NN	void
,	,	,
eventually	RB	eventually
the	DT	the
void	NN	void
started	VBD	start
to	TO	to
speak	VB	speak
back	RB	back
.	SENT	.
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
the	DT	the
void	JJ	void
isn	NN	isn
'	POS	'
t	NN	t
this	DT	this
endless	JJ	endless
lonely	JJ	lonely
expanse	NN	expanse
at	IN	at
all	DT	all
,	,	,
but	CC	but
instead	RB	instead
it	PP	it
'	POS	'
s	NNS	<unknown>
full	JJ	full
of	IN	of
all	DT	all
sorts	NNS	sort
of	IN	of
other	JJ	other
people	NNS	people
,	,	,
also	RB	also
staring	VBG	stare
out	RP	out
into	IN	into
it	PP	it
and	CC	and
also	RB	also
wanting	VBG	want
to	TO	to
be	VB	be
heard	VBN	hear
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
many	JJ	many
bad	JJ	bad
things	NNS	thing
that	WDT	that
have	VBP	have
come	VBN	come
from	IN	from
social	JJ	social
media	NNS	medium
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
trying	VBG	try
to	TO	to
dispute	VB	dispute
that	IN	that
at	IN	at
all	DT	all
.	SENT	.
To	TO	to
be	VB	be
online	JJ	online
at	IN	at
any	DT	any
given	VBN	give
point	NN	point
