Twelve	CD	twelve
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
founded	VBD	found
Zipcar	NP	<unknown>
.	SENT	.
Zipcar	NP	<unknown>
buys	VBZ	buy
cars	NNS	car
and	CC	and
parks	VBZ	park
them	PP	them
throughout	IN	throughout
dense	JJ	dense
metropolitan	JJ	metropolitan
areas	NNS	area
for	IN	for
people	NNS	people
to	TO	to
use	VB	use
,	,	,
by	IN	by
the	DT	the
hour	NN	hour
and	CC	and
by	IN	by
the	DT	the
day	NN	day
,	,	,
instead	RB	instead
of	IN	of
owning	VBG	own
their	PP$	their
own	JJ	own
cars	NNS	car
.	SENT	.
Each	DT	each
Zipcar	NP	<unknown>
replaces	VBZ	replace
15	CD	@card@
personal	JJ	personal
cars	NNS	car
,	,	,
and	CC	and
each	DT	each
driver	NN	driver
drives	VBZ	drive
about	RB	about
80	CD	@card@
percent	NN	percent
less	JJR	less
because	IN	because
they	PP	they
'	POS	'
re	NN	re
now	RB	now
paying	VBG	pay
the	DT	the
full	JJ	full
cost	NN	cost
,	,	,
all	RB	all
at	IN	at
once	RB	once
,	,	,
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
But	CC	but
what	WP	what
Zipcar	NP	<unknown>
really	RB	really
did	VBD	do
was	VBD	be
make	VB	make
sharing	VBG	share
the	DT	the
norm	NN	norm
.	SENT	.
Now	RB	now
,	,	,
a	DT	a
decade	NN	decade
later	RBR	later
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
time	NN	time
to	TO	to
push	VB	push
the	DT	the
envelope	NN	envelope
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
and	CC	and
so	RB	so
a	DT	a
couple	NN	couple
years	NNS	year
ago	RB	ago
I	PP	I
moved	VBD	move
to	TO	to
Paris	NP	Paris
with	IN	with
my	PP$	my
husband	NN	husband
and	CC	and
youngest	JJS	young
child	NN	child
,	,	,
and	CC	and
we	PP	we
launched	VBD	launch
Buzzcar	NP	<unknown>
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
Buzzcar	NP	<unknown>
lets	VBZ	let
people	NNS	people
rent	VB	rent
out	RP	out
their	PP$	their
own	JJ	own
cars	NNS	car
to	TO	to
their	PP$	their
friends	NNS	friend
and	CC	and
neighbors	NNS	neighbor
.	SENT	.
Instead	RB	instead
of	IN	of
investing	VBG	invest
in	IN	in
a	DT	a
car	NN	car
,	,	,
we	PP	we
invest	VBP	invest
in	IN	in
a	DT	a
community	NN	community
.	SENT	.
We	PP	we
bring	VBP	bring
the	DT	the
power	NN	power
of	IN	of
a	DT	a
corporation	NN	corporation
to	TO	to
individuals	NNS	individual
who	WP	who
add	VBP	add
their	PP$	their
cars	NNS	car
to	TO	to
the	DT	the
network	NN	network
.	SENT	.
Some	DT	some
people	NNS	people
call	VBP	call
this	DT	this
peer-to-peer	NN	<unknown>
.	SENT	.
This	DT	this
does	VBZ	do
express	VB	express
the	DT	the
humanity	NN	humanity
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
,	,	,
and	CC	and
the	DT	the
personal	JJ	personal
