Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
an	DT	an
ocean	NN	ocean
chemist	NN	chemist
.	SENT	.
I	PP	I
look	VBP	look
at	IN	at
the	DT	the
chemistry	NN	chemistry
of	IN	of
the	DT	the
ocean	NN	ocean
today	NN	today
.	SENT	.
I	PP	I
look	VBP	look
at	IN	at
the	DT	the
chemistry	NN	chemistry
of	IN	of
the	DT	the
ocean	NN	ocean
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
The	DT	the
way	NN	way
I	PP	I
look	VBP	look
back	RB	back
in	IN	in
the	DT	the
past	NN	past
is	VBZ	be
by	IN	by
using	VBG	use
the	DT	the
fossilized	VBN	fossilize
remains	NNS	remains
of	IN	of
deepwater	NN	deepwater
corals	NNS	coral
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
an	DT	an
image	NN	image
of	IN	of
one	CD	one
of	IN	of
these	DT	these
corals	NNS	coral
behind	IN	behind
me	PP	me
.	SENT	.
It	PP	it
was	VBD	be
collected	VBN	collect
from	IN	from
close	NN	close
to	TO	to
Antarctica	NP	Antarctica
,	,	,
thousands	NNS	thousand
of	IN	of
meters	NNS	meter
below	IN	below
the	DT	the
sea	NN	sea
,	,	,
so	RB	so
,	,	,
very	RB	very
different	JJ	different
than	IN	than
the	DT	the
kinds	NNS	kind
of	IN	of
corals	NNS	coral
you	PP	you
may	MD	may
have	VB	have
been	VBN	be
lucky	JJ	lucky
enough	RB	enough
to	TO	to
see	VB	see
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
tropical	JJ	tropical
holiday	NN	holiday
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
hoping	VBG	hope
that	IN	that
this	DT	this
talk	NN	talk
will	MD	will
give	VB	give
you	PP	you
a	DT	a
four-dimensional	JJ	four-dimensional
view	NN	view
of	IN	of
the	DT	the
ocean	NN	ocean
.	SENT	.
Two	CD	two
dimensions	NNS	dimension
,	,	,
such	JJ	such
as	IN	as
this	DT	this
beautiful	JJ	beautiful
two-dimensional	JJ	two-dimensional
image	NN	image
of	IN	of
the	DT	the
sea	NN	sea
surface	NN	surface
temperature	NN	temperature
.	SENT	.
This	DT	this
was	VBD	be
taken	VBN	take
using	VBG	use
satellite	NN	satellite
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
tremendous	JJ	tremendous
spatial	JJ	spatial
resolution	NN	resolution
.	SENT	.
The	DT	the
overall	JJ	overall
features	NNS	feature
are	VBP	be
extremely	RB	extremely
easy	JJ	easy
to	TO	to
understand	VB	understand
.	SENT	.
The	DT	the
equatorial	JJ	equatorial
regions	NNS	region
are	VBP	be
warm	JJ	warm
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
sunlight	NN	sunlight
.	SENT	.
The	DT	the
polar	JJ	polar
regions	NNS	region
are	VBP	be
cold	JJ	cold
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
less	JJR	less
sunlight	NN	sunlight
.	SENT	.
And	CC	and
that	WDT	that
allows	VBZ	allow
big	JJ	big
icecaps	NNS	icecap
to	TO	to
build	VB	build
up	RP	up
on	IN	on
Antarctica	NP	Antarctica
and	CC	and
up	RB	up
in	IN	in
the	DT	the
Northern	NP	Northern
Hemisphere	NP	Hemisphere
.	SENT	.
If	IN	if
you	PP	you
plunge	VBP	plunge
deep	RB	deep
into	IN	into
the	DT	the
sea	NN	sea
,	,	,
or	CC	or
even	RB	even
put	VB	put
your	PP$	your
toes	NNS	toe
in	IN	in
the	DT	the
sea	NN	sea
,	,	,
you	PP	you
know	VBP	know
it	PP	it
gets	VBZ	get
colder	JJR	cold
as	IN	as
you	PP	you
go	VBP	go
down	RP	down
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
mostly	RB	mostly
because	IN	because
the	DT	the
deep	JJ	deep
waters	NNS	water
that	WDT	that
fill	VBP	fill
the	DT	the
abyss	NN	abyss
of	IN	of
the	DT	the
ocean	NN	ocean
come	VBN	come
from	IN	from
the	DT	the
cold	JJ	cold
polar	JJ	polar
regions	NNS	region
where	WRB	where
the	DT	the
waters	NNS	water
are	VBP	be
dense	JJ	dense
.	SENT	.
If	IN	if
we	PP	we
travel	VBP	travel
back	RB	back
in	IN	in
time	NN	time
20	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
earth	NN	earth
looked	VBD	look
very	RB	very
much	RB	much
different	JJ	different
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
given	VBN	give
you	PP	you
a	DT	a
cartoon	NN	cartoon
version	NN	version
of	IN	of
one	CD	one
of	IN	of
the	DT	the
major	JJ	major
differences	NNS	difference
you	PP	you
would	MD	would
have	VB	have
seen	VBN	see
if	IN	if
you	PP	you
went	VBD	go
back	RB	back
that	IN	that
long	RB	long
.	SENT	.
The	DT	the
icecaps	NNS	icecap
were	VBD	be
much	RB	much
bigger	JJR	big
.	SENT	.
They	PP	they
covered	VBD	cover
lots	NNS	lot
of	IN	of
the	DT	the
continent	NN	continent
,	,	,
and	CC	and
they	PP	they
extended	VBD	extend
out	RP	out
over	IN	over
the	DT	the
ocean	NN	ocean
.	SENT	.
