When	WRB	when
I	PP	I
was	VBD	be
younger	JJR	young
,	,	,
I	PP	I
just	RB	just
did	VBD	do
not	RB	not
heal	VB	heal
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
I	PP	I
would	MD	would
see	VB	see
these	DT	these
scabs	NNS	scab
,	,	,
and	CC	and
,	,	,
like	IN	like
,	,	,
I	PP	I
'	POS	'
d	NN	d
pick	NN	pick
at	IN	at
them	PP	them
,	,	,
they	PP	they
'	POS	'
d	NN	d
take	VB	take
forever	RB	forever
to	TO	to
close	VB	close
,	,	,
and	CC	and
my	PP$	my
brother	NN	brother
'	POS	'
s	NN	S
skin	NN	skin
would	MD	would
just	RB	just
close	VB	close
right	RB	right
up	RB	up
.	SENT	.
And	CC	and
then	RB	then
,	,	,
you	PP	you
know	VBP	know
,	,	,
my	PP$	my
sisters	NNS	sister
could	MD	could
have	VB	have
cramps	NNS	cramp
,	,	,
and	CC	and
they	PP	they
would	MD	would
just	RB	just
take	VB	take
ibuprofen	NN	ibuprofen
,	,	,
and	CC	and
it	PP	it
would	MD	would
be	VB	be
like	IN	like
nothing	NN	nothing
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
take	VB	take
ibuprofen	NN	ibuprofen
,	,	,
I	PP	I
would	MD	would
take	VB	take
a	DT	a
lot	NN	lot
of	IN	of
ibuprofen	NN	ibuprofen
,	,	,
and	CC	and
I	PP	I
would	MD	would
get	VB	get
no	DT	no
response	NN	response
for	IN	for
my	PP$	my
whole	JJ	whole
body	NN	body
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
just	RB	just
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Why	WRB	why
?	SENT	?
Please	UH	please
help	VB	help
me	PP	me
.	SENT	.
"	''	"
At	IN	at
first	JJ	first
,	,	,
I	PP	I
felt	VBD	feel
like	IN	like
I	PP	I
got	VBD	get
the	DT	the
short	JJ	short
end	NN	end
of	IN	of
the	DT	the
biological	JJ	biological
stick	NN	stick
,	,	,
right	RB	right
?	SENT	?
Why	WRB	why
does	VBZ	do
my	PP$	my
body	NN	body
not	RB	not
work	VB	work
the	DT	the
same	JJ	same
way	NN	way
?	SENT	?
There	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
frustration	NN	frustration
,	,	,
because	IN	because
no	DT	no
one	CD	one
knows	VBZ	know
how	WRB	how
they	PP	they
respond	VBP	respond
to	TO	to
something	NN	something
until	IN	until
they	PP	they
try	VBP	try
it	PP	it
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
just	RB	just
I	PP	I
was	VBD	be
different	JJ	different
from	IN	from
them	PP	them
,	,	,
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Dr	NN	Dr
.	SENT	.
Erika	NP	Erika
Moore	NP	Moore
and	CC	and
I	NP	I
'	POS	'
m	NN	m
