Human	JJ	human
language	NN	language
,	,	,
mathematics	NNS	mathematics
,	,	,
logic	NN	logic
.	SENT	.
These	DT	these
are	VBP	be
all	DT	all
ways	NNS	way
to	TO	to
formalize	VB	formalize
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
in	IN	in
our	PP$	our
century	NN	century
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
new	JJ	new
and	CC	and
yet	RB	yet
more	RBR	more
powerful	JJ	powerful
one	CD	one
:	:	:
computation	NN	computation
.	SENT	.
For	IN	for
nearly	RB	nearly
50	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
the	DT	the
great	JJ	great
privilege	NN	privilege
of	IN	of
building	VBG	build
up	RP	up
an	DT	an
ever-taller	NN	<unknown>
tower	NN	tower
of	IN	of
science	NN	science
and	CC	and
technology	NN	technology
that	RB	that
'	POS	'
s	NNS	<unknown>
based	VBN	base
on	IN	on
that	DT	that
idea	NN	idea
of	IN	of
computation	NN	computation
.	SENT	.
And	CC	and
so	IN	so
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
that	DT	that
'	''	'
s	NNS	<unknown>
led	VBN	lead
to	TO	to
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
to	TO	to
talk	VB	talk
about	RB	about
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
quickly	RB	quickly
.	SENT	.
And	CC	and
sometimes	RB	sometimes
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
summarize	VB	summarize
in	IN	in
a	DT	a
sentence	NN	sentence
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
written	VBN	write
a	DT	a
whole	JJ	whole
book	NN	book
about	RB	about
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
I	PP	I
last	RB	last
gave	VBD	give
a	DT	a
TED	VB	ted
talk	NN	talk
13	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
in	IN	in
February	NP	February
2010	CD	@card@
,	,	,
soon	RB	soon
after	IN	after
WolframAlpha	NP	WolframAlpha
launched	VBD	launch
,	,	,
and	CC	and
I	PP	I
ended	VBD	end
that	DT	that
talk	NN	talk
with	IN	with
a	DT	a
question	NN	question
.	SENT	.
Question	NN	question
was	VBD	be
,	,	,
is	VBZ	be
computation	NN	computation
ultimately	RB	ultimately
what	WP	what
'	POS	'
s	NN	S
underneath	IN	underneath
everything	NN	everything
in	IN	in
our	PP$	our
universe	NN	universe
?	SENT	?
I	PP	I
gave	VBD	give
myself	PP	myself
a	DT	a
decade	NN	decade
to	TO	to
find	VB	find
out	RP	out
.	SENT	.
And	CC	and
actually	RB	actually
,	,	,
it	PP	it
could	MD	could
have	VB	have
needed	VBN	need
a	DT	a
century	NN	century
.	SENT	.
But	CC	but
in	IN	in
April	NP	April
2020	CD	@card@
,	,	,
just	RB	just
after	IN	after
the	DT	the
decade	NN	decade
mark	NN	mark
,	,	,
we	PP	we
were	VBD	be
thrilled	VBN	thrill
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
announce	VB	announce
what	WP	what
seems	VBZ	seem
to	TO	to
be	VB	be
the	DT	the
ultimate	JJ	ultimate
machine	NN	machine
code	NN	code
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
computational	JJ	computational
.	SENT	.
So	IN	so
computation	NN	computation
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
a	DT	a
possible	JJ	possible
formalization	NN	formalization
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
ultimate	JJ	ultimate
one	CD	one
for	IN	for
our	PP$	our
universe	NN	universe
.	SENT	.
It	PP	it
all	RB	all
starts	VBZ	start
from	IN	from
the	DT	the
idea	NN	idea
that	IN	that
space	NN	space
,	,	,
like	IN	like
matter	NN	matter
,	,	,
is	VBZ	be
made	VBN	make
of	IN	of
discrete	JJ	discrete
elements	NNS	element
,	,	,
and	CC	and
from	IN	from
that	DT	that
structure	NN	structure
of	IN	of
space	NN	space
and	CC	and
everything	NN	everything
in	IN	in
it	PP	it
,	,	,
it	PP	it
'	POS	'
s	NN	S
defined	VBD	define
just	RB	just
by	IN	by
a	DT	a
network	NN	network
of	IN	of
relations	NNS	relation
between	IN	between
these	DT	these
elements	NNS	element
that	IN	that
we	PP	we
might	MD	might
call	VB	call
atoms	NNS	atom
of	IN	of
space	NN	space
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
all	RB	all
very	RB	very
elegant	JJ	elegant
,	,	,
but	CC	but
deeply	RB	deeply
abstract	JJ	abstract
.	SENT	.
But	CC	but
here	RB	here
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
humanized	VBN	humanize
representation	NN	representation
,	,	,
a	DT	a
version	NN	version
of	IN	of
the	DT	the
very	JJ	very
beginning	NN	beginning
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
here	RB	here
is	VBZ	be
the	DT	the
emergence	NN	emergence
of	IN	of
space	NN	space
and	CC	and
everything	NN	everything
