My	PP$	my
work	NN	work
is	VBZ	be
play	NN	play
.	SENT	.
And	CC	and
I	PP	I
play	VBP	play
when	WRB	when
I	PP	I
design	VBP	design
.	SENT	.
I	PP	I
even	RB	even
looked	VBD	look
it	PP	it
up	RP	up
in	IN	in
the	DT	the
dictionary	NN	dictionary
,	,	,
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
I	PP	I
actually	RB	actually
do	VBP	do
that	IN	that
,	,	,
and	CC	and
the	DT	the
definition	NN	definition
of	IN	of
play	NN	play
,	,	,
number	NN	number
one	CD	one
,	,	,
was	VBD	be
engaging	VBG	engage
in	IN	in
a	DT	a
childlike	JJ	childlike
activity	NN	activity
or	CC	or
endeavor	NN	endeavor
,	,	,
and	CC	and
number	NN	number
two	CD	two
was	VBD	be
gambling	VBG	gamble
.	SENT	.
And	CC	and
I	PP	I
realize	VBP	realize
I	PP	I
do	VBP	do
both	CC	both
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
designing	VBG	design
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
both	CC	both
a	DT	a
kid	NN	kid
and	CC	and
I	PP	I
'	POS	'
m	NN	m
gambling	VBG	gamble
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
probably	RB	probably
something	RB	something
inherently	RB	inherently
wrong	JJ	wrong
with	IN	with
the	DT	the
structure	NN	structure
or	CC	or
the	DT	the
situation	NN	situation
you	PP	you
'	POS	'
re	NN	re
in	IN	in
,	,	,
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
designer	NN	designer
.	SENT	.
But	CC	but
the	DT	the
serious	JJ	serious
part	NN	part
is	VBZ	be
what	WP	what
threw	VBD	throw
me	PP	me
,	,	,
and	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
get	VB	get
a	DT	a
handle	NN	handle
on	IN	on
it	PP	it
until	IN	until
I	PP	I
remembered	VBD	remember
an	DT	an
essay	NN	essay
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
essay	NN	essay
I	PP	I
read	VBP	read
30	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
was	VBD	be
written	VBN	write
by	IN	by
Russell	NP	Russell
Baker	NP	Baker
,	,	,
who	WP	who
used	VBD	use
to	TO	to
write	VB	write
an	DT	an
"	``	"
Observer	NP	Observer
"	''	"
column	NN	column
in	IN	in
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
a	DT	a
wonderful	JJ	wonderful
humorist	NN	humorist
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
read	VB	read
you	PP	you
this	DT	this
essay	NN	essay
,	,	,
or	CC	or
an	DT	an
excerpt	NN	excerpt
from	IN	from
it	PP	it
because	IN	because
it	PP	it
really	RB	really
hit	VBD	hit
home	NN	home
for	IN	for
me	PP	me
.	SENT	.
Here	RB	here
is	VBZ	be
a	DT	a
letter	NN	letter
of	IN	of
friendly	JJ	friendly
advice	NN	advice
.	SENT	.
Be	VB	be
serious	JJ	serious
,	,	,
it	PP	it
says	VBZ	say
.	SENT	.
What	WP	what
it	PP	it
means	VBZ	mean
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
,	,	,
be	VB	be
solemn	JJ	solemn
.	SENT	.
Being	VBG	be
solemn	JJ	solemn
is	VBZ	be
easy	JJ	easy
.	SENT	.
Being	VBG	be
serious	JJ	serious
is	VBZ	be
hard	JJ	hard
.	SENT	.
Children	NNS	child
almost	RB	almost
always	RB	always
begin	VB	begin
by	IN	by
being	VBG	be
serious	JJ	serious
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
makes	VBZ	make
them	PP	them
so	RB	so
entertaining	JJ	entertaining
when	WRB	when
compared	VBN	compare
with	IN	with
adults	NNS	adult
as	IN	as
a	DT	a
class	NN	class
.	SENT	.
Adults	NNS	adult
,	,	,
on	IN	on
the	DT	the
whole	NN	whole
,	,	,
are	VBP	be
solemn	JJ	solemn
.	SENT	.
In	IN	in
politics	NNS	politics
,	,	,
the	DT	the
rare	JJ	rare
candidate	NN	candidate
who	WP	who
is	VBZ	be
serious	JJ	serious
,	,	,
like	IN	like
Adlai	NP	Adlai
Stevenson	NP	Stevenson
,	,	,
is	VBZ	be
easily	RB	easily
overwhelmed	VBN	overwhelm
by	IN	by
one	CD	one
who	WP	who
is	VBZ	be
solemn	JJ	solemn
,	,	,
like	IN	like
Eisenhower	NP	Eisenhower
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
it	PP	it
is	VBZ	be
hard	JJ	hard
for	IN	for
most	JJS	most
people	NNS	people
to	TO	to
recognize	VB	recognize
seriousness	NN	seriousness
,	,	,
which	WDT	which
is	VBZ	be
rare	JJ	rare
,	,	,
but	CC	but
more	RBR	more
comfortable	JJ	comfortable
to	TO	to
endorse	VB	endorse
solemnity	NN	solemnity
,	,	,
which	WDT	which
is	VBZ	be
commonplace	JJ	commonplace
.	SENT	.
Jogging	VBG	jog
,	,	,
which	WDT	which
is	VBZ	be
commonplace	JJ	commonplace
,	,	,
and	CC	and
widely	RB	widely
accepted	VBD	accept
as	RB	as
good	JJ	good
for	IN	for
you	PP	you
