This	DT	this
is	VBZ	be
really	RB	really
a	DT	a
two-hour	JJ	two-hour
presentation	NN	presentation
I	PP	I
give	VBP	give
to	TO	to
high	JJ	high
school	NN	school
students	NNS	student
,	,	,
cut	VBD	cut
down	RP	down
to	TO	to
three	CD	three
minutes	NNS	minute
.	SENT	.
And	CC	and
it	PP	it
all	RB	all
started	VBD	start
one	CD	one
day	NN	day
on	IN	on
a	DT	a
plane	NN	plane
,	,	,
on	IN	on
my	PP$	my
way	NN	way
to	TO	to
TED	VB	ted
,	,	,
seven	CD	seven
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
seat	NN	seat
next	JJ	next
to	TO	to
me	PP	me
was	VBD	be
a	DT	a
high	JJ	high
school	NN	school
student	NN	student
,	,	,
a	DT	a
teenager	NN	teenager
,	,	,
and	CC	and
she	PP	she
came	VBD	come
from	IN	from
a	DT	a
really	RB	really
poor	JJ	poor
family	NN	family
.	SENT	.
And	CC	and
she	PP	she
wanted	VBD	want
to	TO	to
make	VB	make
something	NN	something
of	IN	of
her	PP$	her
life	NN	life
,	,	,
and	CC	and
she	PP	she
asked	VBD	ask
me	PP	me
a	DT	a
simple	JJ	simple
little	JJ	little
question	NN	question
.	SENT	.
She	PP	she
said	VBD	say
,	,	,
"	``	"
What	WP	what
leads	VBZ	lead
to	TO	to
success	NN	success
?	SENT	?
"	``	"
And	CC	and
I	PP	I
felt	VBD	feel
really	RB	really
badly	RB	badly
,	,	,
because	IN	because
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
give	VB	give
her	PP	her
a	DT	a
good	JJ	good
answer	NN	answer
.	SENT	.
So	RB	so
I	PP	I
get	VB	get
off	RP	off
the	DT	the
plane	NN	plane
,	,	,
and	CC	and
I	PP	I
come	VBP	come
to	TO	to
TED	VB	ted
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
,	,	,
jeez	NP	Jeez
,	,	,
I	NP	I
'	POS	'
m	NN	m
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
room	NN	room
of	IN	of
successful	JJ	successful
people	NNS	people
!	SENT	!
So	RB	so
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
I	PP	I
ask	VBP	ask
them	PP	them
what	WP	what
helped	VBD	help
them	PP	them
succeed	VBP	succeed
,	,	,
and	CC	and
pass	VB	pass
it	PP	it
on	IN	on
to	TO	to
kids	NNS	kid
?	SENT	?
So	RB	so
here	RB	here
we	PP	we
are	VBP	be
,	,	,
seven	CD	seven
years	NNS	year
,	,	,
500	CD	@card@
interviews	NNS	interview
later	RBR	later
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
what	WP	what
really	RB	really
leads	VBZ	lead
to	TO	to
success	NN	success
and	CC	and
makes	VBZ	make
TEDsters	NP	<unknown>
tick	NN	tick
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
thing	NN	thing
is	VBZ	be
passion	NN	passion
.	SENT	.
Freeman	NP	Freeman
Thomas	NP	Thomas
says	VBZ	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
driven	VBN	drive
by	IN	by
my	PP$	my
passion	NN	passion
.	SENT	.
"	''	"
TEDsters	NNS	<unknown>
do	VBP	do
it	PP	it
for	IN	for
love	NN	love
;	:	;
they	PP	they
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
it	PP	it
for	IN	for
money	NN	money
.	SENT	.
Carol	NP	Carol
Coletta	NP	Coletta
says	VBZ	say
,	,	,
"	``	"
I	PP	I
would	MD	would
pay	VB	pay
someone	NN	someone
to	TO	to
do	VB	do
what	WP	what
I	PP	I
do	VBP	do
.	SENT	.
"	''	"
And	CC	and
the	DT	the
interesting	JJ	interesting
thing	NN	thing
is	VBZ	be
:	:	:
if	IN	if
you	PP	you
do	VBP	do
it	PP	it
for	IN	for
love	NN	love
,	,	,
the	DT	the
money	NN	money
comes	VBZ	come
anyway	RB	anyway
.	SENT	.
Work	NN	work
!	SENT	!
Rupert	NP	Rupert
Murdoch	NP	Murdoch
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	''	"
It	PP	it
'	POS	'
s	NN	S
all	DT	all
hard	JJ	hard
work	NN	work
.	SENT	.
Nothing	NN	nothing
comes	VBZ	come
easily	RB	easily
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
fun	NN	fun
.	SENT	.
"	''	"
Did	VBD	do
he	PP	he
say	VBP	say
fun	NN	fun
?	SENT	?
Rupert	NP	Rupert
?	SENT	?
Yes	UH	yes
!	SENT	!
TEDsters	NNS	<unknown>
do	VBP	do
have	VBP	have
fun	NN	fun
working	NN	working
.	SENT	.
And	CC	and
they	PP	they
work	VBP	work
hard	RB	hard
.	SENT	.
I	PP	I
figured	VBD	figure
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
workaholics	NNS	workaholic
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
workafrolics	NNS	workafrolic
.	SENT	.
Good	JJ	good
!	SENT	!
Alex	NP	Alex
Garden	NP	Garden
says	VBZ	say
,	,	,
"	``	"
To	TO	to
be	VB	be
successful	JJ	successful
,	,	,
put	VBD	put
your	PP$	your
nose	NN	nose
down	RP	down
in	IN	in
something	NN	something
and	CC	and
get	VB	get
damn	RB	damn
good	JJ	good
at	IN	at
it	PP	it
.	SENT	.
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
magic	NN	magic
;	:	;
it	PP	it
'	POS	'
s	NN	S
practice	NN	practice
,	,	,
practice	NN	practice
,	,	,
practice	NN	practice
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
focus	NN	focus
.	SENT	.
Norman	NP	Norman
Jewison	NP	Jewison
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	``	"
I	PP	I
think	VBP	think
it	PP	it
all	RB	all
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
focusing	VBG	focus
yourself	PP	yourself
on	IN	on
one	CD	one
thing	NN	thing
.	SENT	.
"	''	"
And	CC	and
push	VB	push
!	SENT	!
David	NP	David
Gallo	NP	Gallo
says	VBZ	say
,	,	,
"	``	"
Push	VBP	push
yourself	PP	yourself
.	SENT	.
Physically	RB	physically
,	,	,
mentally	RB	mentally
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
push	VB	push
,	,	,
push	VB	push
,	,	,
push	VB	push
.	SENT	.
"	``	"
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
push	VB	push
through	IN	through
shyness	NN	shyness
and	CC	and
self-doubt	NN	self-doubt
.	SENT	.
Goldie	NP	Goldie
Hawn	NP	Hawn
says	VBZ	say
,	,	,
"	``	"
I	PP	I
always	RB	always
had	VBD	have
self-doubts	NNS	self-doubt
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
good	JJ	good
enough	NN	enough
;	:	;
I	PP	I
wasn	NNS	<unknown>
'	POS	'
t	NN	t
smart	JJ	smart
enough	NN	enough
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
I	PP	I
'	''	'
d	SYM	d
make	VB	make
it	PP	it
.	SENT	.
"	``	"
Now	RB	now
it	PP	it
'	POS	'
s	NN	S
not	RB	not
always	RB	always
easy	JJ	easy
to	TO	to
push	VB	push
yourself	PP	yourself
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
they	PP	they
invented	VBD	invent
mothers	NNS	mother
.	SENT	.
Frank	NP	Frank
Gehry	NP	Gehry
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	``	"
My	PP$	my
mother	NN	mother
pushed	VBD	push
me	PP	me
.	SENT	.
"	''	"
Serve	VB	serve
!	SENT	!
Sherwin	NP	Sherwin
Nuland	NP	<unknown>
says	VBZ	say
,	,	,
"	``	"
It	PP	it
was	VBD	be
a	DT	a
privilege	NN	privilege
to	TO	to
serve	VB	serve
as	IN	as
a	DT	a
doctor	NN	doctor
.	SENT	.
"	''	"
A	DT	a
lot	NN	lot
of	IN	of
kids	NNS	kid
want	VBP	want
to	TO	to
be	VB	be
millionaires	NNS	millionaire
.	SENT	.
The	DT	the
first	JJ	first
thing	NN	thing
I	PP	I
say	VBP	say
is	VBZ	be
:	:	:
"	``	"
OK	UH	OK
,	,	,
well	RB	well
you	PP	you
can	MD	can
'	''	'
t	NN	t
serve	VB	serve
yourself	PP	yourself
;	:	;
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
serve	VB	serve
others	NNS	other
something	NN	something
of	IN	of
value	NN	value
.	SENT	.
Because	IN	because
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
way	NN	way
people	NNS	people
really	RB	really
get	VBP	get
rich	JJ	rich
.	SENT	.
"	''	"
Ideas	NNS	idea
!	SENT	!
TEDster	NP	<unknown>
Bill	NP	Bill
Gates	NP	Gates
says	VBZ	say
,	,	,
"	``	"
I	PP	I
had	VBD	have
an	DT	an
idea	NN	idea
:	:	:
founding	VBG	found
the	DT	the
first	JJ	first
micro-	NN	<unknown>
computer	NN	computer
software	NN	software
company	NN	company
.	SENT	.
"	''	"
I	NP	I
'	POS	'
d	NN	d
say	VBP	say
it	PP	it
was	VBD	be
a	DT	a
pretty	RB	pretty
good	JJ	good
idea	NN	idea
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
magic	NN	magic
to	TO	to
creativity	NN	creativity
in	IN	in
coming	VBG	come
up	RP	up
with	IN	with
ideas	NNS	idea
—	:	-
it	PP	it
'	POS	'
s	NN	S
just	RB	just
doing	VBG	do
some	DT	some
very	RB	very
simple	JJ	simple
things	NNS	thing
.	SENT	.
And	CC	and
I	PP	I
give	VBP	give
lots	NNS	lot
of	IN	of
evidence	NN	evidence
.	SENT	.
Persist	VB	persist
!	SENT	!
Joe	NP	Joe
Kraus	NP	Kraus
says	VBZ	say
,	,	,
"	``	"
Persistence	NN	persistence
is	VBZ	be
the	DT	the
number	NN	number
one	CD	one
reason	NN	reason
for	IN	for
our	PP$	our
success	NN	success
.	SENT	.
"	``	"
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
persist	VB	persist
through	IN	through
failure	NN	failure
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
persist	VB	persist
through	IN	through
crap	NN	crap
!	SENT	!
Which	WDT	which
of	IN	of
course	NN	course
means	VBZ	mean
"	``	"
Criticism	NP	Criticism
,	,	,
Rejection	NN	rejection
,	,	,
Assholes	NNS	asshole
and	CC	and
Pressure	NN	pressure
.	SENT	.
"	''	"
So	RB	so
,	,	,
the	DT	the
answer	NN	answer
to	TO	to
this	DT	this
question	NN	question
is	VBZ	be
simple	JJ	simple
:	:	:
Pay	NN	pay
4	CD	@card@
,	,	,
000	CD	@card@
bucks	NNS	buck
and	CC	and
come	VBP	come
to	TO	to
TED	VB	ted
.	SENT	.
Or	CC	or
failing	VBG	fail
that	IN	that
,	,	,
do	VB	do
the	DT	the
eight	CD	eight
things	NNS	thing
—	:	-
and	CC	and
trust	VB	trust
me	PP	me
,	,	,
these	DT	these
are	VBP	be
the	DT	the
big	JJ	big
eight	CD	eight
things	NNS	thing
that	DT	that
lead	NN	lead
to	TO	to
success	NN	success
.	SENT	.
Thank	VB	thank
you	PP	you
TEDsters	NNS	<unknown>
for	IN	for
all	PDT	all
your	PP$	your
interviews	NNS	interview
!	SENT	!
