Hi	UH	hi
,	,	,
guys	NNS	guy
!	SENT	!
I	NP	I
'	POS	'
m	NN	m
Sarah	NP	Sarah
Longwell	NP	Longwell
,	,	,
and	CC	and
my	PP$	my
favorite	JJ	favorite
TV	NN	TV
show	NN	show
is	VBZ	be
"	``	"
Survivor	NN	survivor
.	SENT	.
"	''	"
Now	RB	now
,	,	,
you	PP	you
know	VBP	know
this	DT	this
show	NN	show
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
one	CD	one
where	WRB	where
they	PP	they
take	VBP	take
a	DT	a
bunch	NN	bunch
of	IN	of
people	NNS	people
,	,	,
put	VBD	put
them	PP	them
on	IN	on
a	DT	a
desert	NN	desert
island	NN	island
,	,	,
they	PP	they
make	VBP	make
them	PP	them
make	VB	make
fire	NN	fire
and	CC	and
,	,	,
like	IN	like
,	,	,
houses	NNS	house
,	,	,
or	CC	or
,	,	,
like	IN	like
,	,	,
a	DT	a
shelter	NN	shelter
.	SENT	.
And	CC	and
they	PP	they
make	VBP	make
them	PP	them
a	DT	a
tribe	NN	tribe
.	SENT	.
And	CC	and
then	RB	then
,	,	,
every	DT	every
week	NN	week
,	,	,
they	PP	they
vote	VBP	vote
somebody	NN	somebody
out	RP	out
of	IN	of
the	DT	the
tribe	NN	tribe
.	SENT	.
This	DT	this
show	NN	show
'	POS	'
s	RB	<unknown>
been	VBN	be
on	IN	on
for	IN	for
,	,	,
like	VB	like
,	,	,
45	CD	@card@
seasons	NNS	season
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
versions	NNS	version
of	IN	of
it	PP	it
in	IN	in
50	CD	@card@
different	JJ	different
countries	NNS	country
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
reason	NN	reason
that	IN	that
this	DT	this
show	NN	show
is	VBZ	be
so	RB	so
popular	JJ	popular
and	CC	and
enduring	JJ	enduring
is	VBZ	be
because	IN	because
we	PP	we
can	MD	can
all	RB	all
really	RB	really
relate	VB	relate
to	TO	to
that	DT	that
anxiety	NN	anxiety
of	IN	of
being	VBG	be
rejected	VBN	reject
by	IN	by
our	PP$	our
tribe	NN	tribe
.	SENT	.
Now	RB	now
,	,	,
social	JJ	social
scientists	NNS	scientist
,	,	,
anthropologists	NNS	anthropologist
,	,	,
people	NNS	people
who	WP	who
study	VBP	study
people	NNS	people
,	,	,
they	PP	they
will	MD	will
tell	VB	tell
us	PP	us
that	IN	that
there	EX	there
is	VBZ	be
nothing	RB	nothing
more	RBR	more
traumatic	JJ	traumatic
for	IN	for
a	DT	a
human	NN	human
than	IN	than
getting	VBG	get
kicked	VBN	kick
out	RP	out
of	IN	of
their	PP$	their
tribe	NN	tribe
.	SENT	.
We	PP	we
all	RB	all
want	VBP	want
to	TO	to
fit	VB	fit
in	IN	in
,	,	,
we	PP	we
all	RB	all
crave	VBP	crave
community	NN	community
and	CC	and
belonging	VBG	belong
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
tribal	JJ	tribal
instincts	NNS	instinct
for	IN	for
as	RB	as
long	JJ	long
as	IN	as
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
around	RB	around
.	SENT	.
Right	RB	right
?	SENT	?
Humans	NNS	human
have	VBP	have
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
hardwired	VBD	hardwire
in	IN	in
there	RB	there
,	,	,
as	IN	as
part	NN	part
of	IN	of
our	PP$	our
survival	NN	survival
instincts	NNS	instinct
,	,	,
so	RB	so
we	PP	we
don	VB	don
'	''	'
t	NN	t
get	VB	get
eaten	VBN	eat
by	IN	by
lions	NNS	lion
or	CC	or
bears	NNS	bear
.	SENT	.
And	CC	and
right	RB	right
now	RB	now
,	,	,
our	PP$	our
politics	NNS	politics
is	VBZ	be
defined	VBN	define
by	IN	by
partisan	JJ	partisan
tribalism	NN	tribalism
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
nice	JJ	nice
people	NNS	people
at	IN	at
TED	VB	ted
.	SENT	.
.	SENT	.
.	SENT	.
when	WRB	when
they	PP	they
asked	VBD	ask
me	PP	me
to	TO	to
give	VB	give
this	DT	this
talk	NN	talk
,	,	,
they	PP	they
gave	VBD	give
me	PP	me
the	DT	the
topic	NN	topic
"	''	"
Democracy	NN	democracy
over	IN	over
party	NN	party
,	,	,
"	''	"
which	WDT	which
essentially	RB	essentially
means	VBZ	mean
asking	VBG	ask
people	NNS	people
to	TO	to
go	VB	go
against	IN	against
their	PP$	their
tribe	NN	tribe
.	SENT	.
And	CC	and
I	PP	I
rejected	VBD	reject
this	DT	this
topic	NN	topic
,	,	,
at	IN	at
first	JJ	first
--	:	--
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
it	PP	it
,	,	,
because	IN	because
I	PP	I
'	POS	'
ve	NN	ve
listened	VBD	listen
to	TO	to
thousands	NNS	thousand
of	IN	of
American	JJ	American
voters	NNS	voter
,	,	,
and	CC	and
I	PP	I
know	VBP	know
that	IN	that
they	PP	they
don	VB	don
'	''	'
t	NN	t
feel	VBP	feel
nearly	RB	nearly
the	DT	the
connection	NN	connection
to	TO	to
democracy	NN	democracy
that	IN	that
they	PP	they
do	VBP	do
to	TO	to
their	PP$	their
political	JJ	political
team	NN	team
,	,	,
their	PP$	their
partisan	JJ	partisan
tribe	NN	tribe
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
in	IN	in
America	NP	America
,	,	,
most	JJS	most
voters	NNS	voter
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
about	IN	about
democracy	NN	democracy
at	IN	at
all	DT	all
.	SENT	.
I	PP	I
learned	VBD	learn
this	DT	this
one	CD	one
the	DT	the
hard	JJ	hard
way	NN	way
,	,	,
back	RB	back
in	IN	in
2018	CD	@card@
.	SENT	.
I	PP	I
was	VBD	be
just	RB	just
your	PP$	your
average	JJ	average
,	,	,
traditional	JJ	traditional
lesbian	JJ	lesbian
Republican	NP	Republican
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
super	NN	super
alarmed	VBN	alarm
by	IN	by
what	WP	what
Donald	NP	Donald
Trump	NP	Trump
was	VBD	be
doing	VBG	do
to	TO	to
my	PP$	my
party	NN	party
.	SENT	.
And	CC	and
