Today	NN	today
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
design	NN	design
,	,	,
but	CC	but
not	RB	not
design	VB	design
as	IN	as
we	PP	we
usually	RB	usually
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
is	VBZ	be
happening	VBG	happen
now	RB	now
in	IN	in
our	PP$	our
scientific	JJ	scientific
,	,	,
biotechnological	JJ	biotechnological
culture	NN	culture
,	,	,
where	WRB	where
,	,	,
for	IN	for
really	RB	really
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
history	NN	history
,	,	,
we	PP	we
have	VBP	have
the	DT	the
power	NN	power
to	TO	to
design	VB	design
bodies	NNS	body
,	,	,
to	TO	to
design	VB	design
animal	JJ	animal
bodies	NNS	body
,	,	,
to	TO	to
design	VB	design
human	JJ	human
bodies	NNS	body
.	SENT	.
In	IN	in
the	DT	the
history	NN	history
of	IN	of
our	PP$	our
planet	NN	planet
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
three	CD	three
great	JJ	great
waves	NNS	wave
of	IN	of
evolution	NN	evolution
.	SENT	.
The	DT	the
first	JJ	first
wave	NN	wave
of	IN	of
evolution	NN	evolution
is	VBZ	be
what	WP	what
we	PP	we
think	VBP	think
of	IN	of
as	IN	as
Darwinian	JJ	Darwinian
evolution	NN	evolution
.	SENT	.
So	RB	so
,	,	,
as	IN	as
you	PP	you
all	RB	all
know	VBP	know
,	,	,
species	NNS	specie
lived	VBD	live
in	IN	in
particular	JJ	particular
ecological	JJ	ecological
niches	NNS	niche
and	CC	and
particular	JJ	particular
environments	NNS	environment
,	,	,
and	CC	and
the	DT	the
pressures	NNS	pressure
of	IN	of
those	DT	those
environments	NNS	environment
selected	VBD	select
which	WDT	which
changes	NNS	change
,	,	,
through	IN	through
random	JJ	random
mutation	NN	mutation
in	IN	in
species	NNS	specie
,	,	,
were	VBD	be
going	VBG	go
to	TO	to
be	VB	be
preserved	VBN	preserve
.	SENT	.
Then	RB	then
human	JJ	human
beings	NNS	being
stepped	VBD	step
out	RP	out
of	IN	of
the	DT	the
Darwinian	JJ	Darwinian
flow	NN	flow
of	IN	of
evolutionary	JJ	evolutionary
history	NN	history
and	CC	and
created	VBD	create
the	DT	the
second	JJ	second
great	JJ	great
wave	NN	wave
of	IN	of
evolution	NN	evolution
,	,	,
which	WDT	which
was	VBD	be
we	PP	we
changed	VBD	change
the	DT	the
environment	NN	environment
in	IN	in
which	WDT	which
we	PP	we
evolved	VBD	evolve
.	SENT	.
We	PP	we
altered	VBD	alter
our	PP$	our
ecological	JJ	ecological
niche	NN	niche
by	IN	by
creating	VBG	create
civilization	NN	civilization
.	SENT	.
And	CC	and
that	WDT	that
has	VBZ	have
been	VBN	be
the	DT	the
second	JJ	second
great	JJ	great
—	:	-
couple	NN	couple
100	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
,	,	,
150	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
—	:	-
flow	NN	flow
of	IN	of
our	PP$	our
evolution	NN	evolution
.	SENT	.
By	IN	by
changing	VBG	change
our	PP$	our
environment	NN	environment
,	,	,
we	PP	we
put	VBD	put
new	JJ	new
pressures	NNS	pressure
on	IN	on
our	PP$	our
bodies	NNS	body
to	TO	to
evolve	VB	evolve
.	SENT	.
Whether	IN	whether
it	PP	it
was	VBD	be
through	IN	through
settling	VBG	settle
down	RP	down
in	IN	in
agricultural	JJ	agricultural
communities	NNS	community
,	,	,
all	PDT	all
the	DT	the
way	NN	way
through	IN	through
modern	JJ	modern
medicine	NN	medicine
,	,	,
we	PP	we
have	VBP	have
changed	VBN	change
our	PP$	our
own	JJ	own
evolution	NN	evolution
.	SENT	.
Now	RB	now
we	PP	we
'	''	'
re	IN	re
entering	VBG	enter
a	DT	a
third	JJ	third
great	JJ	great
wave	NN	wave
of	IN	of
evolutionary	JJ	evolutionary
history	NN	history
,	,	,
which	WDT	which
has	VBZ	have
been	VBN	be
called	VBN	call
many	JJ	many
things	NNS	thing
:	:	:
"	``	"
intentional	JJ	intentional
evolution	NN	evolution
,	,	,
"	''	"
"	``	"
evolution	NN	evolution
by	IN	by
design	NN	design
"	''	"
—	:	-
very	RB	very
different	JJ	different
than	IN	than
intelligent	JJ	intelligent
design	NN	design
—	:	-
whereby	WRB	whereby
we	PP	we
are	VBP	be
actually	RB	actually
now	RB	now
intentionally	RB	intentionally
designing	VBG	design
and	CC	and
altering	VBG	alter
the	DT	the
physiological	JJ	physiological
forms	NNS	form
that	WDT	that
inhabit	VBP	inhabit
our	PP$	our
planet	NN	planet
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
through	IN	through
a	DT	a
kind	NN	kind
of	IN	of
whirlwind	JJ	whirlwind
tour	NN	tour
of	IN	of
that	WDT	that
and	CC	and
then	RB	then
at	IN	at
the	DT	the
end	NN	end
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
some	DT	some
of	IN	of
the	DT	the
implications	NNS	implication
are	VBP	be
for	IN	for
us	PP	us
and	CC	and
for	IN	for
our	PP$	our
species	NNS	specie
,	,	,
as	RB	as
well	RB	well
as	IN	as
our	PP$	our
cultures	NNS	culture
,	,	,
because	IN	because
of	IN	of
this	DT	this
change	NN	change
.	SENT	.
Now	RB	now
we	PP	we
actually	RB	actually
have	VBP	have
been	VBN	be
doing	VBG	do
it	PP	it
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
We	PP	we
started	VBD	start
selectively	RB	selectively
breeding	VBG	breed
animals	NNS	animal
many	JJ	many
,	,	,
many	JJ	many
thousands	NNS	thousand
of	IN	of
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
think	VBP	think
of	IN	of
dogs	NNS	dog
for	IN	for
example	NN	example
,	,	,
dogs	NNS	dog
are	VBP	be
now	RB	now
intentionally-designed	JJ	intentionally-designed
creatures	NNS	creature
.	SENT	.
There	RB	there
isn	NP	isn
'	POS	'
t	NN	t
a	DT	a
dog	NN	dog
on	IN	on
this	DT	this
earth	NN	earth
that	RB	that
'	POS	'
s	NN	S
a	DT	a
natural	JJ	natural
creature	NN	creature
.	SENT	.
Dogs	NNS	dog
are	VBP	be
the	DT	the
result	NN	result
of	IN	of
selectively	RB	selectively
breeding	VBG	breed
traits	NNS	trait
that	IN	that
we	PP	we
like	VBP	like
.	SENT	.
But	CC	but
we	PP	we
had	VBD	have
to	TO	to
do	VB	do
it	PP	it
the	DT	the
hard	JJ	hard
way	NN	way
in	IN	in
the	DT	the
old	JJ	old
days	NNS	day
by	IN	by
choosing	VBG	choose
offspring	NNS	offspring
that	WDT	that
looked	VBD	look
a	DT	a
particular	JJ	particular
way	NN	way
and	CC	and
then	RB	then
breeding	VBG	breed
them	PP	them
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
that	DT	that
way	NN	way
anymore	RB	anymore
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
beefalo	NN	<unknown>
.	SENT	.
A	DT	a
beefalo	NN	<unknown>
is	VBZ	be
a	DT	a
buffalo-cattle	JJ	<unknown>
hybrid	NN	hybrid
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
now	RB	now
making	VBG	make
them	PP	them
,	,	,
and	CC	and
someday	RB	someday
,	,	,
perhaps	RB	perhaps
pretty	RB	pretty
soon	RB	soon
,	,	,
you	PP	you
will	MD	will
have	VB	have
beefalo	NN	<unknown>
patties	NNS	patty
in	IN	in
your	PP$	your
local	JJ	local
supermarket	NN	supermarket
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
geep	NN	<unknown>
,	,	,
a	DT	a
goat-sheep	NN	goat-sheep
hybrid	NN	hybrid
.	SENT	.
The	DT	the
scientists	NNS	scientist
that	WDT	that
made	VBD	make
this	DT	this
cute	JJ	cute
little	JJ	little
creature	NN	creature
ended	VBD	end
up	RP	up
slaughtering	VBG	slaughter
it	PP	it
and	CC	and
eating	VBG	eat
it	PP	it
afterwards	RB	afterwards
.	SENT	.
I	PP	I
think	VBP	think
they	PP	they
said	VBD	say
it	PP	it
tasted	VBD	taste
like	IN	like
chicken	NN	chicken
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
cama	NN	<unknown>
.	SENT	.
A	DT	a
cama	NN	<unknown>
is	VBZ	be
a	DT	a
camel-llama	NN	camel-llama
hybrid	NN	hybrid
,	,	,
created	VBN	create
to	TO	to
try	VB	try
to	TO	to
get	VB	get
the	DT	the
hardiness	NN	hardiness
of	IN	of
a	DT	a
camel	NN	camel
with	IN	with
some	DT	some
of	IN	of
the	DT	the
personality	NN	personality
traits	NNS	trait
of	IN	of
a	DT	a
llama	NN	llama
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
now	RB	now
using	VBG	use
these	DT	these
in	IN	in
certain	JJ	certain
cultures	NNS	culture
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
liger	NN	liger
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
largest	JJS	large
cat	NN	cat
in	IN	in
the	DT	the
world	NN	world
—	:	-
the	DT	the
lion-tiger	NN	lion-tiger
hybrid	NN	hybrid
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
bigger	JJR	big
than	IN	than
a	DT	a
tiger	NN	tiger
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
case	NN	case
of	IN	of
the	DT	the
liger	NN	liger
,	,	,
there	RB	there
actually	RB	actually
have	VB	have
been	VBN	be
one	CD	one
or	CC	or
two	CD	two
that	WDT	that
have	VBP	have
been	VBN	be
seen	VBN	see
in	IN	in
the	DT	the
wild	JJ	wild
.	SENT	.
But	CC	but
these	DT	these
were	VBD	be
created	VBN	create
by	IN	by
scientists	NNS	scientist
using	VBG	use
both	DT	both
selective	JJ	selective
breeding	NN	breeding
and	CC	and
genetic	JJ	genetic
technology	NN	technology
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
,	,	,
everybody	NN	everybody
'	POS	'
s	NN	S
favorite	NN	favorite
,	,	,
the	DT	the
zorse	NN	<unknown>
.	SENT	.
None	NN	none
of	IN	of
this	DT	this
is	VBZ	be
Photoshopped	JJ	<unknown>
.	SENT	.
These	DT	these
are	VBP	be
real	JJ	real
creatures	NNS	creature
.	SENT	.
And	CC	and
so	RB	so
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
is	VBZ	be
using	VBG	use
genetic	JJ	genetic
enhancement	NN	enhancement
,	,	,
or	CC	or
genetic	JJ	genetic
manipulation	NN	manipulation
,	,	,
of	IN	of
normal	JJ	normal
selective	JJ	selective
breeding	NN	breeding
pushed	VBD	push
a	DT	a
little	JJ	little
bit	NN	bit
through	IN	through
genetics	NNS	genetics
.	SENT	.
And	CC	and
if	IN	if
that	WDT	that
were	VBD	be
all	PDT	all
this	DT	this
was	VBD	be
about	RB	about
,	,	,
then	RB	then
it	PP	it
would	MD	would
be	VB	be
an	DT	an
interesting	JJ	interesting
thing	NN	thing
.	SENT	.
But	CC	but
something	NN	something
much	RB	much
,	,	,
much	RB	much
more	RBR	more
powerful	JJ	powerful
is	VBZ	be
happening	VBG	happen
now	RB	now
.	SENT	.
These	DT	these
are	VBP	be
normal	JJ	normal
mammalian	JJ	mammalian
cells	NNS	cell
genetically	RB	genetically
engineered	VBN	engineer
with	IN	with
a	DT	a
bioluminescent	JJ	bioluminescent
gene	NN	gene
taken	VBN	take
out	RP	out
of	IN	of
deep-sea	NN	deep-sea
jellyfish	NNS	jellyfish
.	SENT	.
We	PP	we
all	RB	all
know	VBP	know
that	IN	that
some	DT	some
deep-sea	NN	deep-sea
creatures	NNS	creature
glow	NN	glow
.	SENT	.
Well	RB	well
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
now	RB	now
taken	VBN	take
that	DT	that
gene	NN	gene
,	,	,
that	DT	that
bioluminescent	JJ	bioluminescent
gene	NN	gene
,	,	,
and	CC	and
put	VB	put
it	PP	it
into	IN	into
mammal	NN	mammal
cells	NNS	cell
.	SENT	.
These	DT	these
are	VBP	be
normal	JJ	normal
cells	NNS	cell
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
these	DT	these
cells	NNS	cell
glowing	VBG	glow
in	IN	in
the	DT	the
dark	NN	dark
under	IN	under
certain	JJ	certain
wavelengths	NNS	wavelength
of	IN	of
light	NN	light
.	SENT	.
Once	RB	once
they	PP	they
could	MD	could
do	VB	do
that	IN	that
with	IN	with
cells	NNS	cell
,	,	,
they	PP	they
could	MD	could
do	VB	do
it	PP	it
with	IN	with
organisms	NNS	organism
.	SENT	.
So	RB	so
they	PP	they
did	VBD	do
it	PP	it
with	IN	with
mouse	NN	mouse
pups	NNS	pup
,	,	,
kittens	NNS	kitten
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
the	DT	the
reason	NN	reason
the	DT	the
kittens	NNS	kitten
here	RB	here
are	VBP	be
orange	JJ	orange
and	CC	and
these	DT	these
are	VBP	be
green	JJ	green
is	VBZ	be
because	IN	because
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
bioluminescent	JJ	bioluminescent
gene	NN	gene
from	IN	from
coral	NN	coral
,	,	,
while	IN	while
this	DT	this
is	VBZ	be
from	IN	from
jellyfish	NNS	jellyfish
.	SENT	.
They	PP	they
did	VBD	do
it	PP	it
with	IN	with
pigs	NNS	pig
.	SENT	.
They	PP	they
did	VBD	do
it	PP	it
with	IN	with
puppies	NNS	puppy
.	SENT	.
And	CC	and
,	,	,
in	IN	in
fact	NN	fact
,	,	,
they	PP	they
did	VBD	do
it	PP	it
with	IN	with
monkeys	NNS	monkey
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
can	MD	can
do	VB	do
it	PP	it
with	IN	with
monkeys	NNS	monkey
—	:	-
though	IN	though
the	DT	the
great	JJ	great
leap	NN	leap
in	IN	in
trying	VBG	try
to	TO	to
genetically	RB	genetically
manipulate	VB	manipulate
is	VBZ	be
actually	RB	actually
between	IN	between
monkeys	NNS	monkey
and	CC	and
apes	NNS	ape
—	:	-
if	IN	if
they	PP	they
can	MD	can
do	VB	do
it	PP	it
in	IN	in
monkeys	NNS	monkey
,	,	,
they	PP	they
can	MD	can
probably	RB	probably
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
do	VB	do
it	PP	it
in	IN	in
apes	NNS	ape
,	,	,
which	WDT	which
means	VBZ	mean
they	PP	they
can	MD	can
do	VB	do
it	PP	it
in	IN	in
human	JJ	human
beings	NNS	being
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
it	PP	it
is	VBZ	be
theoretically	RB	theoretically
possible	JJ	possible
that	IN	that
before	IN	before
too	RB	too
long	JJ	long
we	PP	we
will	MD	will
be	VB	be
biotechnologically	RB	biotechnologically
capable	JJ	capable
of	IN	of
creating	VBG	create
human	JJ	human
beings	NNS	being
that	WDT	that
glow	VBP	glow
in	IN	in
the	DT	the
dark	NN	dark
.	SENT	.
Be	VB	be
easier	JJR	easy
to	TO	to
find	VB	find
us	PP	us
at	IN	at
night	NN	night
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
right	RB	right
now	RB	now
in	IN	in
many	JJ	many
states	NNS	state
,	,	,
you	PP	you
can	MD	can
go	VB	go
out	RP	out
and	CC	and
you	PP	you
can	MD	can
buy	VB	buy
bioluminescent	JJ	bioluminescent
pets	NNS	pet
.	SENT	.
These	DT	these
are	VBP	be
zebra	NNS	zebra
fish	NN	fish
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
normally	RB	normally
black	JJ	black
and	CC	and
silver	JJ	silver
.	SENT	.
These	DT	these
are	VBP	be
zebra	NN	zebra
fish	NNS	fish
that	WDT	that
have	VBP	have
been	VBN	be
genetically	RB	genetically
engineered	VBN	engineer
to	TO	to
be	VB	be
yellow	JJ	yellow
,	,	,
green	JJ	green
,	,	,
red	JJ	red
,	,	,
and	CC	and
they	PP	they
are	VBP	be
actually	RB	actually
available	JJ	available
now	RB	now
in	IN	in
certain	JJ	certain
states	NNS	state
.	SENT	.
Other	JJ	other
states	NNS	state
have	VBP	have
banned	VBN	ban
them	PP	them
.	SENT	.
Nobody	NN	nobody
knows	VBZ	know
what	WP	what
to	TO	to
do	VB	do
with	IN	with
these	DT	these
kinds	NNS	kind
of	IN	of
creatures	NNS	creature
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
area	NN	area
of	IN	of
the	DT	the
government	NN	government
—	:	-
not	RB	not
the	DT	the
EPA	NP	EPA
or	CC	or
the	DT	the
FDA	NP	FDA
—	:	-
that	WDT	that
controls	VBZ	control
genetically-engineered	JJ	genetically-engineered
pets	NNS	pet
.	SENT	.
And	CC	and
so	RB	so
some	DT	some
states	NNS	state
have	VBP	have
decided	VBN	decide
to	TO	to
allow	VB	allow
them	PP	them
,	,	,
some	DT	some
states	NNS	state
have	VBP	have
decided	VBN	decide
to	TO	to
ban	VB	ban
them	PP	them
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
may	MD	may
have	VB	have
read	VBN	read
about	IN	about
the	DT	the
FDA	NP	FDA
'	POS	'
s	NN	S
consideration	NN	consideration
right	RB	right
now	RB	now
of	IN	of
genetically-engineered	JJ	genetically-engineered
salmon	NN	salmon
.	SENT	.
The	DT	the
salmon	NN	salmon
on	IN	on
top	NN	top
is	VBZ	be
a	DT	a
genetically	RB	genetically
engineered	VBN	engineer
Chinook	NN	chinook
salmon	NN	salmon
,	,	,
using	VBG	use
a	DT	a
