As	IN	as
you	PP	you
pointed	VBD	point
out	RP	out
,	,	,
every	DT	every
time	NN	time
you	PP	you
come	VBP	come
here	RB	here
,	,	,
you	PP	you
learn	VBP	learn
something	NN	something
.	SENT	.
This	DT	this
morning	NN	morning
,	,	,
the	DT	the
world	NN	world
'	POS	'
s	NN	S
experts	NNS	expert
from	IN	from
I	PP	I
guess	VBP	guess
three	CD	three
or	CC	or
four	CD	four
different	JJ	different
companies	NNS	company
on	IN	on
building	NN	building
seats	NNS	seat
,	,	,
I	PP	I
think	VBP	think
concluded	VBD	conclude
that	IN	that
ultimately	RB	ultimately
,	,	,
the	DT	the
solution	NN	solution
is	VBZ	be
,	,	,
people	NNS	people
shouldn	NN	<unknown>
'	POS	'
t	NN	t
sit	VBP	sit
down	RB	down
.	SENT	.
I	PP	I
could	MD	could
have	VB	have
told	VBN	tell
them	PP	them
that	DT	that
.	SENT	.
Yesterday	RB	yesterday
,	,	,
the	DT	the
automotive	JJ	automotive
guys	NNS	guy
gave	VBD	give
us	PP	us
some	DT	some
new	JJ	new
insights	NNS	insight
.	SENT	.
They	PP	they
pointed	VBD	point
out	RP	out
that	IN	that
,	,	,
I	PP	I
believe	VBP	believe
it	PP	it
was	VBD	be
between	IN	between
30	CD	@card@
and	CC	and
50	CD	@card@
years	NNS	year
from	IN	from
today	NN	today
,	,	,
they	PP	they
will	MD	will
be	VB	be
steering	VBG	steer
cars	NNS	car
by	IN	by
wire	NN	wire
,	,	,
without	IN	without
all	PDT	all
that	DT	that
mechanical	JJ	mechanical
stuff	NN	stuff
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
reassuring	JJ	reassuring
.	SENT	.
They	PP	they
then	RB	then
pointed	VBD	point
out	RP	out
that	IN	that
there	EX	there
'	''	'
d	SYM	d
be	VB	be
,	,	,
sort	VB	sort
of	IN	of
,	,	,
the	DT	the
other	JJ	other
controls	NNS	control
by	IN	by
wire	NN	wire
,	,	,
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
all	PDT	all
that	DT	that
mechanical	JJ	mechanical
stuff	NN	stuff
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
pretty	RB	pretty
good	JJ	good
,	,	,
but	CC	but
why	WRB	why
not	RB	not
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
wires	NNS	wire
?	SENT	?
Then	RB	then
you	PP	you
don	VB	don
'	''	'
t	NN	t
need	NN	need
anything	NN	anything
to	TO	to
control	VB	control
the	DT	the
car	NN	car
,	,	,
except	IN	except
thinking	VBG	think
about	IN	about
it	PP	it
.	SENT	.
I	PP	I
would	MD	would
love	VB	love
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
technology	NN	technology
,	,	,
and	CC	and
sometime	RB	sometime
,	,	,
in	IN	in
what	WP	what
'	POS	'
s	NN	S
past	IN	past
the	DT	the
15	CD	@card@
minutes	NNS	minute
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
happy	JJ	happy
to	TO	to
talk	VB	talk
to	TO	to
all	PDT	all
the	DT	the
techno-geeks	NNS	techno-geek
around	RB	around
here	RB	here
about	IN	about
what	WP	what
'	POS	'
s	NN	S
in	IN	in
here	RB	here
.	SENT	.
But	CC	but
if	IN	if
I	PP	I
had	VBD	have
one	CD	one
thing	NN	thing
to	TO	to
say	VB	say
about	IN	about
this	DT	this
,	,	,
before	IN	before
we	PP	we
get	VBP	get
to	TO	to
first	JJ	first
,	,	,
it	PP	it
would	MD	would
be	VB	be
that	IN	that
from	IN	from
the	DT	the
time	NN	time
we	PP	we
started	VBD	start
building	VBG	build
this	DT	this
,	,	,
the	DT	the
big	JJ	big
idea	NN	idea
wasn	NN	<unknown>
'	POS	'
t	NN	t
the	DT	the
technology	NN	technology
.	SENT	.
It	PP	it
really	RB	really
was	VBD	be
a	DT	a
big	JJ	big
idea	NN	idea
in	IN	in
