Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
classic	JJ	classic
thought	NN	thought
experiment	NN	experiment
that	RB	that
'	POS	'
s	NNS	<unknown>
designed	VBN	design
to	TO	to
trick	VB	trick
your	PP$	your
brain	NN	brain
into	IN	into
thinking	VBG	think
long-term	JJ	long-term
and	CC	and
getting	VBG	get
out	RP	out
of	IN	of
the	DT	the
daily	JJ	daily
news	NN	news
cycle	NN	cycle
.	SENT	.
And	CC	and
it	PP	it
goes	VBZ	go
like	IN	like
this	DT	this
:	:	:
if	IN	if
a	DT	a
newspaper	NN	newspaper
came	VBD	come
out	RP	out
once	IN	once
a	DT	a
century	NN	century
,	,	,
what	WP	what
would	MD	would
the	DT	the
front	JJ	front
page	NN	page
banner	NN	banner
headline	NN	headline
be	VB	be
?	SENT	?
"	''	"
We	PP	we
defeated	VBD	defeat
the	DT	the
Nazis	NNS	Nazi
,	,	,
"	''	"
or	CC	or
"	``	"
landed	VBD	land
on	IN	on
the	DT	the
moon	NN	moon
,	,	,
"	''	"
or	CC	or
"	``	"
built	VBN	build
the	DT	the
Internet	NN	Internet
"	''	"
?	SENT	?
I	PP	I
would	MD	would
argue	VB	argue
that	IN	that
it	PP	it
would	MD	would
be	VB	be
the	DT	the
story	NN	story
of	IN	of
a	DT	a
single	JJ	single
number	NN	number
,	,	,
maybe	RB	maybe
the	DT	the
most	RBS	most
elemental	JJ	elemental
measure	NN	measure
of	IN	of
progress	NN	progress
that	IN	that
we	PP	we
have	VBP	have
.	SENT	.
Life	NN	life
expectancy	NN	expectancy
at	IN	at
birth	NN	birth
.	SENT	.
The	DT	the
length	NN	length
of	IN	of
time	NN	time
that	IN	that
the	DT	the
average	JJ	average
person	NN	person
can	MD	can
expect	VB	expect
to	TO	to
live	VB	live
in	IN	in
a	DT	a
given	VBN	give
place	NN	place
at	IN	at
a	DT	a
given	VBN	give
time	NN	time
.	SENT	.
One	CD	one
hundred	CD	hundred
years	NNS	year
ago	RB	ago
,	,	,
as	IN	as
best	JJS	good
as	IN	as
we	PP	we
can	MD	can
measure	VB	measure
,	,	,
the	DT	the
average	JJ	average
global	JJ	global
life	NN	life
expectancy	NN	expectancy
stood	VBD	stand
somewhere	RB	somewhere
in	IN	in
the	DT	the
mid	JJ	mid
30s	NNS	30s
.	SENT	.
Today	NN	today
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
over	IN	over
70	CD	@card@
.	SENT	.
So	RB	so
in	IN	in
one	CD	one
century	NN	century
,	,	,
we	PP	we
doubled	VBD	double
global	JJ	global
life	NN	life
expectancy	NN	expectancy
.	SENT	.
And	CC	and
to	TO	to
give	VB	give
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
this	DT	this
looks	NNS	look
like	IN	like
geographically	RB	geographically
,	,	,
take	VB	take
a	DT	a
look	NN	look
at	IN	at
this	DT	this
image	NN	image
,	,	,
these	DT	these
maps	NNS	map
.	SENT	.
This	DT	this
is	VBZ	be
data	NN	data
courtesy	NN	courtesy
of	IN	of
the	DT	the
great	JJ	great
organization	NN	organization
,	,	,
Our	PP$	our
World	NN	world
in	IN	in
Data	NP	Data
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
world	NN	world
in	IN	in
1950	CD	@card@
.	SENT	.
And	CC	and
in	IN	in
blue	JJ	blue
are	VBP	be
the	DT	the
countries	NNS	country
where	WRB	where
life	NN	life
expectancy	NN	expectancy
is	VBZ	be
more	JJR	more
than	IN	than
70	CD	@card@
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
it	PP	it
'	POS	'
s	NN	S
just	RB	just
five	CD	five
countries	NNS	country
in	IN	in
northern	JJ	northern
Europe	NP	Europe
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
And	CC	and
in	IN	in
red	NN	red
,	,	,
these	DT	these
are	VBP	be
the	DT	the
countries	NNS	country
where	WRB	where
life	NN	life
expectancy	NN	expectancy
is	VBZ	be
below	IN	below
45	CD	@card@
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
planet	NN	planet
.	SENT	.
So	RB	so
fast-forward	JJ	fast-forward
to	TO	to
more	JJR	more
recent	JJ	recent
history	NN	history
.	SENT	.
2015	LS	@card@
--	:	--
in	IN	in
blue	NN	blue
the	DT	the
countries	NNS	country
where	WRB	where
life	NN	life
expectancy	NN	expectancy
is	VBZ	be
above	IN	above
70	CD	@card@
.	SENT	.
Look	VB	look
at	IN	at
all	PDT	all
that	DT	that
life	NN	life
.	SENT	.
And	CC	and
in	IN	in
red	NN	red
,	,	,
the	DT	the
countries	NNS	country
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
below	IN	below
45	CD	@card@
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
red	NN	red
on	IN	on
the	DT	the
map	NN	map
because	IN	because
there	EX	there
are	VBP	be
no	DT	no
countries	NNS	country
where	WRB	where
life	NN	life
expectancy	NN	expectancy
is	VBZ	be
below	IN	below
45	CD	@card@
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
there	EX	there
are	VBP	be
very	RB	very
few	JJ	few
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
below	IN	below
60	CD	@card@
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
extraordinary	JJ	extraordinary
achievement	NN	achievement
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
sometimes	RB	sometimes
hear	VBP	hear
people	NNS	people
say	VBP	say
that	IN	that
life	NN	life
expectancy	NN	expectancy
and	CC	and
this	DT	this
kind	NN	kind
of	IN	of
progress	NN	progress
is	VBZ	be
actually	RB	actually
just	RB	just
a	DT	a
statistical	JJ	statistical
illusion	NN	illusion
.	SENT	.
That	IN	that
we	PP	we
got	VBD	get
better	RBR	well
at	IN	at
reducing	VBG	reduce
infant	JJ	infant
mortality	NN	mortality
,	,	,
but	CC	but
the	DT	the
rest	NN	rest
of	IN	of
our	PP$	our
lives	NNS	life
are	VBP	be
actually	RB	actually
not	RB	not
all	PDT	all
that	DT	that
different	JJ	different
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
true	JJ	true
that	IN	that
infant	JJ	infant
mortality	NN	mortality
has	VBZ	have
been	VBN	be
dramatically	RB	dramatically
reduced	VBN	reduce
over	IN	over
the	DT	the
last	JJ	last
hundred	CD	hundred
years	NNS	year
.	SENT	.
But	CC	but
the	DT	the
story	NN	story
is	VBZ	be
much	RB	much
richer	JJR	rich
and	CC	and
more	RBR	more
intense	JJ	intense
than	IN	than
that	DT	that
.	SENT	.
If	IN	if
you	PP	you
take	VBP	take
a	DT	a
look	NN	look
at	IN	at
this	DT	this
early	JJ	early
infographic	NN	<unknown>
by	IN	by
the	DT	the
great	JJ	great
Victorian	JJ	Victorian
statistician	NN	statistician
William	NP	William
Farr	NP	Farr
,	,	,
which	WDT	which
is	VBZ	be
attempting	VBG	attempt
to	TO	to
show	VB	show
mortality	NN	mortality
rates	NNS	rate
by	IN	by
age	NN	age
group	NN	group
in	IN	in
London	NP	London
in	IN	in
the	DT	the
early	JJ	early
1840s	NN	<unknown>
.	SENT	.
I	PP	I
find	VBP	find
something	NN	something
incredibly	RB	incredibly
heroic	JJ	heroic
about	IN	about
this	DT	this
chart	NN	chart
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
guy	NN	guy
without	IN	without
computers	NNS	computer
,	,	,
without	IN	without
the	DT	the
Internet	NN	Internet
,	,	,
without	IN	without
Excel	NP	Excel
,	,	,
trying	VBG	try
to	TO	to
do	VB	do
something	NN	something
that	WDT	that
is	VBZ	be
incredibly	RB	incredibly
hard	JJ	hard
and	CC	and
incredibly	RB	incredibly
important	JJ	important
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
look	VB	look
at	IN	at
broad	JJ	broad
patterns	NNS	pattern
in	IN	in
life	NN	life
and	CC	and
death	NN	death
in	IN	in
a	DT	a
