Well	RB	well
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
extraordinary	JJ	extraordinary
honor	NN	honor
for	IN	for
me	PP	me
.	SENT	.
I	PP	I
spend	VBP	spend
most	JJS	most
of	IN	of
my	PP$	my
time	NN	time
in	IN	in
jails	NNS	jail
,	,	,
in	IN	in
prisons	NNS	prison
,	,	,
on	IN	on
death	NN	death
row	NN	row
.	SENT	.
I	PP	I
spend	VBP	spend
most	JJS	most
of	IN	of
my	PP$	my
time	NN	time
in	IN	in
very	RB	very
low-income	JJ	low-income
communities	NNS	community
in	IN	in
the	DT	the
projects	NNS	project
and	CC	and
places	NNS	place
where	WRB	where
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
hopelessness	NN	hopelessness
.	SENT	.
And	CC	and
being	VBG	be
here	RB	here
at	IN	at
TED	VB	ted
and	CC	and
seeing	VBG	see
the	DT	the
stimulation	NN	stimulation
,	,	,
hearing	VBG	hear
it	PP	it
,	,	,
has	VBZ	have
been	VBN	be
very	RB	very
,	,	,
very	RB	very
energizing	VBG	energize
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
'	POS	'
s	NN	S
emerged	VBD	emerge
in	IN	in
my	PP$	my
short	JJ	short
time	NN	time
here	RB	here
is	VBZ	be
that	WDT	that
TED	VBP	ted
has	VBZ	have
an	DT	an
identity	NN	identity
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
actually	RB	actually
say	VB	say
things	NNS	thing
here	RB	here
that	WDT	that
have	VBP	have
impacts	NNS	impact
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
sometimes	RB	sometimes
when	WRB	when
it	PP	it
comes	VBZ	come
through	RB	through
TED	VB	ted
,	,	,
it	PP	it
has	VBZ	have
meaning	NN	meaning
and	CC	and
power	NN	power
that	IN	that
it	PP	it
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
when	WRB	when
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
And	CC	and
I	PP	I
mention	VBP	mention
that	IN	that
because	IN	because
I	PP	I
think	VBP	think
identity	NN	identity
is	VBZ	be
really	RB	really
important	JJ	important
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
some	DT	some
fantastic	JJ	fantastic
presentations	NNS	presentation
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
learned	VBN	learn
is	VBZ	be
that	IN	that
,	,	,
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
teacher	NN	teacher
your	PP$	your
words	NNS	word
can	MD	can
be	VB	be
meaningful	JJ	meaningful
,	,	,
but	CC	but
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
compassionate	JJ	compassionate
teacher	NN	teacher
,	,	,
they	PP	they
can	MD	can
be	VB	be
especially	RB	especially
meaningful	JJ	meaningful
.	SENT	.
If	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
doctor	NN	doctor
you	PP	you
can	MD	can
do	VB	do
some	DT	some
good	JJ	good
things	NNS	thing
,	,	,
but	CC	but
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
caring	JJ	caring
doctor	NN	doctor
you	PP	you
can	MD	can
do	VB	do
some	DT	some
other	JJ	other
things	NNS	thing
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
power	NN	power
of	IN	of
identity	NN	identity
.	SENT	.
And	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
learn	VBP	learn
about	IN	about
this	DT	this
actually	RB	actually
practicing	VBG	practice
law	NN	law
and	CC	and
doing	VBG	do
the	DT	the
work	NN	work
that	IN	that
I	PP	I
do	VBP	do
.	SENT	.
I	PP	I
actually	RB	actually
learned	VBD	learn
about	IN	about
this	DT	this
from	IN	from
my	PP$	my
grandmother	NN	grandmother
.	SENT	.
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
a	DT	a
house	NN	house
that	WDT	that
was	VBD	be
the	DT	the
traditional	JJ	traditional
African-American	NP	African-American
home	NN	home
that	WDT	that
was	VBD	be
dominated	VBN	dominate
by	IN	by
a	DT	a
matriarch	NN	matriarch
,	,	,
and	CC	and
that	IN	that
matriarch	NN	matriarch
was	VBD	be
my	PP$	my
grandmother	NN	grandmother
.	SENT	.
She	PP	she
was	VBD	be
tough	JJ	tough
,	,	,
she	PP	she
was	VBD	be
strong	JJ	strong
,	,	,
she	PP	she
was	VBD	be
powerful	JJ	powerful
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
end	NN	end
of	IN	of
every	DT	every
argument	NN	argument
in	IN	in
our	PP$	our
family	NN	family
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
beginning	NN	beginning
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
arguments	NNS	argument
in	IN	in
our	PP$	our
family	NN	family
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
daughter	NN	daughter
of	IN	of
people	NNS	people
who	WP	who
were	VBD	be
actually	RB	actually
enslaved	VBN	enslave
.	SENT	.
Her	PP$	her
parents	NNS	parent
were	VBD	be
born	VBN	bear
in	IN	in
slavery	NN	slavery
in	IN	in
Virginia	NP	Virginia
in	IN	in
the	DT	the
1840	CD	@card@
'	POS	'
s	NN	S
.	SENT	.
She	PP	she
was	VBD	be
born	VBN	bear
in	IN	in
the	DT	the
1880	CD	@card@
'	POS	'
s	NN	S
and	CC	and
the	DT	the
experience	NN	experience
of	IN	of
slavery	NN	slavery
very	RB	very
much	RB	much
shaped	VBN	shape
the	DT	the
way	NN	way
she	PP	she
saw	VBD	see
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
my	PP$	my
grandmother	NN	grandmother
was	VBD	be
tough	JJ	tough
,	,	,
but	CC	but
she	PP	she
was	VBD	be
also	RB	also
loving	JJ	loving
.	SENT	.
When	WRB	when
I	PP	I
would	MD	would
see	VB	see
her	PP	her
as	IN	as
a	DT	a
little	JJ	little
boy	NN	boy
,	,	,
she	PP	she
'	POS	'
d	NN	d
come	VBN	come
up	RP	up
to	TO	to
me	PP	me
and	CC	and
she	PP	she
'	POS	'
d	NN	d
give	VB	give
me	PP	me
these	DT	these
hugs	NNS	hug
.	SENT	.
And	CC	and
she	PP	she
'	POS	'
d	NN	d
squeeze	NN	squeeze
me	PP	me
so	RB	so
tight	JJ	tight
I	PP	I
could	MD	could
barely	RB	barely
breathe	VB	breathe
and	CC	and
then	RB	then
she	PP	she
'	POS	'
d	NN	d
let	VBD	let
me	PP	me
go	VBP	go
.	SENT	.
And	CC	and
an	DT	an
hour	NN	hour
or	CC	or
two	CD	two
later	JJR	late
,	,	,
if	IN	if
I	PP	I
saw	VBD	see
her	PP	her
,	,	,
she	PP	she
'	POS	'
d	NN	d
come	VBN	come
over	RP	over
to	TO	to
me	PP	me
and	CC	and
she	PP	she
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	''	"
Bryan	NP	Bryan
,	,	,
do	VBP	do
you	PP	you
still	RB	still
feel	VBP	feel
me	PP	me
hugging	VBG	hug
you	PP	you
?	SENT	?
"	''	"
And	CC	and
if	IN	if
I	PP	I
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
"	''	"
she	PP	she
'	POS	'
d	NN	d
assault	NN	assault
me	PP	me
again	RB	again
,	,	,
and	CC	and
if	IN	if
I	PP	I
said	VBD	say
,	,	,
"	``	"
Yes	UH	yes
,	,	,
"	''	"
she	PP	she
'	POS	'
d	NN	d
leave	VB	leave
me	PP	me
alone	RB	alone
.	SENT	.
And	CC	and
she	PP	she
just	RB	just
had	VBD	have
this	DT	this
quality	NN	quality
that	IN	that
you	PP	you
always	RB	always
wanted	VBD	want
to	TO	to
be	VB	be
near	IN	near
her	PP	her
.	SENT	.
And	CC	and
the	DT	the
only	JJ	only
challenge	NN	challenge
was	VBD	be
that	IN	that
she	PP	she
had	VBD	have
10	CD	@card@
children	NNS	child
.	SENT	.
My	PP$	my
mom	NN	mom
was	VBD	be
the	DT	the
youngest	JJS	young
of	IN	of
her	PP$	her
10	CD	@card@
kids	NNS	kid
.	SENT	.
And	CC	and
sometimes	RB	sometimes
when	WRB	when
I	PP	I
would	MD	would
go	VB	go
and	CC	and
spend	VB	spend
time	NN	time
with	IN	with
her	PP	her
,	,	,
it	PP	it
would	MD	would
be	VB	be
difficult	JJ	difficult
to	TO	to
get	VB	get
her	PP$	her
time	NN	time
and	CC	and
attention	NN	attention
.	SENT	.
My	PP$	my
cousins	NNS	cousin
would	MD	would
be	VB	be
running	VBG	run
around	RP	around
everywhere	RB	everywhere
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
,	,	,
