Beau	NP	Beau
Lotto	NN	lotto
:	:	:
So	RB	so
,	,	,
this	DT	this
game	NN	game
is	VBZ	be
very	RB	very
simple	JJ	simple
.	SENT	.
All	RB	all
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
is	VBZ	be
read	VB	read
what	WP	what
you	PP	you
see	VBP	see
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
count	VB	count
to	TO	to
you	PP	you
,	,	,
so	RB	so
we	PP	we
don	VB	don
'	''	'
t	NN	t
all	RB	all
do	VBP	do
it	PP	it
together	RB	together
.	SENT	.
Okay	RB	okay
,	,	,
one	CD	one
,	,	,
two	CD	two
,	,	,
three	CD	three
.	SENT	.
Audience	NN	audience
:	:	:
Can	MD	can
you	PP	you
read	VB	read
this	DT	this
?	SENT	?
BL	NP	BL
:	:	:
Amazing	JJ	amazing
.	SENT	.
What	WP	what
about	IN	about
this	DT	this
one	CD	one
?	SENT	?
One	CD	one
,	,	,
two	CD	two
,	,	,
three	CD	three
.	SENT	.
Audience	NN	audience
:	:	:
You	PP	you
are	VBP	be
not	RB	not
reading	VBG	read
this	DT	this
.	SENT	.
BL	NP	BL
:	:	:
All	DT	all
right	NN	right
.	SENT	.
One	CD	one
,	,	,
two	CD	two
,	,	,
three	CD	three
.	SENT	.
If	IN	if
you	PP	you
were	VBD	be
Portuguese	JJ	Portuguese
,	,	,
right	RB	right
?	SENT	?
How	WRB	how
about	RB	about
this	DT	this
one	CD	one
?	SENT	?
One	CD	one
,	,	,
two	CD	two
,	,	,
three	CD	three
.	SENT	.
Audience	NN	audience
:	:	:
What	WP	what
are	VBP	be
you	PP	you
reading	VBG	read
?	SENT	?
BL	NP	BL
:	:	:
What	WP	what
are	VBP	be
you	PP	you
reading	VBG	read
?	SENT	?
There	EX	there
are	VBP	be
no	DT	no
words	NNS	word
there	RB	there
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
read	VB	read
what	WP	what
you	PP	you
'	''	'
re	IN	re
seeing	VBG	see
.	SENT	.
Right	RB	right
?	SENT	?
It	PP	it
literally	RB	literally
says	VBZ	say
,	,	,
"	``	"
Wat	NP	Wat
ar	JJ	<unknown>
ou	NN	ou
rea	NN	rea
in	IN	in
?	SENT	?
"	''	"
Right	RB	right
?	SENT	?
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
should	MD	should
have	VB	have
said	VBN	say
.	SENT	.
Right	RB	right
?	SENT	?
Why	WRB	why
is	VBZ	be
this	DT	this
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
because	IN	because
perception	NN	perception
is	VBZ	be
grounded	VBN	ground
in	IN	in
our	PP$	our
experience	NN	experience
.	SENT	.
Right	RB	right
?	SENT	?
The	DT	the
brain	NN	brain
takes	VBZ	take
meaningless	JJ	meaningless
information	NN	information
and	CC	and
makes	VBZ	make
meaning	VBG	mean
out	RP	out
of	IN	of
it	PP	it
,	,	,
which	WDT	which
means	VBZ	mean
we	PP	we
never	RB	never
see	VBP	see
what	WP	what
'	POS	'
s	NN	S
there	RB	there
,	,	,
we	PP	we
never	RB	never
see	VBP	see
information	NN	information
,	,	,
we	PP	we
only	RB	only
ever	RB	ever
see	VB	see
what	WP	what
was	VBD	be
useful	JJ	useful
to	TO	to
see	VB	see
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
All	DT	all
right	NN	right
?	SENT	?
Which	WDT	which
means	VBZ	mean
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
perception	NN	perception
,	,	,
we	PP	we
'	POS	'
re	NN	re
all	RB	all
like	IN	like
this	DT	this
frog	NN	frog
.	SENT	.
Right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	JJ	<unknown>
getting	VBG	get
information	NN	information
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
generating	NN	generating
behavior	NN	behavior
that	RB	that
'	POS	'
s	NNS	<unknown>
useful	JJ	useful
.	SENT	.
Man	NN	man
:	:	:
Ow	NN	Ow
!	SENT	!
Ow	NN	Ow
!	SENT	!
BL	NP	BL
:	:	:
And	CC	and
sometimes	RB	sometimes
,	,	,
when	WRB	when
things	NNS	thing
don	VB	don
'	''	'
t	NN	t
go	VB	go
our	PP$	our
way	NN	way
,	,	,
we	PP	we
get	VBP	get
a	DT	a
little	JJ	little
bit	NN	bit
annoyed	VBD	annoy
,	,	,
right	RB	right
?	SENT	?
But	CC	but
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
perception	NN	perception
here	RB	here
,	,	,
right	RB	right
?	SENT	?
And	CC	and
perception	NN	perception
underpins	VBZ	underpin
everything	NN	everything
we	PP	we
think	VBP	think
,	,	,
we	PP	we
know	VBP	know
,	,	,
we	PP	we
believe	VBP	believe
,	,	,
our	PP$	our
hopes	NNS	hope
,	,	,
our	PP$	our
dreams	NNS	dream
,	,	,
the	DT	the
clothes	NNS	clothes
we	PP	we
wear	VBP	wear
,	,	,
falling	VBG	fall
in	IN	in
love	NN	love
,	,	,
everything	NN	everything
begins	VBZ	begin
with	IN	with
perception	NN	perception
.	SENT	.
Now	RB	now
if	IN	if
perception	NN	perception
is	VBZ	be
