Doc	NP	Doc
Edgerton	NP	Edgerton
inspired	VBD	inspire
us	PP	us
with	IN	with
awe	NN	awe
and	CC	and
curiosity	NN	curiosity
with	IN	with
this	DT	this
photo	NN	photo
of	IN	of
a	DT	a
bullet	NN	bullet
piercing	VBG	pierce
through	IN	through
an	DT	an
apple	NN	apple
,	,	,
and	CC	and
exposure	NN	exposure
just	RB	just
a	DT	a
millionth	NN	millionth
of	IN	of
a	DT	a
second	NN	second
.	SENT	.
But	CC	but
now	RB	now
,	,	,
50	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
we	PP	we
can	MD	can
go	VB	go
a	DT	a
million	CD	million
times	NNS	time
faster	RBR	faster
and	CC	and
see	VBP	see
the	DT	the
world	NN	world
not	RB	not
at	IN	at
a	DT	a
million	CD	million
or	CC	or
a	DT	a
billion	NNS	billion
,	,	,
but	CC	but
one	CD	one
trillion	CD	trillion
frames	NNS	frame
per	IN	per
second	JJ	second
.	SENT	.
I	PP	I
present	VBP	present
to	TO	to
you	PP	you
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
photography	NN	photography
,	,	,
femto-photography	NN	femto-photography
,	,	,
a	DT	a
new	JJ	new
imaging	NN	imaging
technique	NN	technique
so	RB	so
fast	RB	fast
that	IN	that
it	PP	it
can	MD	can
create	VB	create
slow	JJ	slow
motion	NN	motion
videos	NNS	video
of	IN	of
light	NN	light
in	IN	in
motion	NN	motion
.	SENT	.
And	CC	and
with	IN	with
that	DT	that
,	,	,
we	PP	we
can	MD	can
create	VB	create
cameras	NNS	camera
that	WDT	that
can	MD	can
look	VB	look
around	RP	around
corners	NNS	corner
,	,	,
beyond	IN	beyond
line	NN	line
of	IN	of
sight	NN	sight
,	,	,
or	CC	or
see	VB	see
inside	IN	inside
our	PP$	our
body	NN	body
without	IN	without
an	DT	an
x-ray	NN	x-ray
,	,	,
and	CC	and
really	RB	really
challenge	VB	challenge
what	WP	what
we	PP	we
mean	VBP	mean
by	IN	by
a	DT	a
camera	NN	camera
.	SENT	.
Now	RB	now
if	IN	if
I	PP	I
take	VBP	take
a	DT	a
laser	NN	laser
pointer	NN	pointer
and	CC	and
turn	VB	turn
it	PP	it
on	RP	on
and	CC	and
off	RP	off
in	IN	in
one	CD	one
trillionth	NN	trillionth
of	IN	of
a	DT	a
second	JJ	second
—	:	-
which	WDT	which
is	VBZ	be
several	JJ	several
femtoseconds	NNS	femtosecond
—	:	-
I	PP	I
'	POS	'
ll	NNS	<unknown>
create	VBP	create
a	DT	a
packet	NN	packet
of	IN	of
photons	NNS	photon
barely	RB	barely
a	DT	a
millimeter	NN	millimeter
wide	JJ	wide
.	SENT	.
And	CC	and
that	DT	that
packet	NN	packet
of	IN	of
photons	NNS	photon
