There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
in	IN	in
Kenya	NP	Kenya
.	SENT	.
People	NNS	people
cross	VBP	cross
oceans	NNS	ocean
to	TO	to
go	VB	go
see	VB	see
them	PP	them
.	SENT	.
These	DT	these
people	NNS	people
are	VBP	be
tall	JJ	tall
.	SENT	.
They	PP	they
jump	VBP	jump
high	JJ	high
.	SENT	.
They	PP	they
wear	VBP	wear
red	JJ	red
.	SENT	.
And	CC	and
they	PP	they
kill	VBP	kill
lions	NNS	lion
.	SENT	.
You	PP	you
might	MD	might
be	VB	be
wondering	VBG	wonder
,	,	,
who	WP	who
are	VBP	be
these	DT	these
people	NNS	people
?	SENT	?
These	DT	these
are	VBP	be
the	DT	the
Maasais	NP	<unknown>
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
'	POS	'
s	NN	S
cool	NN	cool
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
actually	RB	actually
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
The	DT	the
Maasais	NP	<unknown>
,	,	,
the	DT	the
boys	NNS	boy
are	VBP	be
brought	VBN	bring
up	RP	up
to	TO	to
be	VB	be
warriors	NNS	warrior
.	SENT	.
The	DT	the
girls	NNS	girl
are	VBP	be
brought	VBN	bring
up	RP	up
to	TO	to
be	VB	be
mothers	NNS	mother
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
five	CD	five
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
found	VBD	find
out	RP	out
that	IN	that
I	PP	I
was	VBD	be
engaged	VBN	engage
to	TO	to
be	VB	be
married	VBN	marry
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
reached	VBD	reach
puberty	NN	puberty
.	SENT	.
My	PP$	my
mother	NN	mother
,	,	,
my	PP$	my
grandmother	NN	grandmother
,	,	,
my	PP$	my
aunties	NNS	auntie
,	,	,
they	PP	they
constantly	RB	constantly
reminded	VBD	remind
me	PP	me
that	IN	that
your	PP$	your
husband	NN	husband
just	RB	just
passed	VBN	pass
by	IN	by
.	SENT	.
Cool	JJ	cool
,	,	,
yeah	RB	yeah
?	SENT	?
And	CC	and
everything	NN	everything
I	PP	I
had	VBD	have
to	TO	to
do	VB	do
from	IN	from
that	DT	that
moment	NN	moment
was	VBD	be
to	TO	to
prepare	VB	prepare
me	PP	me
to	TO	to
be	VB	be
a	DT	a
perfect	JJ	perfect
woman	NN	woman
at	IN	at
age	NN	age
12	CD	@card@
.	SENT	.
My	PP$	my
day	NN	day
started	VBD	start
at	IN	at
5	CD	@card@
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
milking	VBG	milk
the	DT	the
cows	NNS	cow
,	,	,
sweeping	VBG	sweep
the	DT	the
house	NN	house
,	,	,
cooking	VBG	cook
for	IN	for
my	PP$	my
siblings	NNS	sibling
,	,	,
collecting	VBG	collect
water	NN	water
,	,	,
firewood	NN	firewood
.	SENT	.
I	PP	I
did	VBD	do
everything	NN	everything
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
do	VB	do
to	TO	to
become	VB	become
a	DT	a
perfect	JJ	perfect
wife	NN	wife
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
school	VB	school
not	RB	not
because	IN	because
the	DT	the
Maasais	NP	<unknown>
'	POS	'
women	NNS	woman
or	CC	or
girls	NNS	girl
were	VBD	be
going	VBG	go
to	TO	to
school	NN	school
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
because	IN	because
my	PP$	my
mother	NN	mother
was	VBD	be
denied	VBN	deny
an	DT	an
education	NN	education
,	,	,
and	CC	and
she	PP	she
constantly	RB	constantly
reminded	VBD	remind
me	PP	me
and	CC	and
my	PP$	my
siblings	NNS	sibling
that	IN	that
she	PP	she
never	RB	never
wanted	VBD	want
us	PP	us
to	TO	to
live	VB	live
the	DT	the
life	NN	life
she	PP	she
was	VBD	be
living	VBG	live
.	SENT	.
Why	WRB	why
did	VBD	do
she	PP	she
say	VBP	say
that	RB	that
?	SENT	?
My	PP$	my
father	NN	father
worked	VBD	work
as	IN	as
a	DT	a
policeman	NN	policeman
in	IN	in
the	DT	the
city	NN	city
.	SENT	.
He	PP	he
came	VBD	come
home	NN	home
once	IN	once
a	DT	a
year	NN	year
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VB	see
him	PP	him
for	IN	for
sometimes	RB	sometimes
even	RB	even
two	CD	two
years	NNS	year
.	SENT	.
And	CC	and
whenever	WRB	whenever
he	PP	he
came	VBD	come
home	RB	home
,	,	,
it	PP	it
was	VBD	be
a	DT	a
different	JJ	different
case	NN	case
.	SENT	.
My	PP$	my
mother	NN	mother
worked	VBD	work
hard	RB	hard
in	IN	in
the	DT	the
farm	NN	farm
to	TO	to
grow	VB	grow
crops	NNS	crop
so	RB	so
that	IN	that
we	PP	we
can	MD	can
eat	VB	eat
.	SENT	.
She	PP	she
reared	VBD	rear
the	DT	the
cows	NNS	cow
and	CC	and
the	DT	the
goats	NNS	goat
so	RB	so
that	IN	that
she	PP	she
can	MD	can
care	VB	care
for	IN	for
us	PP	us
.	SENT	.
But	CC	but
when	WRB	when
my	PP$	my
father	NN	father
came	VBD	come
,	,	,
he	PP	he
would	MD	would
sell	VB	sell
the	DT	the
cows	NNS	cow
,	,	,
he	PP	he
would	MD	would
sell	VB	sell
the	DT	the
products	NNS	product
we	PP	we
had	VBD	have
,	,	,
and	CC	and
he	PP	he
went	VBD	go
and	CC	and
drank	VBD	drink
with	IN	with
his	PP$	his
friends	NNS	friend
in	IN	in
the	DT	the
bars	NNS	bar
.	SENT	.
Because	IN	because
my	PP$	my
mother	NN	mother
was	VBD	be
a	DT	a
woman	NN	woman
,	,	,
she	PP	she
was	VBD	be
not	RB	not
allowed	VBN	allow
to	TO	to
own	VB	own
any	DT	any
property	NN	property
,	,	,
and	CC	and
by	IN	by
default	NN	default
,	,	,
everything	NN	everything
in	IN	in
my	PP$	my
family	NN	family
anyway	RB	anyway
belongs	VBZ	belong
to	TO	to
my	PP$	my
father	NN	father
,	,	,
so	RB	so
he	PP	he
had	VBD	have
the	DT	the
right	NN	right
.	SENT	.
And	CC	and
if	IN	if
my	PP$	my
mother	NN	mother
ever	RB	ever
questioned	VBD	question
him	PP	him
,	,	,
he	PP	he
beat	VBP	beat
her	PP	her
,	,	,
abused	VBD	abuse
her	PP	her
,	,	,
and	CC	and
really	RB	really
it	PP	it
was	VBD	be
difficult	JJ	difficult
.	SENT	.
When	WRB	when
I	PP	I
went	VBD	go
to	TO	to
school	NN	school
,	,	,
I	PP	I
had	VBD	have
a	DT	a
dream	NN	dream
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
become	VB	become
a	DT	a
teacher	NN	teacher
.	SENT	.
Teachers	NNS	teacher
looked	VBD	look
nice	JJ	nice
.	SENT	.
They	PP	they
wear	VBP	wear
nice	JJ	nice
dresses	NNS	dress
,	,	,
high-heeled	JJ	high-heeled
shoes	NNS	shoe
.	SENT	.
I	PP	I
found	VBD	find
out	RP	out
later	RBR	later
that	IN	that
they	PP	they
are	VBP	be
uncomfortable	JJ	uncomfortable
,	,	,
but	CC	but
I	PP	I
admired	VBD	admire
it	PP	it
.	SENT	.
But	CC	but
most	JJS	most
of	IN	of
all	DT	all
,	,	,
the	DT	the
teacher	NN	teacher
was	VBD	be
just	RB	just
writing	VBG	write
on	IN	on
the	DT	the
board	NN	board
—	:	-
not	RB	not
hard	JJ	hard
work	NN	work
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
thought	VBD	think
,	,	,
compared	VBN	compare
to	TO	to
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
in	IN	in
the	DT	the
farm	NN	farm
.	SENT	.
So	RB	so
I	PP	I
wanted	VBD	want
to	TO	to
become	VB	become
a	DT	a
teacher	NN	teacher
.	SENT	.
I	PP	I
worked	VBD	work
hard	RB	hard
in	IN	in
school	NN	school
,	,	,
but	CC	but
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
eighth	JJ	eighth
