Wow	NN	wow
,	,	,
what	WP	what
an	DT	an
honor	NN	honor
.	SENT	.
I	PP	I
always	RB	always
wondered	VBD	wonder
what	WP	what
this	DT	this
would	MD	would
feel	VB	feel
like	IN	like
.	SENT	.
So	RB	so
eight	CD	eight
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
got	VBD	get
the	DT	the
worst	JJS	bad
career	NN	career
advice	NN	advice
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
friend	NN	friend
tell	VB	tell
me	PP	me
,	,	,
"	''	"
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
about	IN	about
how	WRB	how
much	RB	much
you	PP	you
like	VBP	like
the	DT	the
work	VBP	work
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
now	RB	now
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
about	RB	about
just	RB	just
building	VBG	build
your	PP$	your
resume	NN	resume
.	SENT	.
"	``	"
And	CC	and
I	PP	I
'	POS	'
d	NN	d
just	RB	just
come	VBN	come
back	RB	back
from	IN	from
living	VBG	live
in	IN	in
Spain	NP	Spain
for	IN	for
a	DT	a
while	NN	while
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
joined	VBD	join
this	DT	this
Fortune	NP	Fortune
500	CD	@card@
company	NN	company
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
"	``	"
This	DT	this
is	VBZ	be
fantastic	JJ	fantastic
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
have	VB	have
big	JJ	big
impact	NN	impact
on	IN	on
the	DT	the
world	NN	world
.	SENT	.
"	``	"
I	PP	I
had	VBD	have
all	PDT	all
these	DT	these
ideas	NNS	idea
.	SENT	.
And	CC	and
within	IN	within
about	RB	about
two	CD	two
months	NNS	month
,	,	,
I	PP	I
noticed	VBD	notice
at	IN	at
about	RB	about
10am	JJ	<unknown>
every	DT	every
morning	NN	morning
I	PP	I
had	VBD	have
this	DT	this
strange	JJ	strange
urge	NN	urge
to	TO	to
want	VB	want
to	TO	to
slam	VB	slam
my	PP$	my
head	NN	head
through	IN	through
the	DT	the
monitor	NN	monitor
of	IN	of
my	PP$	my
computer	NN	computer
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
anyone	NN	anyone
'	POS	'
s	NN	S
ever	RB	ever
felt	VBD	feel
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
noticed	VBD	notice
pretty	RB	pretty
soon	RB	soon
after	IN	after
that	IN	that
that	DT	that
all	PDT	all
the	DT	the
competitors	NNS	competitor
in	IN	in
our	PP$	our
space	NN	space
had	VBD	have
already	RB	already
automated	VBN	automate
my	PP$	my
job	NN	job
role	NN	role
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
right	RB	right
about	RB	about
when	WRB	when
I	PP	I
got	VBD	get
this	DT	this
sage	NN	sage
advice	NN	advice
to	TO	to
build	VB	build
up	RP	up
my	PP$	my
resume	NN	resume
.	SENT	.
Well	RB	well
,	,	,
as	IN	as
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
two-story	JJ	two-story
window	NN	window
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
jump	VB	jump
out	RP	out
of	IN	of
and	CC	and
change	NN	change
things	NNS	thing
up	RB	up
,	,	,
I	PP	I
read	VBP	read
some	DT	some
altogether	RB	altogether
different	JJ	different
advice	NN	advice
from	IN	from
Warren	NP	Warren
Buffett	NP	Buffett
,	,	,
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Taking	VBG	take
jobs	NNS	job
to	TO	to
build	VB	build
up	RP	up
your	PP$	your
resume	NN	resume
is	VBZ	be
the	DT	the
same	JJ	same
as	IN	as
saving	VBG	save
up	RP	up
sex	NN	sex
for	IN	for
old	JJ	old
age	NN	age
.	SENT	.
"	``	"
And	CC	and
I	PP	I
heard	VBD	hear
that	IN	that
,	,	,
and	CC	and
that	DT	that
was	VBD	be
all	DT	all
I	PP	I
needed	VBD	need
.	SENT	.
Within	IN	within
two	CD	two
weeks	NNS	week
,	,	,
I	PP	I
was	VBD	be
out	RP	out
of	IN	of
there	EX	there
,	,	,
and	CC	and
I	PP	I
left	VBD	leave
with	IN	with
one	CD	one
intention	NN	intention
:	:	:
to	TO	to
find	VB	find
something	NN	something
that	IN	that
I	PP	I
could	MD	could
screw	VB	screw
up	RP	up
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
tough	JJ	tough
it	PP	it
was	VBD	be
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
have	VB	have
some	DT	some
type	NN	type
of	IN	of
impact	NN	impact
.	SENT	.
It	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
what	WP	what
it	PP	it
was	VBD	be
.	SENT	.
And	CC	and
I	PP	I
found	VBD	find
pretty	RB	pretty
quickly	RB	quickly
that	IN	that
I	PP	I
wasn	NNS	<unknown>
'	POS	'
t	NN	t
alone	RB	alone
:	:	:
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
over	IN	over
80	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
people	NNS	people
around	IN	around
don	NN	don
'	POS	'
t	NN	t
enjoy	VBP	enjoy
their	PP$	their
work	NN	work
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
guessing	VBG	guess
this	DT	this
room	NN	room
is	VBZ	be
different	JJ	different
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
average	NN	average
that	IN	that
Deloitte	NP	Deloitte
has	VBZ	have
done	VBN	do
with	IN	with
their	PP$	their
studies	NNS	study
.	SENT	.
So	RB	so
I	PP	I
wanted	VBD	want
to	TO	to
find	VB	find
out	RP	out
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
that	DT	that
sets	VBZ	set
these	DT	these
people	NNS	people
apart	RB	apart
,	,	,
the	DT	the
people	NNS	people
who	WP	who
do	VBP	do
