I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
power	NN	power
of	IN	of
a	DT	a
word	NN	word
:	:	:
jihad	NN	jihad
.	SENT	.
To	TO	to
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
practicing	VBG	practice
Muslims	NNS	Muslim
,	,	,
jihad	NN	jihad
is	VBZ	be
an	DT	an
internal	JJ	internal
struggle	NN	struggle
for	IN	for
the	DT	the
faith	NN	faith
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
struggle	NN	struggle
within	IN	within
,	,	,
a	DT	a
struggle	NN	struggle
against	IN	against
vice	JJ	vice
,	,	,
sin	NN	sin
,	,	,
temptation	NN	temptation
,	,	,
lust	NN	lust
,	,	,
greed	NN	greed
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
struggle	NN	struggle
to	TO	to
try	VB	try
and	CC	and
live	VB	live
a	DT	a
life	NN	life
that	WDT	that
is	VBZ	be
set	VBN	set
by	IN	by
the	DT	the
moral	JJ	moral
codes	NNS	code
written	VBN	write
in	IN	in
the	DT	the
Koran	NN	Koran
.	SENT	.
In	IN	in
that	DT	that
original	JJ	original
idea	NN	idea
,	,	,
the	DT	the
concept	NN	concept
of	IN	of
jihad	NN	jihad
is	VBZ	be
as	RB	as
important	JJ	important
to	TO	to
Muslims	NNS	Muslim
as	IN	as
the	DT	the
idea	NN	idea
of	IN	of
grace	NN	grace
is	VBZ	be
to	TO	to
Christians	NNS	Christian
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
powerful	JJ	powerful
word	NN	word
,	,	,
jihad	NN	jihad
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
in	IN	in
that	DT	that
respect	NN	respect
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
certain	JJ	certain
almost	RB	almost
mystical	JJ	mystical
resonance	NN	resonance
to	TO	to
it	PP	it
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
reason	NN	reason
why	WRB	why
,	,	,
for	IN	for
hundreds	NNS	hundred
of	IN	of
years	NNS	year
,	,	,
Muslims	NNS	Muslim
everywhere	RB	everywhere
have	VBP	have
named	VBN	name
their	PP$	their
children	NNS	child
Jihad	NP	Jihad
,	,	,
their	PP$	their
daughters	NNS	daughter
as	RB	as
much	RB	much
as	IN	as
their	PP$	their
sons	NNS	son
,	,	,
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
that	IN	that
,	,	,
say	VB	say
,	,	,
Christians	NNS	Christian
name	VBP	name
their	PP$	their
daughters	NNS	daughter
Grace	NN	grace
,	,	,
and	CC	and
Hindus	NNS	Hindu
,	,	,
my	PP$	my
people	NNS	people
,	,	,
name	VB	name
our	PP$	our
daughters	NNS	daughter
Bhakti	NN	bhakti
