So	RB	so
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
try	VB	try
to	TO	to
do	VB	do
is	VBZ	be
tell	VB	tell
a	DT	a
quick	JJ	quick
story	NN	story
about	IN	about
a	DT	a
404	CD	@card@
page	NN	page
and	CC	and
a	DT	a
lesson	NN	lesson
that	WDT	that
was	VBD	be
learned	VBN	learn
as	IN	as
a	DT	a
result	NN	result
of	IN	of
it	PP	it
.	SENT	.
But	CC	but
to	TO	to
start	VB	start
it	PP	it
probably	RB	probably
helps	VBZ	help
to	TO	to
have	VB	have
an	DT	an
understanding	NN	understanding
of	IN	of
what	WP	what
a	DT	a
404	CD	@card@
page	NN	page
actually	RB	actually
is	VBZ	be
.	SENT	.
The	DT	the
404	CD	@card@
page	NN	page
is	VBZ	be
that	RB	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
that	IN	that
broken	VBN	break
experience	NN	experience
on	IN	on
the	DT	the
Web	NP	Web
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
effectively	RB	effectively
the	DT	the
default	NN	default
page	NN	page
when	WRB	when
you	PP	you
ask	VBP	ask
a	DT	a
website	NN	website
for	IN	for
something	NN	something
and	CC	and
it	PP	it
can	MD	can
'	''	'
t	NN	t
find	VB	find
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
serves	VBZ	serve
you	PP	you
the	DT	the
404	CD	@card@
page	NN	page
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
inherently	RB	inherently
a	DT	a
feeling	NN	feeling
of	IN	of
being	VBG	be
broken	VBN	break
when	WRB	when
you	PP	you
go	VBP	go
through	IN	through
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
a	DT	a
little	JJ	little
bit	NN	bit
about	RB	about
,	,	,
remember	VBP	remember
for	IN	for
yourself	PP	yourself
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
annoying	VBG	annoy
when	WRB	when
you	PP	you
hit	VBD	hit
this	DT	this
thing	NN	thing
.	SENT	.
Because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
feeling	NN	feeling
of	IN	of
a	DT	a
broken	VBN	break
relationship	NN	relationship
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
also	RB	also
interesting	JJ	interesting
to	TO	to
think	VB	think
about	RB	about
,	,	,
where	WRB	where
does	VBZ	do
404	CD	@card@
come	VBN	come
from	IN	from
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
from	IN	from
a	DT	a
family	NN	family
of	IN	of
errors	NNS	error
actually	RB	actually
—	:	-
a	DT	a
whole	JJ	whole
set	NN	set
of	IN	of
relationship	NN	relationship
errors	NNS	error
,	,	,
which	WDT	which
,	,	,
when	WRB	when
I	PP	I
started	VBD	start
digging	VBG	dig
into	IN	into
them	PP	them
,	,	,
it	PP	it
looks	VBZ	look
almost	RB	almost
like	VB	like
a	DT	a
checklist	NN	checklist
for	IN	for
a	DT	a
sex	NN	sex
therapist	NN	therapist
or	CC	or
a	DT	a
couples	NNS	couple
counselor	NN	counselor
.	SENT	.
You	PP	you
sort	RB	sort
of	IN	of
get	VB	get
down	RP	down
there	RB	there
to	TO	to
the	DT	the
bottom	NN	bottom
and	CC	and
things	NNS	thing
get	VBP	get
really	RB	really
dicey	JJ	dicey
.	SENT	.
Yes	UH	yes
.	SENT	.
But	CC	but
these	DT	these
things	NNS	thing
are	VBP	be
everywhere	RB	everywhere
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
on	IN	on
sites	NNS	site
big	JJ	big
,	,	,
they	PP	they
'	POS	'
re	NN	re
on	IN	on
sites	NNS	site
small	JJ	small
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
global	JJ	global
experience	NN	experience
.	SENT	.
What	WP	what
a	DT	a
404	CD	@card@
page	NN	page
tells	VBZ	tell
you	PP	you
is	VBZ	be
that	IN	that
you	PP	you
fell	VBD	fall
through	IN	through
the	DT	the
cracks	NNS	crack
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
good	JJ	good
experience	NN	experience
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
used	VBD	use
to	TO	to
experiences	NNS	experience
like	IN	like
this	DT	this
.	SENT	.
You	PP	you
can	MD	can
get	VB	get
on	IN	on
your	PP$	your
Kinect	NN	<unknown>
and	CC	and
you	PP	you
can	MD	can
have	VB	have
unicorns	NNS	unicorn
dancing	VBG	dance
and	CC	and
rainbows	NNS	rainbow
spraying	VBG	spray
out	RP	out
of	IN	of
your	PP$	your
mobile	JJ	mobile
phone	NN	phone
.	SENT	.
A	DT	a
404	CD	@card@
page	NN	page
is	VBZ	be
not	RB	not
what	WP	what
