Before before
March march
, ,
2011 @card@
, ,
I i
was be
a a
photographic photographic
retoucher retoucher
based base
in in
New new
York york
City city
. .
We we
' '
re re
pale pale
, ,
gray gray
creatures creature
. .
We we
hide hide
in in
dark dark
, ,
windowless windowless
rooms room
, ,
and and
generally generally
avoid avoid
sunlight sunlight
. .
We we
make make
skinny skinny
models model
skinnier skinny
, ,
perfect perfect
skin skin
more more
perfect perfect
, ,
and and
the the
impossible impossible
possible possible
, ,
and and
we we
get get
criticized criticize
in in
the the
press press
all all
the the
time time
, ,
but but
some some
of of
us us
are be
actually actually
talented talented
artists artist
with with
years year
of of
experience experience
and and
a a
real real
appreciation appreciation
for for
images image
and and
photography photography
. .
On on
March march
11 @card@
, ,
2011 @card@
, ,
I i
watched watch
from from
home home
, ,
as as
the the
rest rest
of of
the the
world world
did do
, ,
as as
the the
tragic tragic
events event
unfolded unfold
in in
Japan japan
. .
Soon soon
after after
, ,
an an
organization organization
I i
volunteer volunteer
with with
, ,
All all
Hands hands
Volunteers volunteer
, ,
were be
on on
the the
ground ground
, ,
within within
days day
, ,
working work
as as
part part
of of
the the
response response
efforts effort
. .
I i
, ,
along along
with with
hundreds hundred
of of
other other
volunteers volunteer
, ,
knew know
we we
couldn couldn
' '
t t
just just
sit sit
at at
home home
, ,
so so
I i
decided decide
to to
join join
them them
for for
three three
weeks week
. .
On on
May may
the the
13th 13th
, ,
I i
made make
my my
way way
to to
the the
town town
of of
��funato ��funato
. .
It it
' '
s s
a a
small small
fishing fishing
town town
in in
Iwate iwate
Prefecture prefecture
, ,
about about
50 @card@
, ,
000 @card@
people people
, ,
one one
of of
the the
first first
that that
was be
hit hit
by by
the the
wave wave
. .
The the
waters water
here here
have have
been be
recorded record
at at
reaching reach
over over
24 @card@
meters meter
in in
height height
, ,
and and
traveled travel
over over
two two
miles mile
inland inland
. .
As as
you you
can can
imagine imagine
, ,
the the
town town
had have
been be
devastated devastate
. .
We we
pulled pull
debris debris
from from
canals canal
and and
ditches ditch
. .
We we
cleaned clean
schools school
. .
We we
de-mudded de-mud
and and
gutted gut
homes home
ready ready
for for
renovation renovation
and and
rehabilitation rehabilitation
. .
We we
cleared clear
tons ton
and and
tons ton
of of
stinking stinking
, ,
rotting rot
fish fish
carcasses carcass
from from
the the
local local
fish fish
processing processing
plant plant
. .
We we
got get
dirty dirty
, ,
and and
we we
loved love
it it
. .
For for
weeks week
, ,
all all
the the
volunteers volunteer
and and
locals local
alike alike
had have
been be
finding find
similar similar
things thing
. .
They they
' '
d d
been be
finding find
photos photo
and and
photo photo
albums album
and and
cameras camera
and and
SD sd
cards card
. .
And and
everyone everyone
was be
doing do
the the
same same
. .
They they
were be
collecting collect
them them
up up
, ,
and and
handing hand
them them
in in
to to
various various
places place
around around
the the
different different
towns town
for for
safekeeping safekeeping
. .
Now now
, ,
it it
wasn wasn
' '
t t
until until
this this
point point
that that
I i
realized realize
that that
these these
photos photo
were be
such such
a a
huge huge
part part
of of
the the
personal personal
loss loss
these these
people people
had have
felt feel
. .
As as
they they
had have
run run
from from
the the
wave wave
, ,
and and
for for
their their
lives life
, ,
absolutely absolutely
everything everything
they they
had have
, ,
everything everything
had have
to to
be be
left leave
behind behind
. .
At at
the the
end end
of of
my my
first first
week week
there there
, ,
I i
found find
myself myself
helping help
out out
in in
an an
evacuation evacuation
center center
in in
the the
town town
. .
I i
was be
helping help
clean clean
the the
onsen onsen
, ,
the the
communal communal
onsen onsen
, ,
the the
huge huge
giant giant
bathtubs bathtub
. .
This this
happened happen
to to
also also
be be
a a
place place
in in
the the
town town
where where
the the
evacuation evacuation
center center
was be
collecting collect
the the
photos photo
. .
This this
is be
where where
people people
were be
handing hand
them them
in in
, ,
and and
I i
was be
honored honor
that that
day day
that that
they they
actually actually
trusted trust
me me
to to
help help
them them
start start
hand-cleaning hand-clean
them them
. .
Now now
, ,
it it
was be
emotional emotional
and and
it it
was be
inspiring inspiring
, ,
and and
I i
' '
ve ve
always always
heard hear
about about
thinking think
outside outside
the the
box box
, ,
but but
it it
wasn wasn
' '
t t
until until
I i
had have
actually actually
gotten get
outside outside
of of
my my
box box
that that
something something
happened happen
. .
As as
I i
looked look
through through
the the
photos photo
, ,
there there
were be
some some
were be
over over
a a
hundred hundred
years year
old old
, ,
some some
still still
in in
the the
envelope envelope
from from
the the
processing processing
lab lab
, ,
I i
couldn couldn
' '
t t
help help
but but
think think
as as
a a
retoucher retoucher
that that
I i
could could
fix fix
that that
tear tear
and and
mend mend
that that
scratch scratch
, ,
and and
I i
knew know
hundreds hundred
of of
people people
who who
could could
do do
the the
same same
. .
So so
that that
evening evening
, ,
I i
just just
reached reach
out out
on on
Facebook facebook
and and
asked ask
a a
few few
of of
them them
, ,
and and
by by
morning morning
the the
response response
had have
been be
so so
overwhelming overwhelming
and and
so so
positive positive
, ,
I i
knew know
we we
had have
to to
give give
it it
a a
go go
. .
So so
we we
started start
retouching retouch
photos photo
. .
This this
was be
the the
very very
first first
. .
Not not
terribly terribly
damaged damage
, ,
but but
where where
the the
water water
had have
caused cause
that that
discoloration discoloration
on on
the the
girl girl
' '
s s
face face
had have
to to
be be
repaired repair
with with
such such
accuracy accuracy
and and
delicacy delicacy
. .
Otherwise otherwise
, ,
that that
little little
girl girl
isn isn
' '
t t
going go
to to
look look
like like
that that
little little
girl girl
anymore anymore
, ,
and and
surely surely
that that
' '
s s
as as
tragic tragic
as as
having have
the the
photo photo
damaged damage
. .
Over over
time time
, ,
more more
photos photo
came come
in in
, ,
thankfully thankfully
, ,
and and
more more
retouchers retoucher
were be
needed need
, ,
and and
so so
I i
reached reach
out out
again again
on on
Facebook facebook
and and
LinkedIn linkedin
, ,
and and
within within
five five
days day
, ,
80 @card@
people people
wanted want
to to
help help
from from
12 @card@
different different
countries country
. .
Within within
two two
weeks week
, ,
I i
had have
150 @card@
people people
wanting want
to to
join join
in in
. .
Within within
Japan japan
, ,
by by
July july
, ,
we we
' '
d d
branched branch
out out
to to
the the
neighboring neighboring
town town
of of
Rikuzentakata rikuzentakata
, ,
further further
north north
to to
a a
town town
called call
Yamada yamada
. .
Once once
a a
week week
, ,
we we
would would
set set
up up
our our
scanning scan
equipment equipment
in in
the the
temporary temporary
photo photo
libraries library
that that
had have
been be
set set
up up
, ,
where where
people people
were be
reclaiming reclaim
their their
photos photo
. .
The the
older old
ladies lady
sometimes sometimes
hadn hadn
' '
t t
seen see
a a
scanner scanner
before before
, ,
but but
within within
10 @card@
minutes minute
of of
them them
finding find
their their
lost lost
photo photo
, ,
they they
could could
give give
it it
to to
us us
, ,
have have
it it
scanned scan
, ,
uploaded upload
to to
a a
cloud cloud
server server
, ,
it it
would would
be be
downloaded download
by by
a a
gaijin gaijin
, ,
a a
stranger stranger
, ,
somewhere somewhere
on on
the the
other other
side side
of of
the the
globe globe
, ,
and and
it it
' '
d d
start start
being be
fixed fix
. .
The the
time time
it it
took take
, ,
however however
, ,
to to
get get
it it
back back
is be
a a
completely completely
different different
story story
, ,
and and
it it
depended depend
obviously obviously
on on
the the
damage damage
involved involve
. .
It it
could could
take take
an an
hour hour
. .
It it
could could
take take
weeks week
. .
It it
could could
take take
months month
. .
The the
kimono kimono
in in
this this
shot shot
pretty pretty
much much
had have
to to
be be
hand-drawn hand-drawn
, ,
or or
pieced piece
together together
, ,
picking pick
out out
the the
remaining remain
parts part
of of
color color
and and
detail detail
that that
the the
water water
hadn hadn
' '
t t
damaged damage
. .
It it
was be
very very
time-consuming time-consuming
. .
Now now
, ,
all all
these these
photos photo
had have
been be
damaged damage
by by
water water
, ,
submerged submerge
in in
salt salt
water water
, ,
covered cover
in in
bacteria bacterium
, ,
in in
sewage sewage
, ,
sometimes sometimes
even even
in in
oil oil
, ,
all all
of of
which which
over over
time time
is be
going go
to to
continue continue
to to
damage damage
them them
, ,
so so
hand-cleaning hand-clean
them them
was be
a a
huge huge
part part
of of
the the
project project
. .
We we
couldn couldn
' '
t t
retouch retouch
the the
photo photo
unless unless
it it
was be
cleaned clean
, ,
dry dry
and and
reclaimed reclaim
. .
Now now
, ,
we we
were be
lucky lucky
with with
our our
hand-cleaning hand-cleaning
. .
We we
had have
an an
amazing amazing
local local
woman woman
who who
guided guide
us us
. .
It it
' '
s s
very very
easy easy
to to
do do
more more
damage damage
to to
those those
damaged damaged
photos photo
. .
As as
my my
team team
leader leader
Wynne wynne
once once
said say
, ,
it it
' '
s s
like like
doing do
a a
tattoo tattoo
on on
someone someone
. .
You you
don don
' '
t t
get get
a a
chance chance
to to
mess mess
it it
up up
. .
The the
lady lady
who who
brought bring
us us
these these
photos photo
was be
lucky lucky
, ,
as as
far far
as as
the the
photos photo
go go
. .
She she
had have
started start
hand-cleaning hand-clean
them them
herself herself
and and
stopped stop
when when
she she
realized realize
she she
was be
doing do
more more
damage damage
. .
She she
also also
had have
duplicates duplicate
. .
Areas area
like like
her her
husband husband
and and
her her
face face
, ,
which which
otherwise otherwise
would would
have have
been be
completely completely
impossible impossible
to to
fix fix
, ,
we we
could could
just just
put put
them them
together together
in in
one one
good good
photo photo
, ,
and and
remake remake
the the
whole whole
photo photo
. .
When when
she she
collected collect
the the
photos photo
from from
us us
, ,
she she
shared share
a a
bit bit
of of
her her
story story
with with
us us
. .
Her her
photos photo
were be
found find
by by
her her
husband husband
' '
s s
colleagues colleague
at at
a a
local local
fire fire
department department
in in
the the
debris debris
a a
long long
way way
from from
where where
the the
home home
had have
once once
stood stand
, ,
and and
they they
' '
d d
recognized recognize
him him
. .
The the
day day
of of
the the
tsunami tsunami
, ,
he he
' '
d d
actually actually
been be
in in
charge charge
of of
making make
sure sure
the the
tsunami tsunami
gates gate
were be
closed close
. .
He he
had have
to to
go go
towards towards
the the
water water
as as
the the
sirens siren
sounded sound
. .
Her her
two two
little little
boys boy
, ,
not not
so so
little little
anymore anymore
, ,
but but
her her
two two
boys boy
were be
both both
at at
school school
, ,
separate separate
schools school
. .
One one
of of
them them
got get
caught catch
up up
in in
the the
water water
. .
It it
took take
her her
a a
week week
to to
find find
them them
all all
again again
and and
find find
out out
that that
they they
had have
all all
survived survive
. .
The the
day day
I i
gave give
her her
the the
photos photo
also also
happened happen
to to
be be
her her
youngest young
son son
' '
s s
14th 14th
birthday birthday
. .
For for
her her
, ,
despite despite
all all
of of
this this
, ,
those those
photos photo
were be
the the
perfect perfect
gift gift
back back
to to
him him
, ,
something something
he he
could could
look look
at at
again again
, ,
something something
he he
remembered remember
from from
before before
that that
wasn wasn
' '
t t
still still
scarred scar
from from
that that
day day
in in
March march
when when
absolutely absolutely
everything everything
else else
in in
his his
life life
had have
changed change
or or
been be
destroyed destroy
. .
After after
six six
months month
in in
Japan japan
, ,
1 @card@
, ,
100 @card@
volunteers volunteer
had have
passed pass
through through
All all
Hands hands
, ,
hundreds hundred
of of
whom whom
had have
helped help
us us
hand-clean hand-clean
over over
135 @card@
, ,
000 @card@
photographs photograph
, ,
the the
large large
majority majority
— -
— -
a a
large large
majority majority
of of
which which
did do
actually actually
find find
their their
home home
again again
, ,
importantly importantly
. .
Over over
five five
hundred hundred
volunteers volunteer
around around
the the
globe globe
helped help
us us
get get
90 @card@
families family
hundreds hundred
of of
photographs photograph
back back
, ,
fully fully
restored restore
and and
retouched retouch
. .
During during
this this
time time
, ,
we we
hadn hadn
' '
t t
really really
spent spend
more more
than than
about about
a a
thousand thousand
dollars dollar
in in
equipment equipment
and and
materials material
, ,
most most
of of
which which
was be
printer printer
inks ink
. .
We we
take take
photos photo
constantly constantly
. .
A a
photo photo
is be
a a
reminder reminder
of of
someone someone
or or
something something
, ,
a a
place place
, ,
a a
relationship relationship
, ,
a a
loved love
one one
. .
They they
' '
re re
our our
memory-keepers memory-keeper
and and
our our
histories history
, ,
the the
last last
thing thing
we we
would would
grab grab
and and
the the
first first
thing thing
you you
' '
d d
go go
back back
to to
look look
for for
. .
That that
' '
s s
all all
this this
project project
was be
about about
, ,
about about
restoring restore
those those
little little
bits bit
of of
humanity humanity
, ,
giving give
someone someone
that that
connection connection
back back
. .
When when
a a
photo photo
like like
this this
can can
be be
returned return
to to
someone someone
like like
this this
, ,
it it
makes make
a a
huge huge
difference difference
in in
the the
lives life
of of
the the
person person
receiving receive
it it
. .
The the
project project
' '
s s
also also
made make
a a
big big
difference difference
in in
the the
lives life
of of
the the
retouchers retoucher
. .
For for
some some
of of
them them
, ,
it it
' '
s s
given give
them them
a a
connection connection
to to
something something
bigger big
, ,
giving give
something something
back back
, ,
using use
their their
talents talent
on on
something something
other other
than than
skinny skinny
models model
and and
perfect perfect
skin skin
. .
I i
would would
like like
to to
conclude conclude
by by
reading read
an an
email email
I i
got get
from from
one one
of of
them them
, ,
Cindy cindy
, ,
the the
day day
I i
finally finally
got get
back back
from from
Japan japan
after after
six six
months month
. .
" "
As as
I i
worked work
, ,
I i
couldn couldn
' '
t t
help help
but but
think think
about about
the the
individuals individual
and and
the the
stories story
represented represent
in in
the the
images image
. .
One one
in in
particular particular
, ,
a a
photo photo
of of
women woman
of of
all all
ages age
, ,
from from
grandmother grandmother
to to
little little
girl girl
, ,
gathered gather
around around
a a
baby baby
, ,
struck strike
a a
chord chord
, ,
because because
a a
similar similar
photo photo
from from
my my
family family
, ,
my my
grandmother grandmother
and and
mother mother
, ,
