Helen helen
Walters walters
: :
Huang huang
, ,
it it
' '
s s
so so
good good
to to
see see
you you
. .
Thank thank
you you
for for
joining join
us us
. .
How how
' '
s s
your your
2020 @card@
been be
? ?
Huang huang
Hung hung
: :
My my
2020 @card@
started start
totally totally
normal normal
. .
In in
January january
, ,
I i
went go
to to
Paris paris
, ,
did do
my my
interview interview
for for
the the
fashion fashion
week week
there there
, ,
came come
back back
to to
Beijing beijing
on on
January january
22nd 22nd
, ,
and and
finding find
things thing
a a
little little
bit bit
tense tense
because because
there there
were be
a a
lot lot
of of
rumors rumor
. .
Having have
lived live
through through
SARS sars
, ,
I i
wasn wasn
' '
t t
that that
concerned concern
. .
And and
on on
the the
23rd 23rd
, ,
I i
had have
a a
friend friend
of of
mine mine
from from
New new
York york
come come
to to
my my
house house
who who
had have
a a
flu flu
, ,
and and
we we
had have
dinner dinner
together together
, ,
and and
another another
friend friend
who who
came come
, ,
who who
left leave
the the
next next
day day
for for
Australia australia
for for
vacation vacation
on on
an an
airplane airplane
. .
So so
we we
were be
not not
taking take
this this
terribly terribly
seriously seriously
until until
there there
was be
a a
lockdown lockdown
. .
HW hw
: :
And and
we we
' '
ve ve
seen see
that that
echo echo
around around
the the
world world
. .
I i
think think
still still
some some
people people
find find
it it
hard hard
to to
understand understand
the the
magnitude magnitude
of of
some some
of of
the the
measures measure
that that
China china
took take
. .
I i
mean mean
-- --
what what
else else
are be
we we
missing miss
about about
China china
' '
s s
response response
in in
all all
of of
this this
? ?
HH hh
: :
You you
know know
, ,
historically historically
, ,
we we
' '
re re
just just
two two
very very
different different
countries country
in in
terms term
of of
culture culture
and and
history history
. .
I i
mean mean
, ,
these these
are be
two two
completely completely
different different
human human
experiences experience
for for
its its
people people
. .
So so
, ,
for for
China china
, ,
when when
the the
lockdown lockdown
happens happen
, ,
people people
are be
OK ok
. .
People people
are be
OK ok
with with
it it
, ,
because because
they they
think think
that that
' '
s s
what what
a a
good good
parent parent
should should
do do
. .
You you
know know
, ,
if if
a a
kid kid
gets get
sick sick
, ,
you you
put put
him him
in in
the the
other other
room room
, ,
and and
you you
lock lock
him him
up up
and and
make make
sure sure
that that
the the
other other
kids kid
don don
' '
t t
get get
sick sick
. .
And and
they they
expect expect
that that
out out
of of
the the
government government
. .
But but
when when
it it
is be
outside outside
of of
China china
, ,
from from
America america
, ,
it it
becomes become
a a
huge huge
issue issue
of of
the the
right right
political political
thing thing
to to
do do
and and
whether whether
it it
' '
s s
infringing infringe
on on
personal personal
freedom freedom
. .
So so
the the
issues issue
that that
you you
have have
to to
deal deal
with with
in in
a a
democratic democratic
society society
are be
issues issue
that that
one one
does do
not not
have have
to to
deal deal
with with
in in
China china
. .
I i
have have
to to
say say
that that
there there
' '
s s
a a
word word
in in
Chinese chinese
that that
doesn doesn
' '
t t
exist exist
in in
any any
other other
language language
, ,
and and
the the
word word
is be
called call
" "
guāi guāi
. .
" "
It it
is be
what what
you you
call call
a a
kid kid
who who
listens listen
to to
his his
or or
her her
parents parent
. .
So so
I i
think think
, ,
as as
a a
people people
, ,
we we
are be
very very
" "
guāi guāi
. .
" "
We we
have have
this this
sort sort
of of
authoritarian authoritarian
figure figure
that that
Chinese chinese
always always
look look
up up
to to
, ,
and and
they they
do do
expect expect
the the
government government
to to
actually actually
take take
the the
actions action
, ,
and and
they they
will will
deal deal
with with
it it
. .
However however
much much
suffering suffering
there there
is be
, ,
they they
feel feel
that that
, ,
OK ok
, ,
if if
big big
brother brother
says say
that that
this this
has have
to to
be be
done do
, ,
then then
it it
must must
be be
done do
. .
And and
that that
really really
defines define
China china
as as
a a
separate separate
mentality mentality
, ,
Chinese chinese
has have
a a
separate separate
mentality mentality
, ,
as as
, ,
say say
, ,
people people
in in
Europe europe
and and
America america
. .
HW hw
: :
That that
sense sense
of of
collective collective
responsibility responsibility
sometimes sometimes
feels feel
a a
little little
absent absent
from from
this this
culture culture
. .
At at
the the
same same
time time
, ,
there there
are be
, ,
I i
think think
, ,
valid valid
concerns concern
around around
surveillance surveillance
and and
data data
privacy privacy
, ,
things thing
like like
that that
. .
What what
is be
the the
balance balance
here here
, ,
and and
what what
is be
the the
right right
trade-off trade-off
between between
surveillance surveillance
and and
freedom freedom
? ?
HH hh
: :
I i
think think
in in
the the
internet internet
age age
, ,
it it
is be
somewhere somewhere
between between
China china
and and
the the
US us
. .
I i
think think
when when
you you
take take
individual individual
freedom freedom
versus versus
collective collective
safety safety
, ,
there there
has have
to to
be be
a a
balance balance
somewhere somewhere
there there
. .
With with
surveillance surveillance
, ,
the the
head head
of of
Baidu baidu
, ,
Robin robin
Li li
, ,
once once
said say
the the
Chinese chinese
people people
are be
quite quite
willing willing
to to
give give
up up
certain certain
individual individual
rights right
in in
exchange exchange
for for
convenience convenience
. .
Actually actually
, ,
he he
was be
completely completely
criticized criticize
on on
Chinese chinese
social social
media medium
, ,
but but
I i
think think
he he
is be
right right
. .
Chinese chinese
people people
are be
willing willing
to to
give give
up up
certain certain
rights right
. .
For for
example example
, ,
we we
have have
. .
. .
. .
Chinese chinese
mostly mostly
are be
very very
proud proud
of of
the the
payment payment
system system
we we
have have
, ,
which which
is be
you you
can can
go go
anywhere anywhere
just just
with with
your your
iPhone iphone
and and
pay pay
for for
everything everything
, ,
and and
all all
they they
do do
is be
face-scan face-scan
. .
I i
think think
that that
probably probably
freaks freak
Americans americans
out out
. .
You you
know know
, ,
China china
right right
now now
, ,
we we
' '
re re
still still
under under
semi-lockdown semi-lockdown
, ,
so so
if if
you you
go go
anywhere anywhere
, ,
there there
' '
s s
an an
app app
where where
you you
scan scan
and and
you you
input input
your your
mobile mobile
phone phone
number number
, ,
and and
the the
app app
will will
tell tell
the the
guard guard
at at
the the
entrance entrance
of of
the the
mall mall
, ,
for for
example example
, ,
where where
you you
have have
been be
for for
the the
past past
14 @card@
days day
. .
Now now
, ,
when when
I i
told tell
that that
to to
an an
American american
, ,
she she
was be
horrified horrify
, ,
and and
she she
thought think
it it
was be
such such
an an
invasion invasion
of of
privacy privacy
. .
On on
the the
other other
hand hand
, ,
as as
someone someone
who who
is be
Chinese chinese
and and
has have
lived live
in in
China china
for for
the the
past past
20 @card@
years year
, ,
although although
I i
understand understand
that that
American american
mentality mentality
, ,
I i
still still
find find
I i
' '
m m
Chinese chinese
enough enough
to to
think think
, ,
" "
I i
don don
' '
t t
mind mind
this this
, ,
and and
I i
am be
better good
, ,
I i
feel feel
safer safe
entering enter
the the
mall mall
because because
everybody everybody
has have
been be
scanned scan
, ,
" "
whereas whereas
, ,
I i
think think
individual individual
freedom freedom
as as
an an
abstract abstract
concept concept
in in
a a
pandemic pandemic
like like
this this
is be
actually actually
really really
meaningless meaningless
. .
So so
I i
think think
the the
West west
really really
needs need
to to
move move
a a
step step
towards towards
the the
East east
and and
to to
think think
about about
the the
collective collective
as as
a a
whole whole
rather rather
than than
only only
think think
about about
oneself oneself
as as
an an
individual individual
. .
HW hw
: :
The the
rise rise
of of
antagonistic antagonistic
rhetoric rhetoric
between between
the the
US us
and and
China china
is be
obviously obviously
troubling troubling
, ,
and and
the the
thing thing
is be
, ,
the the
countries country
are be
interlinked interlink
whether whether
people people
understand understand
global global
supply supply
chains chain
or or
not not
. .
Where where
do do
you you
think think
we we
head head
next next
? ?
HH hh
: :
You you
know know
, ,
this this
is be
the the
most most
horrifying horrify
thing thing
that that
came come
out out
of of
this this
, ,
the the
kind kind
of of
nationalistic nationalistic
sentiments sentiment
on on
both both
sides side
in in
this this
pandemic pandemic
. .
Because because
I i
' '
m m
an an
optimist optimist
, ,
