Hello hello
. .
I i
' '
d d
like like
to to
introduce introduce
you you
to to
a a
word word
you you
may may
never never
have have
heard hear
before before
, ,
but but
you you
ought ought
to to
know know
: :
drawdown drawdown
. .
Drawdown drawdown
is be
a a
new new
way way
of of
thinking think
about about
and and
acting act
on on
global global
warming warming
. .
It it
' '
s s
a a
goal goal
for for
a a
future future
that that
we we
want want
, ,
a a
future future
where where
reversing reverse
global global
warming warming
is be
possible possible
. .
Drawdown drawdown
is be
that that
point point
in in
time time
when when
atmospheric atmospheric
concentrations concentration
of of
greenhouse greenhouse
gases gas
begin begin
to to
decline decline
on on
a a
year-to- year-to-
year year
basis basis
. .
More more
simply simply
, ,
it it
' '
s s
that that
point point
when when
we we
take take
out out
more more
greenhouse greenhouse
gases gas
than than
we we
put put
into into
Earth earth
' '
s s
atmosphere atmosphere
. .
Now now
, ,
I i
know know
we we
' '
re re
all all
concerned concern
about about
climate climate
change change
, ,
but but
climate climate
change change
is be
not not
the the
problem problem
. .
Climate climate
change change
is be
the the
expression expression
of of
the the
problem problem
. .
It it
' '
s s
the the
feedback feedback
of of
the the
system system
of of
the the
planet planet
telling tell
us us
what what
' '
s s
going go
on on
. .
The the
problem problem
is be
global global
warming warming
, ,
provoked provoke
by by
the the
increasing increase
concentrations concentration
of of
greenhouse greenhouse
gases gas
caused cause
by by
human human
activity activity
. .
So so
how how
do do
we we
solve solve
the the
problem problem
? ?
How how
do do
we we
begin begin
the the
process process
of of
reversing reverse
global global
warming warming
? ?
The the
only only
way way
we we
know know
how how
is be
to to
draw draw
down down
, ,
to to
avoid avoid
putting put
greenhouse greenhouse
gases gas
up up
and and
to to
pull pull
down down
what what
' '
s s
already already
there there
. .
I i
know know
. .
Given give
the the
current current
situation situation
, ,
it it
sounds sound
impossible impossible
, ,
but but
humanity humanity
already already
knows know
what what
to to
do do
. .
We we
have have
real real
, ,
workable workable
technologies technology
and and
practices practice
that that
can can
achieve achieve
drawdown drawdown
. .
And and
it it
' '
s s
already already
happening happen
. .
What what
we we
need need
is be
to to
accelerate accelerate
implementation implementation
and and
to to
change change
the the
discourse discourse
from from
one one
of of
fear fear
and and
confusion confusion
, ,
which which
only only
leads lead
to to
apathy apathy
, ,
to to
one one
of of
understanding understanding
and and
possibility possibility
, ,
and and
, ,
therefore therefore
, ,
opportunity opportunity
. .
I i
work work
for for
an an
organization organization
called call
Project project
Drawdown drawdown
. .
And and
for for
the the
last last
four four
years year
, ,
together together
with with
a a
team team
of of
researchers researcher
and and
writers writer
from from
all all
over over
the the
world world
, ,
we we
have have
mapped map
, ,
measured measure
and and
detailed detail
100 @card@
solutions solution
to to
reversing reverse
global global
warming warming
. .
Eighty eighty
already already
exist exist
today today
, ,
and and
when when
taken take
together together
, ,
those those
80 @card@
can can
achieve achieve
drawdown drawdown
. .
And and
20 @card@
are be
coming come
attractions attraction
, ,
solutions solution
on on
the the
pipeline pipeline
, ,
and and
when when
they they
come come
online online
, ,
will will
speed speed
up up
our our
progress progress
. .
These these
are be
solutions solution
that that
are be
viable viable
, ,
scalable scalable
and and
financially financially
feasible feasible
. .
And and
they they
do do
one one
or or
more more
of of
three three
things thing
: :
replace replace
existing exist
fossil fossil
fuel-based fuel-based
energy energy
generation generation
with with
clean clean
, ,
renewable renewable
sources source
; ;
reduce reduce
consumption consumption
through through
technological technological
efficiency efficiency
and and
behavior behavior
change change
; ;
and and
to to
biosequester biosequester
carbon carbon
in in
our our
plants plant
' '
biomass biomass
and and
soil soil
through through
a a
process process
we we
all all
learn learn
in in
grade grade
school school
, ,
the the
magic magic
of of
photosynthesis photosynthesis
. .
It it
' '
s s
through through
a a
combination combination
of of
these these
three three
mechanisms mechanism
that that
drawdown drawdown
becomes become
possible possible
. .
So so
how how
do do
we we
get get
there there
? ?
Well well
, ,
here here
' '
s s
the the
short short
answer answer
. .
This this
is be
a a
list list
of of
the the
top top
20 @card@
solutions solution
to to
reversing reverse
global global
warming warming
. .
Now now
, ,
I i
' '
ll ll
go go
into into
some some
detail detail
, ,
but but
take take
a a
few few
seconds second
to to
look look
over over
the the
list list
. .
It it
' '
s s
eclectic eclectic
, ,
I i
know know
, ,
from from
onshore onshore
wind wind
turbines turbine
to to
educating educate
girls girl
, ,
from from
plant-rich plant-rich
diets diet
to to
rooftop rooftop
