My my
name name
is be
Arvind arvind
Gupta gupta
, ,
and and
I i
' '
m m
a a
toymaker toymaker
. .
I i
' '
ve ve
been be
making make
toys toy
for for
the the
last last
30 @card@
years year
. .
The the
early early
' '
70s 70s
, ,
I i
was be
in in
college college
. .
It it
was be
a a
very very
revolutionary revolutionary
time time
. .
It it
was be
a a
political political
ferment ferment
, ,
so so
to to
say say
â â
students student
out out
in in
the the
streets street
of of
Paris paris
, ,
revolting revolt
against against
authority authority
. .
America america
was be
jolted jolt
by by
the the
anti-Vietnam anti-vietnam
movement movement
, ,
the the
Civil civil
Rights rights
movement movement
. .
In in
India india
, ,
we we
had have
the the
Naxalite naxalite
movement movement
, ,
the the
[ [
unclear unclear
] ]
movement movement
. .
But but
you you
know know
, ,
when when
there there
is be
a a
political political
churning churning
of of
society society
, ,
it it
unleashes unleash
a a
lot lot
of of
energy energy
. .
The the
National national
Movement movement
of of
India india
was be
testimony testimony
to to
that that
. .
Lots lot
of of
people people
resigned resign
from from
well-paid well-paid
jobs job
and and
jumped jump
into into
the the
National national
Movement movement
. .
Now now
in in
the the
early early
' '
70s 70s
, ,
one one
of of
the the
great great
programs program
in in
India india
was be
to to
revitalize revitalize
primary primary
science science
in in
village village
schools school
. .
There there
was be
a a
person person
, ,
Anil anil
Sadgopal sadgopal
, ,
did do
a a
Ph ph
. .
D d
. .
from from
Caltech caltech
and and
returned return
back back
as as
a a
molecular molecular
biologist biologist
in in
India india
' '
s s
cutting-edge cutting-edge
research research
institute institute
, ,
the the
TIFR tifr
. .
At at
31 @card@
, ,
he he
was be
not not
able able
to to
relate relate
the the
kind kind
of of
[ [
unclear unclear
] ]
research research
, ,
which which
he he
was be
doing do
with with
the the
lives life
of of
the the
ordinary ordinary
people people
. .
So so
he he
designed design
and and
went go
and and
started start
a a
village village
science science
program program
. .
Many many
people people
were be
inspired inspire
by by
this this
. .
The the
slogan slogan
of of
the the
early early
' '
70s 70s
was be
" "
Go go
to to
the the
people people
. .
Live live
with with
them them
; ;
love love
them them
. .
Start start
from from
what what
they they
know know
. .
Build build
on on
what what
they they
have have
. .
" "
This this
was be
kind kind
of of
the the
defining define
slogan slogan
. .
Well well
I i
took take
one one
year year
. .
I i
joined join
Telco telco
, ,
made make
TATA tata
trucks truck
, ,
pretty pretty
close close
to to
Pune pune
. .
I i
worked work
there there
for for
two two
years year
, ,
and and
I i
realized realize
that that
I i
was be
not not
born bear
to to
make make
trucks truck
. .
Often often
one one
doesn doesn
' '
t t
know know
what what
one one
wants want
to to
do do
, ,
but but
it it
' '
s s
good good
enough enough
to to
know know
what what
you you
don don
' '
t t
want want
to to
do do
. .
So so
I i
took take
one one
year year
off off
, ,
and and
I i
went go
to to
this this
village village
science science
program program
. .
And and
it it
was be
a a
turning turn
point point
. .
It it
was be
a a
very very
small small
village village
â â
a a
weekly weekly
bazaar bazaar
where where
people people
, ,
just just
once once
in in
a a
week week
, ,
they they
put put
in in
all all
the the
vats vat
. .
So so
I i
said say
, ,
" "
I i
' '
m m
going go
to to
spend spend
a a
year year
over over
here here
. .
" "
So so
I i
just just
bought buy
one one
specimen specimen
of of
everything everything
which which
was be
sold sell
on on
the the
roadside roadside
. .
And and
one one
thing thing
which which
I i
found find
was be
this this
black black
rubber rubber
. .
This this
is be
called call
a a
cycle cycle
valve valve
tube tube
. .
When when
you you
pump pump
in in
air air
in in
a a
bicycle bicycle
, ,
you you
use use
a a
bit bit
of of
this this
. .
And and
some some
of of
these these
models model
â â
so so
you you
take take
a a
bit bit
of of
this this
cycle cycle
valve valve
tube tube
, ,
you you
can can
put put
two two
matchsticks matchstick
inside inside
this this
, ,
and and
you you
make make
a a
flexible flexible
joint joint
. .
It it
' '
s s
a a
joint joint
of of
tubes tube
. .
You you
start start
by by
teaching teaching
angles angle
â â
an an
acute acute
angle angle
, ,
a a
right right
angle angle
, ,
an an
obtuse obtuse
angle angle
, ,
a a
straight straight
angle angle
. .
It it
' '
s s
like like
its its
own own
little little
coupling coupling
. .
If if
you you
have have
three three
of of
them them
, ,
and and
you you
loop loop
them them
together together
, ,
well well
you you
make make
a a
triangle triangle
. .
With with
four four
, ,
you you
make make
a a
square square
, ,
you you
make make
a a
pentagon pentagon
, ,
you you
make make
a a
hexagon hexagon
, ,
you you
make make
all all
these these
kind kind
of of
polygons polygon
. .
And and
they they
have have
some some
wonderful wonderful
properties property
. .
If if
you you
look look
at at
the the
hexagon hexagon
, ,
for for
instance instance
, ,
it it
' '
s s
like like
an an
amoeba amoeba
, ,
which which
is be
constantly constantly
changing change
its its
own own
profile profile
. .
You you
can can
just just
pull pull
this this
out out
, ,
this this
becomes become
a a
rectangle rectangle
. .
You you
give give
it it
a a
push push
, ,
this this
becomes become
a a
parallelogram parallelogram
. .
But but
this this
is be
very very
shaky shaky
. .
Look look
at at
the the
pentagon pentagon
, ,
for for
instance instance
, ,
pull pull
this this
out out
â â
it it
becomes become
a a
boat boat
shape shape
trapezium trapezium
. .
Push push
it it
and and
it it
becomes become
house house
shaped shape
. .
This this
becomes become
an an
isosceles isosceles
triangle triangle
â â
again again
, ,
very very
shaky shaky
. .
This this
square square
might might
look look
very very
square square
and and
prim prim
. .
Give give
it it
a a
little little
push push
â â
this this
becomes become
a a
rhombus rhombus
. .
It it
becomes become
kite-shaped kite-shaped
. .
But but
give give
a a
child child
a a
triangle triangle
, ,
he he
can can
' '
t t
do do
a a
thing thing
to to
it it
. .
Why why
use use
triangles triangle
? ?
Because because
triangles triangle
are be
the the
only only
rigid rigid
structures structure
. .
We we
can can
' '
t t
make make
a a
bridge bridge
with with
squares square
because because
the the
train train
would would
come come
, ,
it it
would would
start start
doing do
a a
jig jig
. .
Ordinary ordinary
people people
know know
about about
this this
because because
if if
you you
go go
to to
a a
village village
in in
India india
, ,
they they
might might
not not
have have
gone go
to to
engineering engineering
college college
, ,
but but
no no
one one
makes make
a a
roof roof
placed place
like like
this this
. .
Because because
if if
they they
put put
tiles tile
on on
top top
, ,
it it
' '
s s
just just
going go
to to
crash crash
. .
They they
always always
make make
a a
triangular triangular
roof roof
. .
Now now
this this
is be
people people
science science
. .
And and
if if
you you
were be
to to
just just
poke poke
a a
hole hole
over over
here here
and and
put put
a a
third third
matchstick matchstick
, ,
you you
' '
ll ll
get get
a a
T t
joint joint
. .
And and
if if
I i
were be
to to
poke poke
all all
the the
three three
legs leg
of of
this this
in in
the the
three three
vertices vertices
of of
this this
triangle triangle
, ,
I i
would would
make make
a a
tetrahedron tetrahedron
. .
So so
you you
make make
all all
these these
3D 3d
shapes shape
. .
You you
make make
a a
tetrahedron tetrahedron
like like
this this
. .
And and
once once
you you
make make
these these
, ,
you you
make make
a a
little little
house house
. .
Put put
this this
on on
top top
. .
You you
can can
make make
a a
joint joint
of of
four four
. .
You you
can can
make make
a a
joint joint
of of
six six
. .
You you
just just
need need
a a
ton ton
. .
Now now
this this
was be
â â
you you
make make
a a
joint joint
of of
six six
, ,
you you
make make
an an
icosahedron icosahedron
. .
You you
can can
play play
around around
with with
it it
. .
This this
makes make
an an
igloo igloo
. .
Now now
this this
is be
in in
1978 @card@
. .
I i
was be
a a
24-year-old 24-year-old
young young
engineer engineer
. .
And and
I i
thought think
this this
was be
so so
much much
better well
than than
making make
trucks truck
. .
If if
you you
, ,
as as
a a
matter matter
of of
fact fact
, ,
put put
four four
marbles marble
inside inside
, ,
you you
simulate simulate
the the
molecular molecular
structure structure
of of
methane methane
, ,
CH4 ch4
. .
Four four
atoms atom
of of
hydrogen hydrogen
, ,
the the
four four
points point
of of
the the
tetrahedron tetrahedron
, ,
which which
means mean
the the
little little
carbon carbon
atom atom
. .
Well well
since since
then then
, ,
I i
just just
thought think
that that
I i
' '
ve ve
been be
really really
privileged privileged
to to
go go
to to
over over
2 @card@
, ,
000 @card@
schools school
in in
my my
country country
â â
village village
schools school
, ,
government government
schools school
, ,
municipal municipal
schools school
, ,
Ivy ivy
League league
schools school
â â
I i
' '
ve ve
been be
invited invite
by by
most most
of of
them them
. .
And and
every every
time time
I i
