Philosophers philosopher
, ,
dramatists dramatist
, ,
theologians theologian
have have
grappled grapple
with with
this this
question question
for for
centuries century
: :
what what
makes make
people people
go go
wrong wrong
? ?
Interestingly interestingly
, ,
I i
asked ask
this this
question question
when when
I i
was be
a a
little little
kid kid
. .
I i
grew grow
up up
in in
the the
South south
Bronx bronx
, ,
inner-city inner-city
ghetto ghetto
in in
New new
York york
, ,
and and
I i
was be
surrounded surround
by by
evil evil
, ,
as as
all all
kids kid
are be
who who
grew grow
up up
in in
an an
inner inner
city city
. .
And and
I i
had have
friends friend
who who
were be
really really
good good
kids kid
, ,
who who
lived live
out out
the the
Dr dr
. .
Jekyll jekyll
Mr mr
. .
Hyde hyde
scenario scenario
— -
Robert robert
Louis louis
Stevenson stevenson
. .
That that
is be
, ,
they they
took take
drugs drug
, ,
got get
in in
trouble trouble
, ,
went go
to to
jail jail
. .
Some some
got get
killed kill
, ,
and and
some some
did do
it it
without without
drug drug
assistance assistance
. .
So so
when when
I i
read read
Robert robert
Louis louis
Stevenson stevenson
, ,
that that
wasn wasn
' '
t t
fiction fiction
. .
The the
only only
question question
is be
, ,
what what
was be
in in
the the
juice juice
? ?
And and
more more
importantly importantly
, ,
that that
line line
between between
good good
and and
evil evil
— -
which which
privileged privileged
people people
like like
to to
think think
is be
fixed fix
and and
impermeable impermeable
, ,
with with
them them
on on
the the
good good
side side
, ,
the the
others other
on on
the the
bad bad
side side
— -
I i
knew know
that that
line line
was be
movable movable
, ,
and and
it it
was be
permeable permeable
. .
Good good
people people
could could
be be
seduced seduce
across across
that that
line line
, ,
and and
under under
good good
and and
some some
rare rare
circumstances circumstance
, ,
bad bad
kids kid
could could
recover recover
with with
help help
, ,
with with
reform reform
, ,
with with
rehabilitation rehabilitation
. .
So so
I i
want want
to to
begin begin
with with
this this
wonderful wonderful
illusion illusion
by by
[ [
Dutch dutch
] ]
artist artist
M m
. .
C c
. .
Escher escher
. .
If if
you you
look look
at at
it it
and and
focus focus
on on
the the
white white
, ,
