Greg greg
Gage gage
: :
If if
I i
asked ask
you you
to to
think think
of of
a a
ferocious ferocious
killer killer
animal animal
, ,
you you
' '
d d
probably probably
think think
of of
a a
lion lion
, ,
and and
for for
all all
the the
wonderful wonderful
predatory predatory
skills skill
that that
a a
lion lion
has have
, ,
it it
still still
only only
has have
about about
a a
20 @card@
percent percent
success success
rate rate
at at
catching catch
a a
meal meal
. .
Now now
, ,
one one
of of
the the
most most
successful successful
hunters hunter
in in
the the
entire entire
animal animal
kingdom kingdom
is be
surprising surprising
: :
the the
dragonfly dragonfly
. .
Now now
, ,
dragonflies dragonfly
are be
killer killer
flies fly
, ,
and and
when when
they they
see see
a a
smaller small
fly fly
, ,
they they
have have
about about
a a
97 @card@
percent percent
chance chance
of of
catching catch
it it
for for
a a
meal meal
. .
And and
this this
is be
in in
mid-flight mid-flight
. .
But but
how how
can can
such such
a a
small small
insect insect
be be
so so
precise precise
? ?
In in
this this
episode episode
, ,
we we
' '
re re
going go
to to
see see
how how
the the
dragonfly dragonfly
' '
s s
brain brain
is be
highly highly
specialized specialize
to to
be be
a a
deadly deadly
killer killer
. .
[ [
DIY diy
Neuroscience neuroscience
] ]
So so
what what
makes make
the the
dragonfly dragonfly
one one
of of
the the
most most
successful successful
predators predator
in in
the the
animal animal
kingdom kingdom
? ?
One one
, ,
it it
' '
s s
the the
eyes eye
. .
It it
has have
near near
360-degree 360-degree
vision vision
. .
Two two
, ,
the the
wings wing
. .
With with
individual individual
control control
of of
its its
wings wing
, ,
the the
dragonfly dragonfly
can can
move move
precisely precisely
in in
any any
direction direction
. .
But but
the the
real real
secret secret
to to
the the
dragonfly dragonfly
' '
s s
success success
is be
how how
its its
brain brain
coordinates coordinate
this this
complex complex
information information
between between
the the
eyes eye
and and
the the
wings wing
and and
turns turn
hunting hunting
into into
a a
simple simple
reflex reflex
. .
To to
study study
this this
, ,
Jaimie jaimie
' '
s s
been be
spending spend
a a
lot lot
of of
time time
socializing socialize
with with
dragonflies dragonfly
. .
What what
do do
you you
need need
to to
do do
your your
experiments experiment
? ?
Jaimie jaimie
Spahr spahr
: :
First first
of of
all all
, ,
you you
need need
dragonflies dragonfly
. .
Oliver oliver
: :
I i
have have
a a
mesh mesh
cage cage
to to
catch catch
the the
dragonflies dragonfly
. .
JS js
: :
The the
more more
I i
worked work
with with
them them
, ,
the the
more more
terrified terrify
I i
got get
of of
them them
. .
They they
' '
re re
actually actually
very very
scary scary
, ,
especially especially
under under
a a
microscope microscope
. .
They they
have have
really really
sharp sharp
mandibles mandible
, ,
are be
generally generally
pretty pretty
aggressive aggressive
, ,
which which
I i
guess guess
also also
helps help
them them
to to
be be
really really
good good
predators predator
. .
GG gg
: :
In in
order order
to to
learn learn
what what
' '
s s
going go
on on
inside inside
the the
dragonfly dragonfly
' '
s s
brain brain
when when
it it
sees see
a a
prey prey
, ,
we we
' '
re re
going go
to to
eavesdrop eavesdrop
in in
on on
a a
conversation conversation
between between
the the
eyes eye
and and
the the
wings wing
, ,
and and
to to
do do
that that
, ,
we we
need need
to to
anesthetize anesthetize
the the
dragonfly dragonfly
on on
ice ice
and and
make make
sure sure
we we
protect protect
its its
wings wing
so so
that that
we we
can can
release release
it it
afterwards afterwards
. .
Now now
, ,
the the
dragonfly dragonfly
' '
s s
brain brain
is be
made make
up up
of of
specialized specialized
cells cell
called call
neurons neuron
and and
these these
neurons neuron
are be
what what
allow allow
the the
dragonfly dragonfly
to to
see see
and and
move move
so so
quickly quickly
. .
The the
individual individual
neurons neuron
form form
circuits circuit
by by
connecting connect
to to
each each
other other
via via
long long
, ,
tiny tiny
threads thread
called call
axons axon
and and
the the
neurons neuron
communicate communicate
over over
these these
axons axon
using use
electricity electricity
. .
In in
the the
dragonfly dragonfly
, ,
we we
' '
re re
going go
to to
place place
little little
metal metal
wires wire
, ,
or or
electrodes electrode
, ,
along along
the the
axon axon
tracks track
, ,
and and
this this
is be
what what
' '
s s
really really
cool cool
. .
In in
the the
dragonfly dragonfly
, ,
there there
' '
s s
only only
16 @card@
neurons neuron
; ;
that that
' '
s s
eight eight
per per
eye eye
that that
tell tell
the the
wings wing
exactly exactly
where where
the the
target target
is be
. .
We we
' '
ve ve
placed place
the the
electrodes electrode
so so
that that
we we
can can
record record
from from
these these
neurons neuron
that that
connect connect
the the
eyes eye
to to
the the
wings wing
. .
Whenever whenever
a a
message message
is be
being be
passed pass
from from
the the
eye eye
to to
the the
wing wing
, ,
our our
electrode electrode
intercepts intercept
that that
conversation conversation
in in
the the
form form
of of
an an
electrical electrical
current current
, ,
and and
it it
amplifies amplify
it it
. .
Now now
, ,
we we
can can
both both
hear hear
it it
and and
see see
it it
in in
the the
form form
of of
a a
spike spike
, ,
which which
we we
also also
call call
an an
action action
potential potential
. .
Now now
let let
' '
s s
listen listen
in in
. .
Right right
now now
, ,
we we
have have
the the
dragonfly dragonfly
flipped flip
upside upside
down down
, ,
so so
he he
' '
s s
looking look
down down
towards towards
the the
ground ground
. .
We we
' '
re re
going go
to to
take take
a a
prey prey
, ,
or or
what what
we we
sometimes sometimes
call call
a a
target target
. .
In in
this this
case case
, ,
the the
target target
' '
s s
going go
to to
be be
a a
fake fake
fly fly
. .
We we
' '
re re
going go
to to
move move
it it
into into
the the
dragonfly dragonfly
' '
s s
sights sight
. .
Oh oh
! !
Oh oh
, ,
look look
at at
that that
. .
Look look
at at
that that
, ,
but but
it it
' '
s s
only only
in in
one one
direction direction
. .
Oh oh
, ,
yes yes
! !
You you
don don
' '
t t
see see
any any
spikes spike
when when
I i
go go
forward forward
, ,
but but
they they
' '
re re
all all
when when
I i
come come
back back
. .
In in
our our
experiments experiment
, ,
we we
were be
able able
to to
see see
that that
the the
neurons neuron
of of
the the
dragonfly dragonfly
fired fire
when when
we we
moved move
the the
target target
in in
one one
direction direction
but but
not not
the the
other other
. .
Now now
, ,
why why
is be
that that
? ?
Remember remember
when when
I i
said say
that that
the the
dragonfly dragonfly
had have
near near
360-degree 360-degree
vision vision
. .
Well well
, ,
there there
' '
s s
a a
section section
of of
the the
eye eye
called call
the the
fovea fovea
and and
this this
is be
the the
part part
that that
has have
the the
sharpest sharp
visual visual
acuity acuity
, ,
and and
you you
can can
think think
of of
it it
as as
its its
crosshairs crosshair
. .
Remember remember
when when
I i
told tell
you you
the the
dragonfly dragonfly
had have
individual individual
precise precise
control control
of of
its its
wings wing
? ?
When when
a a
dragonfly dragonfly
sees see
its its
prey prey
, ,
it it
trains train
its its
crosshairs crosshair
on on
it it
and and
along along
its its
axons axon
it it
sends send
messages message
only only
to to
the the
neurons neuron
that that
control control
the the
parts part
of of
the the
wings wing
that that
are be
needed need
to to
keep keep
that that
dragonfly dragonfly
on on
target target
. .
So so
if if
the the
prey prey
is be
on on
the the
left left
of of
the the
dragonfly dragonfly
, ,
only only
the the
neurons neuron
that that
are be
tugging tug
the the
wings wing
to to
the the
left left
are be
fired fire
. .
And and
if if
the the
prey prey
moves move
to to
the the
right right
of of
the the
dragonfly dragonfly
, ,
those those
same same
neurons neuron
are be
not not
needed need
, ,
so so
they they
' '
re re
going go
to to
remain remain
quiet quiet
. .
And and
the the
dragonfly dragonfly
speeds speed
toward toward
the the
prey prey
at at
a a
fixed fix
angle angle
that that
' '
s s
communicated communicate
by by
this this
crosshairs crosshair
to to
the the
wings wing
, ,
and and
then then
boom boom
, ,
dinner dinner
. .
Now now
, ,
all all
this this
happens happen
in in
a a
split split
second second
, ,
and and
it it
' '
s s
effortless effortless
for for
the the
dragonfly dragonfly
. .
It it
' '
s s
almost almost
like like
a a
reflex reflex
. .
And and
this this
whole whole
incredibly incredibly
efficient efficient
process process
is be
called call
