These these
bees bee
are be
in in
my my
backyard backyard
in in
Berkeley berkeley
, ,
California california
. .
Until until
last last
year year
, ,
I i
' '
d d
never never
kept keep
bees bee
before before
, ,
but but
National national
Geographic geographic
asked ask
me me
to to
photograph photograph
a a
story story
about about
them them
, ,
and and
I i
decided decide
, ,
to to
be be
able able
to to
take take
compelling compelling
images image
, ,
I i
should should
start start
keeping keep
bees bee
myself myself
. .
And and
as as
you you
may may
know know
, ,
bees bee
pollinate pollinate
one one
third third
of of
our our
food food
crops crop
, ,
and and
lately lately
they they
' '
ve ve
been be
having have
a a
really really
hard hard
time time
. .
So so
as as
a a
photographer photographer
, ,
I i
wanted want
to to
explore explore
what what
this this
problem problem
really really
looks look
like like
. .
So so
I i
' '
m m
going go
to to
show show
you you
what what
I i
found find
over over
the the
last last
year year
. .
This this
furry furry
little little
creature creature
is be
a a
fresh fresh
young young
bee bee
halfway halfway
emerged emerge
from from
its its
brood brood
cell cell
, ,
and and
bees bee
right right
now now
are be
dealing deal
with with
several several
different different
problems problem
, ,
including include
pesticides pesticide
, ,
diseases disease
, ,
and and
habitat habitat
loss loss
, ,
but but
the the
single single
greatest great
threat threat
is be
a a
parasitic parasitic
mite mite
from from
Asia asia
, ,
Varroa varroa
destructor destructor
. .
And and
this this
pinhead-sized pinhead-sized
mite mite
crawls crawl
onto onto
young young
bees bee
and and
sucks suck
their their
blood blood
. .
This this
eventually eventually
destroys destroy
a a
hive hive
because because
it it
weakens weaken
the the
immune immune
system system
of of
the the
bees bee
, ,
and and
it it
makes make
them them
more more
vulnerable vulnerable
to to
stress stress
and and
disease disease
. .
Now now
, ,
bees bee
are be
the the
most most
sensitive sensitive
when when
they they
' '
re re
developing develop
inside inside
their their
brood brood
cells cell
, ,
and and
I i
wanted want
to to
know know
what what
that that
process process
really really
looks look
like like
, ,
so so
I i
teamed team
up up
with with
a a
bee bee
lab lab
at at
U u
. .
C c
. .
Davis davis
and and
figured figure
out out
how how
to to
raise raise
bees bee
in in
front front
of of
a a
camera camera
. .
I i
' '
m m
going go
to to
show show
you you
the the
first first
21 @card@
days day
of of
a a
bee bee
' '
s s
life life
condensed condense
into into
60 @card@
seconds second
. .
This this
is be
a a
bee bee
egg egg
as as
it it
hatches hatch
into into
a a
larva larva
, ,
and and
those those
newly newly
hatched hatch
larvae larva
swim swim
around around
their their
cells cell
feeding feed
on on
this this
white white
goo goo
that that
nurse nurse
bees bee
secrete secrete
for for
them them
. .
Then then
, ,
their their
head head
and and
their their
legs leg
slowly slowly
differentiate differentiate
as as
they they
transform transform
into into
pupae pupa
. .
Here here
' '
s s
that that
same same
pupation pupation
process process
, ,
and and
you you
can can
actually actually
see see
the the
mites mite
running run
around around
in in
the the
cells cell
. .
Then then
the the
tissue tissue
in in
their their
body body
reorganizes reorganize
and and
the the
pigment pigment
slowly slowly
develops develop
in in
their their
eyes eye
. .
The the
last last
step step
of of
the the
process process
is be
their their
skin skin
shrivels shrivel
up up
and and
they they
sprout sprout
hair hair
. .
So so
— -
As as
you you
can can
see see
halfway halfway
through through
that that
video video
, ,
the the
mites mite
were be
running run
around around
on on
the the
baby baby
bees bee
, ,
and and
the the
way way
that that
beekeepers beekeeper
typically typically
manage manage
these these
mites mite
is be
they they
treat treat
their their
hives hive
with with
chemicals chemical
. .
In in
the the
long long
run run
, ,
that that
' '
s s
bad bad
news news
, ,
so so
researchers researcher
are be
working work
on on
finding find
alternatives alternative
to to
control control
these these
mites mite
. .
This this
is be
one one
of of
those those
alternatives alternative
. .
It it
' '
s s
an an
experimental experimental
breeding breeding
program program
at at
the the
USDA usda
Bee bee
Lab lab
in in
Baton baton
Rouge rouge
, ,
and and
this this
queen queen
and and
her her
attendant attendant
bees bee
are be
part part
of of
that that
program program
. .
Now now
, ,
the the
researchers researcher
figured figure
out out
that that
some some
of of
the the
bees bee
have have
a a
natural natural
ability ability
to to
fight fight
mites mite
, ,
so so
they they
set set
out out
to to
breed breed
a a
line line
of of
mite-resistant mite-resistant
bees bee
. .
This this
is be
what what
it it
takes take
to to
breed breed
bees bee
in in
a a
lab lab
. .
The the
virgin virgin
queen queen
is be
sedated sedate
and and
then then
artificially artificially
inseminated inseminate
using use
this this
precision precision
instrument instrument
. .
Now now
, ,
this this
procedure procedure
allows allow
the the
researchers researcher
to to
control control
exactly exactly
which which
bees bee
are be
being be
crossed cross
, ,
but but
there there
' '
s s
a a
tradeoff tradeoff
in in
having have
this this
much much
control control
. .
They they
succeeded succeed
in in
breeding breed
mite-resistant mite-resistant
bees bee
, ,
but but
in in
that that
process process
, ,
those those
bees bee
started start
to to
lose lose
traits trait
like like
their their
gentleness gentleness
and and
their their
ability ability
to to
store store
honey honey
, ,
so so
to to
overcome overcome
that that
problem problem
, ,
these these
researchers researcher
are be
now now
collaborating collaborate
with with
commercial commercial
beekeepers beekeeper
. .
This this
is be
Bret bret
Adee adee
opening open
one one
of of
his his
72 @card@
, ,
000 @card@
beehives beehive
. .
He he
and and
his his
brother brother
run run
the the
largest large
beekeeping beekeeping
operation operation
in in
the the
world world
, ,
and and
the the
USDA usda
is be
integrating integrate
their their
mite-resistant mite-resistant
bees bee
into into
his his
operation operation
with with
the the
hope hope
that that
over over
time time
, ,
they they
' '
ll ll
be be
able able
to to
select select
the the
bees bee
that that
are be
not not
only only
mite-resistant mite-resistant
but but
also also
retain retain
all all
of of
these these
qualities quality
that that
make make
them them
useful useful
to to
us us
. .
And and
to to
say say
it it
like like
that that
makes make
it it
sound sound
like like
we we
' '
re re
manipulating manipulate
and and
exploiting exploit
bees bee
, ,
and and
the the
truth truth
is be
, ,
we we
' '
ve ve
been be
doing do
that that
for for
thousands thousand
of of
years year
. .
We we
took take
this this
wild wild
creature creature
and and
put put
it it
inside inside
of of
a a
box box
, ,
practically practically
domesticating domesticate
it it
, ,
and and
originally originally
that that
was be
so so
that that
we we
could could
harvest harvest
their their
honey honey
, ,
but but
over over
time time
we we
started start
losing lose
our our
native native
pollinators pollinator
, ,
our our
wild wild
pollinators pollinator
, ,
and and
there there
are be
many many
places place
now now
where where
those those
wild wild
pollinators pollinator
can can
no no
longer longer
meet meet
the the
pollination pollination
demands demand
of of
our our
agriculture agriculture
, ,
so so
these these
managed managed
bees bee
have have
become become
an an
integral integral
part part
of of
our our
food food
system system
. .
So so
when when
people people
talk talk
about about
saving save
bees bee
, ,
my my
interpretation interpretation
of of
that that
is be
we we
need need
to to
save save
our our
relationship relationship
to to
bees bee
, ,
and and
in in
order order
to to
design design
new new
solutions solution
, ,
we we
have have
to to
understand understand
the the
basic basic
biology biology
of of
bees bee
and and
understand understand
the the
effects effect
of of
stressors stressors
that that
we we
sometimes sometimes
cannot can
see see
. .
In in
other other
words word
, ,
we we
have have
to to
understand understand
bees bee
up up
close close
. .
Thank thank
you you
. .
