Twelve twelve
years year
ago ago
, ,
I i
picked pick
up up
a a
camera camera
for for
the the
first first
time time
to to
film film
the the
olive olive
harvest harvest
in in
a a
Palestinian palestinian
village village
in in
the the
West west
Bank bank
. .
I i
thought think
I i
was be
there there
to to
make make
a a
single single
documentary documentary
and and
would would
then then
move move
on on
to to
some some
other other
part part
of of
the the
world world
. .
But but
something something
kept keep
bringing bring
me me
back back
. .
Now now
, ,
usually usually
, ,
when when
international international
audiences audience
hear hear
about about
that that
part part
of of
the the
world world
, ,
they they
often often
just just
want want
that that
conflict conflict
to to
go go
away away
. .
The the
Israeli-Palestinian israeli-palestinian
conflict conflict
is be
bad bad
, ,
and and
we we
wish wish
it it
could could
just just
disappear disappear
. .
We we
feel feel
much much
the the
same same
way way
about about
other other
conflicts conflict
around around
the the
world world
. .
But but
every every
time time
we we
turn turn
our our
attention attention
to to
the the
news news
, ,
it it
seems seem
like like
one one
more more
country country
has have
gone go
up up
in in
flames flame
. .
So so
I i
' '
ve ve
been be
wondering wonder
whether whether
we we
should should
not not
start start
looking look
at at
conflict conflict
in in
a a
different different
way way
— -
whether whether
instead instead
of of
simply simply
wishing wish
to to
end end
conflict conflict
, ,
we we
focus focus
instead instead
on on
how how
to to
wage wage
conflict conflict
. .
This this
has have
been be
a a
big big
question question
for for
me me
, ,
one one
I i
' '
ve ve
pursued pursue
together together
with with
my my
team team
at at
the the
nonprofit nonprofit
Just just
Vision vision
. .
After after
witnessing witness
several several
different different
kinds kind
of of
struggles struggle
in in
the the
Middle middle
East east
, ,
I i
started start
noticing notice
some some
patterns pattern
on on
the the
more more
successful successful
ones one
. .
I i
wondered wonder
whether whether
these these
variables variable
held hold
across across
cases case
, ,
and and
if if
they they
did do
, ,
what what
lessons lesson
we we
could could
glean glean
for for
waging wage
constructive constructive
conflict conflict
, ,
in in
Palestine palestine
, ,
Israel israel
and and
elsewhere elsewhere
. .
There there
is be
some some
science science
about about
this this
. .
In in
a a
study study
of of
323 @card@
major major
political political
conflicts conflict
from from
1900 @card@
to to
2006 @card@
, ,
Maria maria
Stephan stephan
and and
Erica erica
Chenoweth chenoweth
found find
that that
nonviolent nonviolent
campaigns campaign
were be
almost almost
100 @card@
percent percent
more more
likely likely
to to
lead lead
to to
success success
than than
violent violent
campaigns campaign
. .
Nonviolent nonviolent
campaigns campaign
are be
also also
less less
likely likely
to to
cause cause
physical physical
harm harm
to to
those those
waging wage
the the
campaign campaign
, ,
as as
well well
as as
their their
opponents opponent
. .
And and
, ,
critically critically
, ,
they they
typically typically
lead lead
to to
more more
peaceful peaceful
and and
democratic democratic
societies society
. .
In in
other other
words word
, ,
nonviolent nonviolent
resistance resistance
is be
a a
more more
effective effective
and and
constructive constructive
way way
of of
waging wage
conflict conflict
. .
But but
if if
that that
' '
s s
such such
an an
easy easy
choice choice
, ,
why why
don don
' '
t t
more more
groups group
use use
it it
? ?
Political political
scientist scientist
Victor victor
Asal asal
and and
colleagues colleague
have have
looked look
at at
several several
factors factor
that that
shape shape
a a
political political
group group
' '
s s
choice choice
of of
tactics tactic
. .
And and
it it
turns turn
out out
that that
the the
greatest great
predictor predictor
of of
a a
movement movement
' '
s s
decision decision
to to
adopt adopt
