Well well
, ,
first first
of of
all all
, ,
let let
me me
thank thank
Emeka emeka
â â
as as
a a
matter matter
of of
fact fact
, ,
TED ted
Global global
â â
for for
putting put
this this
conference conference
together together
. .
This this
conference conference
is be
going go
to to
rank rank
as as
the the
most most
important important
in in
the the
beginning beginning
of of
the the
21st 21st
century century
. .
Think think
African african
governments government
will will
put put
together together
a a
conference conference
like like
this this
? ?
You you
think think
the the
A a
. .
U u
. .
will will
put put
together together
a a
conference conference
like like
this this
? ?
Even even
before before
they they
do do
that that
they they
will will
ask ask
for for
foreign foreign
aid aid
. .
I i
would would
also also
like like
to to
pay pay
homage homage
and and
honor honor
to to
the the
TED ted
Fellows fellows
June june
Arunga arunga
, ,
James james
Shikwati shikwati
, ,
Andrew andrew
, ,
and and
the the
other other
TED ted
Fellows fellows
. .
I i
call call
them them
the the
Cheetah cheetah
Generation generation
. .
The the
Cheetah cheetah
Generation generation
is be
a a
new new
breed breed
of of
Africans african
who who
brook brook
no no
nonsense nonsense
about about
corruption corruption
. .
They they
understand understand
what what
accountability accountability
and and
democracy democracy
is be
. .
They they
' '
re re
not not
going go
to to
wait wait
for for
government government
to to
do do
things thing
for for
them them
. .
That that
' '
s s
the the
Cheetah cheetah
Generation generation
, ,
and and
Africa africa
' '
s s
salvation salvation
rests rest
on on
the the
backs back
of of
these these
Cheetahs cheetah
. .
In in
contrast contrast
, ,
of of
course course
, ,
we we
have have
the the
Hippo hippo
Generation generation
. .
The the
Hippo hippo
Generation generation
are be
the the
ruling ruling
elites elite
. .
They they
are be
stuck stick
in in
their their
intellectual intellectual
patch patch
. .
Complaining complain
about about
colonialism colonialism
and and
imperialism imperialism
, ,
they they
wouldn wouldn
' '
t t
move move
one one
foot foot
. .
If if
you you
ask ask
them them
to to
reform reform
the the
economies economy
, ,
they they
' '
re re
not not
going go
to to
reform reform
it it
because because
they they
benefit benefit
from from
the the
rotten rotten
status status
quo quo
. .
Now now
, ,
there there
are be
a a
lot lot
of of
Africans african
who who
are be
very very
angry angry
, ,
angry angry
at at
the the
condition condition
of of
Africa africa
. .
Now now
, ,
we we
' '
re re
talking talk
about about
a a
continent continent
that that
is be
not not
poor poor
. .
It it
is be
rich rich
in in
mineral mineral
resources resource
, ,
natural natural
mineral mineral
resources resource
. .
But but
the the
mineral mineral
wealth wealth
of of
Africa africa
is be
not not
being be
utilized utilize
to to
lift lift
its its
people people
out out
of of
poverty poverty
. .
That that
' '
s s
what what
makes make
a a
lot lot
of of
Africans african
very very
angry angry
. .
And and
in in
a a
way way
, ,
Africa africa
is be
more more
than than
a a
tragedy tragedy
, ,
in in
more more
ways way
than than
one one
. .
There there
' '
s s
another another
enduring enduring
tragedy tragedy
, ,
and and
that that
tragedy tragedy
is be
that that
there there
are be
so so
many many
people people
, ,
so so
many many
governments government
, ,
so so
many many
organizations organization
who who
want want
to to
help help
the the
people people
in in
Africa africa
. .
They they
don don
' '
t t
understand understand
. .
Now now
, ,
we we
' '
re re
not not
saying say
don don
' '
t t
help help
Africa africa
. .
Helping help
Africa africa
is be
noble noble
. .
But but
helping help
Africa africa
has have
been be
turned turn
into into
a a
theater theater
of of
the the
absurd absurd
. .
It it
' '
s s
like like
the the
blind blind
leading lead
the the
clueless clueless
. .
There there
are be
certain certain
things thing
that that
we we
need need
to to
recognize recognize
. .
Africa africa
' '
s s
begging-bowl begging-bowl
leaks leak
. .
Did do
you you
know know
that that
40 @card@
percent percent
of of
the the
wealth wealth
created create
in in
Africa africa
is be
not not
invested invest
here here
in in
Africa africa
? ?
It it
' '
s s
taken take
out out
of of
Africa africa
. .
That that
' '
s s
what what
the the
World world
Bank bank
says say
. .
Look look
at at
Africa africa
' '
s s
begging-bowl begging-bowl
. .
It it
leaks leak
horribly horribly
. .
There there
are be
people people
who who
think think
that that
we we
should should
pour pour
more more
money money
, ,
more more
aid aid
into into
this this
bowl bowl
which which
leaks leak
. .
What what
are be
the the
leakages leakage
? ?
Corruption corruption
alone alone
costs cost
Africa africa
148 @card@
billion billion
dollars dollar
a a
year year
. .
Yes yes
, ,
put put
that that
aside aside
. .
Capital capital
flight flight
out out
of of
Africa africa
, ,
80 @card@
billion billion
a a
year year
. .
Put put
that that
aside aside
. .
Let let
' '
s s
take take
food food
imports import
. .
Every every
year year
Africa africa
spends spend
20 @card@
billion billion
dollars dollar
to to
import import
food food
. .
Just just
add add
that that
up up
, ,
all all
these these
leakages leakage
. .
That that
' '
s s
far far
more more
than than
the the
50 @card@
billion billion
Tony tony
Blair blair
wants want
to to
raise raise
for for
Africa africa
. .
Now now
, ,
back back
in in
the the
1960s 1960s
Africa africa
not not
only only
fed feed
itself itself
, ,
it it
also also
exported export
food food
. .
Not not
anymore anymore
. .
We we
know know
that that
something something
has have
gone go
fundamentally fundamentally
wrong wrong
. .
You you
know know
it it
, ,
I i
know know
it it
, ,
but but
let let
' '
s s
not not
waste waste
our our
time time
talking talk
about about
these these
mistakes mistake
because because
we we
' '
ll ll
spend spend
all all
day day
here here
. .
Let let
' '
s s
move move
on on
, ,
and and
flip flip
over over
to to
the the
next next
chapter chapter
, ,
and and
that that
' '
s s
what what
this this
conference conference
is be
all all
about about
â â
the the
next next
chapter chapter
. .
The the
next next
chapter chapter
begins begin
with with
first first
of of
all all
, ,
asking ask
ourselves ourselves
this this
fundamental fundamental
question question
, ,
" "
Whom whom
do do
we we
want want
to to
help help
in in
Africa africa
? ?
" "
There there
is be
the the
people people
, ,
and and
then then
there there
is be
the the
government government
or or
leaders leader
. .
Now now
, ,
the the
previous previous
speaker speaker
before before
me me
, ,
Idris idris
Mohammed mohammed
, ,
indicated indicate
that that
we we
' '
ve ve
had have
abysmal abysmal
leadership leadership
in in
Africa africa
. .
That that
characterization characterization
, ,
in in
my my
view view
, ,
is be
even even
more more
charitable charitable
. .
I i
belong belong
to to
an an
Internet internet
discussion discussion
forum forum
, ,
an an
African african
Internet internet
discussion discussion
forum forum
, ,
and and
I i
asked ask
them them
, ,
I i
said say
, ,
" "
Since since
1960 @card@
, ,
we we
' '
ve ve
had have
exactly exactly
204 @card@
African african
heads head
of of
state state
, ,
since since
1960 @card@
. .
" "
And and
I i
asked ask
them them
to to
name name
me me
just just
20 @card@
good good
leaders leader
, ,
just just
20 @card@
good good
leaders leader
â â
you you
may may
want want
to to
take take
this this
leadership leadership
challenge challenge
yourself yourself
. .
I i
asked ask
them them
to to
name name
me me
just just
20 @card@
. .
Everybody everybody
mentioned mention
Nelson nelson
Mandela mandela
, ,
of of
course course
. .
Kwame kwame
Nkrumah nkrumah
, ,
Nyerere nyerere
, ,
Kenyatta kenyatta
â â
somebody somebody
mentioned mention
Idi idi
Amin amin
. .
I i
let let
that that
pass pass
. .
My my
point point
is be
, ,
they they
couldn couldn
' '
t t
go go
beyond beyond
15 @card@
. .
Even even
if if
they they
had have
been be
able able
to to
name name
me me
20 @card@
, ,
what what
does do
that that
tell tell
you you
? ?
20 @card@
out out
of of
204 @card@
means mean
that that
the the
vast vast
majority majority
of of
the the
African african
leaders leader
failed fail
their their
people people
. .
And and
if if
you you
look look
at at
them them
, ,
the the
slate slate
of of
the the
post-colonial post-colonial
leaders leader
â â
an an
assortment assortment
of of
military military
fufu fufu
heads head
, ,
Swiss-bank swiss-bank
socialists socialist
, ,
crocodile crocodile
liberators liberator
, ,
vampire vampire
elites elite
, ,
quack quack
revolutionaries revolutionary
. .
Now now
, ,
this this
leadership leadership
is be
a a
far far
cry cry
from from
the the
traditional traditional
leaders leader
that that
Africans african
have have
known know
for for
centuries century
. .
The the
second second
false false
premise premise
that that
we we
make make
when when
we we
' '
re re
trying try
to to
help help
Africa africa
is be
that that
sometimes sometimes
we we
think think
that that
there there
is be
something something
called call
a a
government government
in in
Africa africa
that that
cares care
about about
its its
people people
, ,
serves serve
the the
interests interest
of of
the the
people people
, ,
and and
represents represent
the the
people people
. .
There there
is be
one one
particular particular
quote quote
â â
a a
Lesotho lesotho
chief chief
once once
said say
that that
" "
Here here
in in
Lesotho lesotho
, ,
we we
' '
ve ve
got get
two two
problems problem
: :
rats rat
and and
the the
government government
. .
" "
What what
you you
and and
I i
understand understand
as as
a a
government government
doesn doesn
' '
t t
exist exist
in in
many many
African african
countries country
. .
In in
fact fact
, ,
what what
we we
call call
our our
governments government
are be
vampire vampire
states state
. .
Vampires vampire
because because
they they
suck suck
the the
economic economic
vitality vitality
out out
of of
their their
people people
. .
Government government
is be
the the
problem problem
in in
Africa africa
. .
A a
vampire vampire
state state
is be
the the
government government
â â
â â
which which
has have
been be
hijacked hijack
by by
a a
phalanx phalanx
of of
bandits bandit
and and
crooks crook
who who
use use
the the
instruments instrument
of of
state state
power power
to to
enrich enrich
themselves themselves
, ,
their their
cronies crony
, ,
and and
tribesmen tribesman
and and
exclude exclude
everybody everybody
else else
. .
The the
richest rich
people people
in in
Africa africa
are be
heads-of-state heads-of-state
and and
ministers minister
, ,
and and
quite quite
often often
the the
chief chief
bandit bandit
is be
the the
head-of-state head-of-state
himself himself
. .
Where where
do do
they they
get get
their their
money money
? ?
By by
creating create
wealth wealth
? ?
No no
. .
By by
raking rake
it it
off off
the the
backs back
of of
their their
suffering suffering
people people
. .
That that
' '
s s
not not
wealth wealth
creation creation
. .
It it
' '
s s
wealth wealth
redistribution redistribution
. .
The the
third third
fundamental fundamental
issue issue
that that
we we
have have
to to
recognize recognize
is be
that that
if if
we we
want want
to to
help help
the the
African african
people people
, ,
we we
must must
know know
where where
the the
African african
people people
are be
. .
Take take
any any
African african
economy economy
. .
An an
African african
economy economy
can can
be be
broken break
up up
into into
three three
sectors sector
. .
There there
is be
the the
modern modern
sector sector
, ,
there there
is be
the the
informal informal
sector sector
and and
the the
traditional traditional
sector sector
. .
The the
modern modern
sector sector
is be
the the
abode abode
of of
the the
elites elite
. .
It it
' '
s s
the the
seat seat
of of
government government
. .
In in
many many
African african
countries country
the the
modern modern
sector sector
is be
lost lose
. .
It it
' '
s s
dysfunctional dysfunctional
. .
It it
is be
a a
meretricious meretricious
fandango fandango
of of
imported import
systems system
, ,
which which
the the
elites elite
themselves themselves
don don
' '
t t
understand understand
. .
That that
is be
the the
source source
of of
many many
of of
Africa africa
' '
s s
problems problem
where where
the the
struggles struggle
for for
political political
power power
emanate emanate
and and
then then
spill spill
over over
onto onto
the the
informal informal
and and
the the
traditional traditional
sector sector
, ,
claiming claim
innocent innocent
lives life
. .
Now now
the the
modern modern
sector sector
, ,
of of
course course
, ,
is be
where where
a a
lot lot
of of
the the
development development
aid aid
and and
resources resource
went go
into into
. .
More more
than than
80 @card@
percent percent
of of
Ivory ivory
Coast coast
' '
s s
development development
went go
into into
the the
modern modern
sector sector
. .
The the
other other
sectors sector
, ,
the the
informal informal
and and
the the
traditional traditional
sectors sector
, ,
are be
where where
you you
find find
the the
majority majority
of of
the the
African african
people people
, ,
the the
real real
people people
in in
Africa africa
. .
That that
' '
s s
where where
you you
find find
them them
. .
Now now
, ,
obviously obviously
it it
makes make
common common
sense sense
that that
if if
you you
want want
to to
help help
the the
people people
, ,
you you
go go
where where
the the
people people
are be
. .
But but
that that
' '
s s
not not
what what
we we
did do
. .
As as
a a
matter matter
of of
fact fact
