Thousands thousand
of of
years year
from from
now now
, ,
we we
' '
ll ll
look look
back back
at at
the the
first first
century century
of of
computing computing
as as
a a
fascinating fascinating
but but
very very
peculiar peculiar
time time
â â
the the
only only
time time
in in
history history
where where
humans human
were be
reduced reduce
to to
live live
in in
2D 2d
space space
, ,
interacting interact
with with
technology technology
as as
if if
we we
were be
machines machine
; ;
a a
singular singular
, ,
100-year 100-year
period period
in in
the the
vastness vastness
of of
time time
where where
humans human
communicated communicate
, ,
were be
entertained entertain
and and
managed manage
their their
lives life
from from
behind behind
a a
screen screen
. .
Today today
, ,
we we
spend spend
most most
of of
our our
time time
tapping tap
and and
looking look
at at
screens screen
. .
What what
happened happen
to to
interacting interact
with with
each each
other other
? ?
I i
don don
' '
t t
know know
about about
you you
, ,
but but
I i
feel feel
limited limit
inside inside
this this
2D 2d
world world
of of
monitors monitor
and and
pixels pixel
. .
And and
it it
is be
this this
very very
limitation limitation
and and
my my
desire desire
to to
connect connect
with with
people people
that that
inspires inspire
me me
as as
a a
creator creator
. .
Put put
simply simply
: :
I i
want want
to to
create create
a a
new new
reality reality
, ,
a a
reality reality
where where
technology technology
brings bring
us us
infinitely infinitely
closer closer
to to
each each
other other
, ,
a a
reality reality
where where
people people
, ,
not not
devices device
, ,
are be
the the
center center
of of
everything everything
. .
I i
dream dream
of of
a a
reality reality
where where
technology technology
senses sense
what what
we we
see see
, ,
touch touch
and and
feel feel
; ;
a a
reality reality
where where
technology technology
no no
longer longer
gets get
in in
our our
way way
, ,
but but
instead instead
embraces embrace
who who
we we
are be
. .
I i
dream dream
of of
technology technology
on on
a a
human human
path path
. .
We we
have have
all all
experienced experienced
technology technology
that that
enables enable
people people
to to
act act
more more
like like
people people
, ,
products product
that that
enable enable
natural natural
interactions interaction
, ,
voice voice
controls control
or or
biometrics biometrics
. .
This this
is be
the the
next next
step step
in in
the the
evolution evolution
. .
This this
is be
Microsoft microsoft
HoloLens hololens
, ,
the the
first first
fully fully
untethered untethered
holographic holographic
computer computer
. .
Devices device
like like
this this
will will
bring bring
3D 3d
holographic holographic
content content
right right
into into
our our
world world
, ,
enhancing enhance
the the
way way
we we
experience experience
life life
beyond beyond
our our
ordinary ordinary
range range
of of
perceptions perception
. .
Now now
, ,
I i
' '
m m
not not
thinking think
about about
a a
distant distant
future future
. .
I i
' '
m m
