Welcome welcome
. .
If if
I i
could could
have have
the the
first first
slide slide
, ,
please please
? ?
Contrary contrary
to to
calculations calculation
made make
by by
some some
engineers engineer
, ,
bees bee
can can
fly fly
, ,
dolphins dolphin
can can
swim swim
, ,
and and
geckos gecko
can can
even even
climb climb
up up
the the
smoothest smooth
surfaces surface
. .
Now now
, ,
what what
I i
want want
to to
do do
, ,
in in
the the
short short
time time
I i
have have
, ,
is be
to to
try try
to to
allow allow
each each
of of
you you
to to
experience experience
the the
thrill thrill
of of
revealing revealing
nature nature
' '
s s
design design
. .
I i
get get
to to
do do
this this
all all
the the
time time
, ,
and and
it it
' '
s s
just just
incredible incredible
. .
I i
want want
to to
try try
to to
share share
just just
a a
little little
bit bit
of of
that that
with with
you you
in in
this this
presentation presentation
. .
The the
challenge challenge
of of
looking look
at at
nature nature
' '
s s
designs design
— -
and and
I i
' '
ll ll
tell tell
you you
the the
way way
that that
we we
perceive perceive
it it
, ,
and and
the the
way way
we we
' '
ve ve
used use
it it
. .
The the
challenge challenge
, ,
of of
course course
, ,
is be
to to
answer answer
this this
question question
: :
what what
permits permit
this this
extraordinary extraordinary
performance performance
of of
animals animal
that that
allows allow
them them
basically basically
to to
go go
anywhere anywhere
? ?
And and
if if
we we
could could
figure figure
that that
out out
, ,
how how
can can
we we
implement implement
those those
designs design
? ?
Well well
, ,
many many
biologists biologist
will will
tell tell
engineers engineer
, ,
and and
others other
, ,
organisms organism
have have
millions million
of of
years year
to to
get get
it it
right right
; ;
they they
' '
re re
spectacular spectacular
; ;
they they
can can
do do
everything everything
wonderfully wonderfully
well well
. .
So so
, ,
the the
answer answer
is be
bio-mimicry bio-mimicry
: :
just just
copy copy
nature nature
directly directly
. .
We we
know know
from from
working work
on on
animals animal
that that
the the
truth truth
is be
that that
' '
s s
exactly exactly
what what
you you
don don
' '
t t
want want
to to
do do
— -
because because
evolution evolution
works work
on on
the the
just-good-enough just-good-enough
principle principle
, ,
not not
on on
a a
perfecting perfect
principle principle
. .
And and
the the
constraints constraint
in in
building build
any any
organism organism
, ,
when when
you you
look look
at at
it it
, ,
are be
really really
severe severe
. .
Natural natural
technologies technology
have have
incredible incredible
constraints constraint
. .
Think think
about about
it it
. .
If if
you you
were be
an an
engineer engineer
and and
I i
told tell
you you
that that
you you
had have
to to
build build
an an
automobile automobile
, ,
but but
it it
had have
to to
start start
off off
to to
be be
this this
big big
, ,
then then
it it
had have
to to
grow grow
to to
be be
full full
size size
and and
had have
to to
work work
every every
step step
along along
the the
way way
. .
Or or
think think
about about
the the
fact fact
that that
if if
you you
build build
an an
automobile automobile
, ,
I i
' '
ll ll
tell tell
you you
that that
you you
also also
— -
inside inside
it it
— -
have have
to to
put put
a a
factory factory
that that
allows allow
you you
to to
make make
another another
automobile automobile
. .
And and
you you
can can
absolutely absolutely
never never
, ,
absolutely absolutely
never never
, ,
because because
of of
history history
and and
the the
inherited inherited
plan plan
, ,
start start
with with
a a
clean clean
slate slate
. .
So so
, ,
organisms organism
have have
this this
important important
history history
. .
Really really
evolution evolution
works work
more more
like like
a a
tinkerer tinkerer
than than
an an
engineer engineer
. .
And and
this this
is be
really really
important important
when when
you you
begin begin
to to
look look
at at
animals animal
. .
Instead instead
, ,
we we
believe believe
you you
need need
to to
be be
inspired inspire
by by
biology biology
. .
You you
need need
to to
discover discover
the the
general general
principles principle
of of
nature nature
, ,
and and
then then
use use
these these
analogies analogy
when when
they they
' '
re re
advantageous advantageous
. .
This this
is be
a a
real real
challenge challenge
to to
do do
this this
, ,
because because
animals animal
, ,
when when
you you
start start
to to
really really
look look
inside inside
them them
— -
how how
they they
work work
— -
appear appear
hopelessly hopelessly
complex complex
. .
There there
' '
s s
no no
detailed detailed
history history
of of
the the
design design
plans plan
, ,
you you
can can
' '
t t
go go
look look
it it
up up
anywhere anywhere
. .
They they
have have
way way
too too
many many
motions motion
for for
their their
joints joint
, ,
too too
many many
muscles muscle
. .
Even even
the the
simplest simple
animal animal
we we
think think
of of
, ,
something something
like like
an an
insect insect
, ,
and and
they they
have have
more more
neurons neuron
and and
connections connection
than than
you you
can can
imagine imagine
. .
How how
can can
you you
make make
sense sense
of of
this this
? ?
Well well
, ,
we we
believed believe
— -
and and
we we
hypothesized hypothesize
— -
that that
one one
way way
animals animal
could could
work work
simply simply
, ,
is be
if if
the the
control control
of of
their their
movements movement
tended tend
to to
be be
built build
into into
their their
bodies body
themselves themselves
. .
What what
we we
discovered discover
was be
that that
two- two-
, ,
four- four-
, ,
six- six-
and and
eight-legged eight-legged
animals animal
all all
produce produce
the the
same same
forces force
on on
the the
ground ground
when when
they they
move move
. .
They they
all all
work work
like like
this this
kangaroo kangaroo
, ,
they they
bounce bounce
. .
And and
they they
can can
be be
modeled model
by by
a a
spring-mass spring-mass
system system
that that
we we
call call
the the
spring spring
mass mass
system system
because because
we we
' '
re re
biomechanists biomechanist
. .
It it
' '
s s
actually actually
a a
pogo pogo
stick stick
. .
They they
all all
produce produce
the the
pattern pattern
of of
a a
pogo pogo
stick stick
. .
How how
is be
that that
true true
? ?
Well well
, ,
a a
human human
, ,
one one
of of
your your
legs leg
works work
like like
two two
legs leg
of of
a a
trotting trot
dog dog
, ,
or or
works work
like like
three three
legs leg
, ,
together together
as as
one one
, ,
of of
a a
trotting trot
insect insect
, ,
or or
four four
legs leg
as as
one one
of of
a a
trotting trot
crab crab
. .
And and
then then
they they
alternate alternate
in in
their their
propulsion propulsion
, ,
but but
the the
patterns pattern
are be
all all
the the
same same
. .
Almost almost
every every
organism organism
we we
' '
ve ve
looked look
at at
this this
way way
— -
you you
' '
ll ll
see see
next next
week week
, ,
I i
' '
ll ll
give give
you you
a a
hint hint
, ,
there there
' '
ll ll
be be
an an
article article
coming come
out out
that that
says say
that that
really really
big big
things thing
like like
T t
. .
rex rex
probably probably
couldn couldn
' '
t t
do do
this this
, ,
but but
you you
' '
ll ll
see see
that that
next next
week week
. .
Now now
, ,
what what
' '
s s
interesting interesting
is be
the the
animals animal
, ,
then then
— -
we we
said say
— -
bounce bounce
along along
the the
vertical vertical
plane plane
this this
way way
, ,
and and
in in
our our
collaborations collaboration
with with
Pixar pixar
, ,
in in
" "
A a
Bug bug
' '
s s
Life life
, ,
" "
we we
discussed discuss
the the
bipedal bipedal
nature nature
of of
the the
characters character
of of
the the
ants ant
. .
And and
we we
told tell
them them
, ,
of of
course course
, ,
they they
move move
in in
another another
plane plane
as as
well well
. .
And and
they they
asked ask
us us
this this
question question
. .
They they
say say
, ,
" "
Why why
model model
just just
in in
the the
sagittal sagittal
plane plane
or or
the the
vertical vertical
plane plane
, ,
when when
you you
' '
re re
telling tell
us us
these these
animals animal
are be
moving move
in in
the the
horizontal horizontal
plane plane
? ?
" "
This this
is be
a a
good good
question question
. .
Nobody nobody
in in
biology biology
ever ever
modeled model
it it
this this
way way
. .
We we
took take
their their
advice advice
and and
we we
modeled model
the the
animals animal
moving move
in in
the the
horizontal horizontal
plane plane
as as
well well
. .
We we
took take
their their
three three
legs leg
, ,
we we
collapsed collapse
them them
down down
as as
one one
. .
We we
got get
some some
of of
the the
best good
mathematicians mathematician
in in
the the
world world
from from
Princeton princeton
to to
work work
on on
this this
problem problem
. .
And and
we we
were be
able able
to to
create create
a a
model model
where where
animals animal
are be
not not
only only
bouncing bounce
up up
and and
down down
, ,
but but
they they
' '
re re
also also
bouncing bounce
side side
to to
side side
at at
the the
same same
time time
. .
And and
many many
organisms organism
fit fit
this this
kind kind
of of
pattern pattern
. .
Now now
, ,
why why
is be
this this
important important
to to
have have
this this
model model
? ?
Because because
it it
' '
s s
very very
interesting interesting
. .
When when
you you
take take
this this
model model
and and
you you
perturb perturb
it it
, ,
you you
give give
it it
a a
push push
, ,
as as
it it
bumps bump
into into
something something
, ,
it it
self-stabilizes self-stabilize
, ,
with with
no no
brain brain
or or
no no
reflexes reflex
, ,
just just
by by
the the
structure structure
alone alone
. .
It it
' '
s s
a a
beautiful beautiful
model model
. .
Let let
' '
s s
look look
at at
the the
mathematics mathematics
. .
That that
' '
s s
enough enough
! !
The the
animals animal
, ,
when when
you you
look look
at at
them them
running run
, ,
appear appear
to to
be be
self-stabilizing self-stabilize
like like
this this
, ,
using use
basically basically
springy springy
legs leg
. .
That that
is be
, ,
the the
legs leg
can can
do do
computations computation
on on
their their
own own
; ;
the the
control control
algorithms algorithm
, ,
in in
a a
sense sense
, ,
are be
embedded embed
in in
the the
form form
of of
the the
animal animal
itself itself
. .
Why why
haven haven
' '
t t
we we
been be
more more
inspired inspire
by by
nature nature
and and
these these
kinds kind
of of
discoveries discovery
? ?
Well well
, ,
I i
would would
argue argue
that that
human human
technologies technology
are be
really really
different different
from from
natural natural
technologies technology
, ,
at at
least least
they they
have have
been be
so so
far far
. .
Think think
about about
the the
typical typical
kind kind
of of
robot robot
that that
you you
see see
. .
Human human
technologies technology
have have
tended tend
to to
be be
large large
, ,
flat flat
, ,
with with
right right
angles angle
, ,
stiff stiff
, ,
made make
of of
metal metal
. .
They they
have have
rolling rolling
devices device
and and
axles axle
. .
There there
are be
very very
few few
motors motor
, ,
very very
few few
sensors sensor
. .
Whereas whereas
nature nature
tends tend
to to
be be
small small
, ,
and and
curved curve
, ,
and and
it it
bends bend
and and
twists twist
, ,
and and
has have
legs leg
instead instead
, ,
and and
appendages appendage
, ,
and and
has have
many many
muscles muscle
and and
many many
, ,
many many
sensors sensor
. .
So so
it it
' '
s s
a a
very very
different different
design design
. .
However however
, ,
what what
' '
s s
changing changing
, ,
what what
' '
s s
really really
exciting exciting
— -
and and
I i
' '
ll ll
show show
you you
some some
of of
that that
next next
— -
is be
that that
as as
human human
technology technology
takes take
on on
more more
of of
the the
characteristics characteristic
of of
nature nature
, ,
then then
nature nature
really really
can can
become become
a a
much much
more more
useful useful
teacher teacher
. .
And and
here here
' '
s s
one one
example example
that that
' '
s s
really really
exciting exciting
. .
This this
is be
a a
collaboration collaboration
we we
have have
with with
Stanford stanford
. .
And and
they they
developed develop
this this
new new
technique technique
, ,
called call
Shape shape
Deposition deposition
Manufacturing manufacturing
. .
It it
' '
s s
a a
technique technique
where where
they they
can can
mix mix
materials material
together together
and and
mold mold
any any
shape shape
that that
they they
like like
, ,
and and
put put
in in
the the
material material
properties property
. .
They they
can can
embed embed
sensors sensor
and and
actuators actuator
right right
in in
the the
form form
itself itself
. .
For for
example example
, ,
here here
' '
s s
a a
leg leg
: :
the the
clear clear
part part
is be
stiff stiff
, ,
the the
white white
part part
is be
compliant compliant
, ,
and and
you you
don don
' '
t t
need need
any any
axles axle
there there
or or
anything anything
. .
It it
just just
bends bend
by by
