Imagine imagine
you you
' '
re re
walking walk
through through
a a
forest forest
. .
I i
' '
m m
guessing guess
you you
' '
re re
thinking thinking
of of
a a
collection collection
of of
trees tree
, ,
what what
we we
foresters forester
call call
a a
stand stand
, ,
with with
their their
rugged rugged
stems stem
and and
their their
beautiful beautiful
crowns crown
. .
Yes yes
, ,
trees tree
are be
the the
foundation foundation
of of
forests forest
, ,
but but
a a
forest forest
is be
much much
more more
than than
what what
you you
see see
, ,
and and
today today
I i
want want
to to
change change
the the
way way
you you
think think
about about
forests forest
. .
You you
see see
, ,
underground underground
there there
is be
this this
other other
world world
, ,
a a
world world
of of
infinite infinite
biological biological
pathways pathway
that that
connect connect
trees tree
and and
allow allow
them them
to to
communicate communicate
and and
allow allow
the the
forest forest
to to
behave behave
as as
though though
it it
' '
s s
a a
single single
organism organism
. .
It it
might might
remind remind
you you
of of
a a
sort sort
of of
intelligence intelligence
. .
How how
do do
I i
know know
this this
? ?
Here here
' '
s s
my my
story story
. .
I i
grew grow
up up
in in
the the
forests forest
of of
British british
Columbia columbia
. .
I i
used use
to to
lay lay
on on
the the
forest forest
floor floor
and and
stare stare
up up
at at
the the
tree tree
crowns crown
. .
They they
were be
giants giant
. .
My my
grandfather grandfather
was be
a a
giant giant
, ,
too too
. .
He he
was be
a a
horse horse
logger logger
, ,
and and
he he
used use
to to
selectively selectively
cut cut
cedar cedar
poles pole
from from
the the
inland inland
rainforest rainforest
. .
Grandpa grandpa
taught teach
me me
about about
the the
quiet quiet
and and
cohesive cohesive
ways way
of of
the the
woods wood
, ,
and and
how how
my my
family family
was be
knit knit
into into
it it
. .
So so
I i
followed follow
in in
grandpa grandpa
' '
s s
footsteps footstep
. .
He he
and and
I i
had have
this this
curiosity curiosity
about about
forests forest
, ,
and and
my my
first first
big big
" "
aha aha
" "
moment moment
was be
at at
the the
outhouse outhouse
by by
our our
lake lake
. .
Our our
poor poor
dog dog
Jigs jig
had have
slipped slip
and and
fallen fall
into into
the the
pit pit
. .
So so
grandpa grandpa
ran run
up up
with with
his his
shovel shovel
to to
rescue rescue
the the
poor poor
dog dog
. .
He he
was be
down down
there there
, ,
swimming swim
in in
the the
muck muck
. .
But but
as as
grandpa grandpa
dug dig
through through
that that
forest forest
floor floor
, ,
I i
became become
fascinated fascinate
with with
the the
roots root
, ,
and and
under under
that that
, ,
what what
I i
learned learn
later later
was be
the the
white white
mycelium mycelium
and and
under under
that that
the the
red red
and and
yellow yellow
mineral mineral
