Most most
people people
think think
that that
new new
technology technology
or or
advanced advanced
technology technology
can can
never never
start start
in in
Africa africa
. .
Instead instead
, ,
they they
think think
that that
the the
best good
way way
to to
help help
the the
continent continent
advance advance
is be
by by
providing provide
aid aid
or or
services service
that that
the the
continent continent
can can
' '
t t
provide provide
for for
itself itself
. .
So so
while while
we we
see see
advanced advanced
technology technology
like like
robotics robotic
and and
artificial artificial
intelligence intelligence
growing grow
exponentially exponentially
in in
the the
developed develop
world world
, ,
those those
same same
people people
are be
worried worry
that that
a a
technologically technologically
backward backward
Africa africa
is be
falling fall
behind behind
. .
That that
attitude attitude
couldn couldn
' '
t t
be be
more more
wrong wrong
. .
I i
' '
m m
a a
robotics robotic
entrepreneur entrepreneur
who who
' '
s s
spent spend
a a
lot lot
of of
time time
here here
in in
Africa africa
. .
And and
in in
2014 @card@
we we
created create
Zipline zipline
, ,
which which
is be
a a
company company
that that
uses use
electric electric
autonomous autonomous
aircraft aircraft
to to
deliver deliver
medicine medicine
to to
hospitals hospital
and and
health health
centers center
on on
demand demand
. .
Last last
year year
, ,
we we
launched launch
the the
world world
' '
s s
first first
automated automated
delivery delivery
system system
operating operate
at at
national national
scale scale
. .
And and
guess guess
what what
? ?
We we
did do
not not
do do
that that
in in
the the
US us
, ,
we we
didn didn
' '
t t
do do
it it
in in
Japan japan
, ,
and and
we we
didn didn
' '
t t
do do
it it
in in
Europe europe
. .
It it
was be
actually actually
President president
Paul paul
Kagame kagame
and and
the the
Rwandan rwandan
Ministry ministry
of of
Health health
that that
made make
a a
big big
bet bet
on on
the the
potential potential
of of
this this
technology technology
and and
signed sign
a a
commercial commercial
contract contract
to to
deliver deliver
a a
majority majority
of of
the the
country country
' '
s s
blood blood
on on
demand demand
. .
Yeah yeah
, ,
they they
deserve deserve
the the
applause applause
. .
So so
why why
is be
blood blood
important important
? ?
Rwanda rwanda
collects collect
between between
60- @card@
and and
80 @card@
, ,
000 @card@
units unit
of of
blood blood
a a
year year
. .
So so
this this
is be
a a
product product
that that
when when
you you
need need
it it
, ,
you you
really really
, ,
really really
need need
it it
. .
But but
blood blood
is be
also also
challenging challenge
, ,
because because
it it
has have
a a
very very
short short
shelf shelf
life life
, ,
there there
are be
lots lot
of of
different different
storage storage
requirements requirement
, ,
and and
it it
' '
s s
really really
hard hard
to to
predict predict
the the
demand demand
for for
all all
of of
these these
different different
blood blood
groups group
before before
a a
patient patient
actually actually
needs need
something something
. .
But but
the the
cool cool
thing thing
is be
that that
using use
this this
technology technology
, ,
Rwanda rwanda
has have
been be
able able
to to
keep keep
more more
blood blood
centralized centralized
and and
then then
provide provide
it it
when when
a a
patient patient
needs need
something something
to to
any any
hospital hospital
or or
health health
center center
in in
an an
average average
of of
just just
20 @card@
or or
30 @card@
minutes minute
. .
Do do
you you
guys guy
want want
to to
see see
how how
it it
works work
? ?
Yes yes
. .
All all
right right
. .
Nobody nobody
believes believe
me me
, ,
so so
. .
. .
. .
better well
to to
show show
. .
This this
is be
our our
distribution distribution
center center
, ,
which which
is be
about about
20 @card@
kilometers kilometer
outside outside
of of
Kigali kigali
. .
This this
actually actually
used use
to to
be be
a a
cornfield cornfield
nine nine
months month
ago ago
, ,
and and
with with
the the
Rwandan rwandan
government government
, ,
we we
leveled level
it it
and and
built build
this this
center center
in in
a a
couple couple
weeks week
. .
So so
when when
a a
patient patient
is be
having have
an an
emergency emergency
, ,
a a
doctor doctor
or or
a a
nurse nurse
at at
that that
hospital hospital
can can
send send
us us
a a
WhatsApp whatsapp
, ,
telling tell
us us
what what
they they
need need
. .
And and
then then
our our
team team
will will
immediately immediately
spring spring
into into
action action
. .
We we
pull pull
the the
blood blood
from from
our our
stock stock
, ,
which which
is be
delivered deliver
from from
the the
National national
Center center
for for
Blood blood
Transfusion transfusion
; ;
we we
scan scan
the the
blood blood
into into
our our
system system
so so
the the
Ministry ministry
of of
Health health
knows know
where where
the the
blood blood
is be
going go
; ;
and and
then then
we we
' '
ll ll
basically basically
pack pack
it it
into into
a a
Zip zip
, ,
which which
is be
what what
we we
call call
these these
little little
autonomous autonomous
airplanes airplane
that that
run run
on on
batteries battery
. .
And and
then then
once once
that that
Zip zip
is be
ready ready
to to
go go
, ,
we we
accelerate accelerate
it it
from from
zero zero
to to
100 @card@
kilometers kilometer
an an
hour hour
in in
about about
half half
of of
a a
second second
. .
Whoa whoa
! !
And and
from from
the the
moment moment
it it
leaves leave
the the
end end
of of
the the
launcher launcher
, ,
it it
' '
s s
completely completely
autonomous autonomous
. .
This this
is be
our our
air air
traffic traffic
controller controller
calling call
it it
in in
to to
Kigali kigali
International international
Airport airport
. .
And and
when when
the the
Zip zip
arrives arrive
at at
the the
hospital hospital
, ,
it it
descends descend
to to
about about
30 @card@
feet foot
and and
drops drop
the the
package package
. .
We we
use use
a a
really really
simple simple
paper paper
parachute parachute
— -
simple simple
things thing
are be
best well
— -
that that
allows allow
the the
package package
to to
come come
to to
the the
ground ground
gently gently
and and
reliably reliably
in in
the the
same same
place place
every every
time time
. .
So so
it it
' '
s s
just just
like like
ride ride
sharing sharing
; ;
the the
doctors doctor
get get
a a
text text
message message
one one
minute minute
before before
we we
arrive arrive
, ,
saying say
, ,
" "
Walk walk
outside outside
and and
receive receive
your your
delivery delivery
. .
" "
And and
then then
— -
and and
then then
the the
doctors doctor
have have
what what
they they
need need
to to
save save
a a
patient patient
' '
s s
life life
. .
This this
is be
actually actually
watching watch
a a
delivery delivery
happen happen
from from
our our
distribution distribution
center center
; ;
this this
vehicle vehicle
is be
about about
50 @card@
kilometers kilometer
away away
. .
We we
' '
re re
able able
to to
watch watch
the the
vehicle vehicle
as as
it it
makes make
a a
delivery delivery
at at
a a
hospital hospital
in in
real real
time time
. .
You you
may may
have have
noticed notice
there there
are be
pings ping
that that
are be
coming come
off off
of of
that that
vehicle vehicle
on on
the the
screen screen
. .
Those those
pings ping
are be
actually actually
data data
packets packet
that that
we we
' '
re re
getting get
over over
the the
cell cell
phone phone
networks network
. .
So so
these these
planes plane
have have
SIM sim
cards card
just just
like like
your your
cell cell
phone phone
does do
, ,
and and
they they
' '
re re
communicating communicate
over over
the the
cell cell
network network
to to
tell tell
us us
where where
they they
are be
and and
how how
they they
' '
re re
doing do
at at
all all
times time
. .
Believe believe
it it
or or
not not
, ,
we we
actually actually
buy buy
family family
plans plan
— -
for for
this this
fleet fleet
of of
vehicles vehicle
, ,
because because
that that
' '
s s
how how
we we
get get
the the
best good
rates rate
. .
It it
' '
s s
actually actually
not not
a a
joke joke
. .
So so
today today
, ,
we we
' '
re re
delivering deliver
about about
20 @card@
percent percent
of of
the the
national national
blood blood
supply supply
of of
Rwanda rwanda
outside outside
of of
Kigali kigali
. .
We we
serve serve
about about
12 @card@
hospitals hospital
, ,
and and
we we
' '
re re
adding add
hospitals hospital
to to
that that
network network
at at
an an
accelerating accelerating
rate rate
. .
All all
of of
those those
hospitals hospital
only only
receive receive
blood blood
in in
this this
way way
, ,
and and
most most
of of
those those
hospitals hospital
actually actually
place place
multiple multiple
orders order
every every
day day
. .
So so
the the
reason reason
— -
in in
all all
of of
health health
care care
logistics logistic
, ,
you you
' '
re re
always always
trading trade
off off
waste waste
against against
access access
. .
So so
if if
you you
want want
to to
solve solve
waste waste
, ,
you you
keep keep
everything everything
centralized centralize
. .
As as
a a
result result
, ,
when when
patients patient
are be
having have
emergencies emergency
, ,
sometimes sometimes
they they
don don
' '
t t
have have
the the
medical medical
product product
they they
need need
. .
If if
you you
want want
to to
solve solve
access access
, ,
you you
stock stock
a a
lot lot
of of
medicine medicine
at at
the the
last last
mile mile
, ,
at at
hospitals hospital
or or
health health
centers center
, ,
and and
then then
patients patient
have have
the the
medicine medicine
they they
need need
. .
But but
you you
end end
up up
throwing throw
a a
lot lot
of of
medicine medicine
out out
, ,
which which
is be
very very
expensive expensive
. .
What what
' '
s s
so so
amazing amazing
is be
that that
the the
Rwandan rwandan
government government
has have
been be
able able
to to
break break
this this
cycle cycle
permanently permanently
. .
Because because
doctors doctor
can can
get get
what what
they they
need need
instantly instantly
, ,
they they
actually actually
stock stock
less less
blood blood
at at
the the
hospitals hospital
. .
So so
although although
use use
of of
blood blood
products product
has have
increased increase
substantially substantially
at at
all all
the the
hospitals hospital
we we
serve serve
, ,
in in
the the
last last
nine nine
months month
, ,
zero zero
units unit
of of
blood blood
have have
expired expire
at at
any any
of of
these these
hospitals hospital
. .
That that
' '
s s
an an
amazing amazing
result result
. .
That that
' '
s s
actually actually
not not
been be
achieved achieve
by by
any any
other other
health health
care care
system system
on on
the the
planet planet
, ,
and and
it it
happened happen
here here
. .
But but
obviously obviously
, ,
when when
we we
' '
re re
talking talk
about about
delivering deliver
medical medical
products product
instantly instantly
, ,
the the
most most
important important
thing thing
is be
patients patient
. .
Let let
me me
give give
you you
an an
example example
. .
A a
couple couple
months month
ago ago
, ,
a a
24-year-old 24-year-old
mother mother
came come
into into
one one
of of
the the
hospitals hospital
that that
we we
serve serve
, ,
and and
she she
gave give
birth birth
via via
C-section c-section
. .
But but
that that
led lead
to to
complications complication
, ,
and and
she she
started start
to to
bleed bleed
. .
Luckily luckily
, ,
the the
doctors doctor
had have
some some
blood blood
of of
her her
blood blood
type type
on on
hand hand
that that
had have
been be
delivered deliver
via via
Zipline zipline
' '
s s
routine routine
service service
, ,
and and
so so
they they
transfused transfuse
her her
with with
a a
couple couple
units unit
of of
blood blood
. .
But but
she she
bled bleed
out out
of of
those those
units unit
in in
about about
10 @card@
minutes minute
. .
In in
this this
case case
, ,
that that
mother mother
' '
s s
life life
is be
in in
grave grave
danger danger
— -
in in
any any
hospital hospital
in in
the the
world world
. .
But but
luckily luckily
, ,
the the
doctors doctor
who who
were be
taking take
care care
of of
her her
immediately immediately
called call
our our
distribution distribution
center center
, ,
they they
placed place
an an
emergency emergency
order order
, ,
and and
our our
team team
actually actually
did do
emergency emergency
delivery delivery
after after
emergency emergency
delivery delivery
after after
emergency emergency
delivery delivery
. .
They they
ended end
up up
sending send
seven seven
units unit
of of
red red
blood blood
cells cell
, ,
four four
units unit
of of
plasma plasma
and and
two two
units unit
of of
platelets platelet
. .
That that
' '
s s
more more
blood blood
than than
you you
have have
in in
your your
entire entire
body body
. .
All all
of of
it it
was be
transfused transfuse
into into
her her
, ,
the the
doctors doctor
were be
able able
to to
stabilize stabilize
her her
, ,
and and
she she
is be
healthy healthy
today today
. .
Since since
we we
launched launch
, ,
we we
' '
ve ve
done do
about about
400 @card@
emergency emergency
deliveries delivery
like like
that that
, ,
and and
there there
' '
s s
a a
story story
like like
that that
one one
behind behind
most most
of of
those those
emergencies emergency
. .
Here here
are be
just just
a a
couple couple
of of
the the
moms mom
who who
have have
received receive
transfusions transfusion
in in
this this
way way
in in
the the
last last
couple couple
months month
. .
We we
' '
re re
always always
reminded remind
: :
when when
we we
can can
help help
a a
doctor doctor
save save
a a
mom mom
' '
s s
life life
, ,
it it
' '
s s
not not
just just
her her
life life
that that
you you
' '
re re
saving saving
. .
That that
' '
s s
also also
a a
baby baby
boy boy
or or
a a
baby baby
girl girl
who who
has have
a a
mother mother
while while
they they
' '
re re
growing grow
up up
. .
But but
I i
want want
to to
be be
clear clear
: :
postpartum postpartum
hemorrhaging hemorrhaging
— -
it it
' '
s s
not not
a a
Rwanda rwanda
problem problem
, ,
it it
' '
s s
not not
a a
developing-world developing-world
problem problem
— -
this this
is be
a a
global global
problem problem
. .
Maternal maternal
health health
is be
a a
challenge challenge
everywhere everywhere
. .
The the
main main
difference difference
is be
that that
Rwanda rwanda
was be
the the
first first
country country
to to
use use
radical radical
technology technology
to to
do do
something something
about about
it it
. .
And and
that that
' '
s s
the the
reason reason
this this
attitude attitude
of of
Africa africa
being be
disrupted disrupt
or or
advanced advanced
technology technology
not not
working work
here here
or or
needing need
aid aid
is be
so so
totally totally
wrong wrong
. .
Africa africa
can can
be be
the the
disrupter disrupter
. .
These these
small small
, ,
agile agile
, ,
developing develop
economies economy
can can
out-innovate out-innovate
large large
, ,
rich rich
ones one
. .
And and
they they
can can
totally totally
leapfrog leapfrog
over over
the the
absence absence
of of
legacy legacy
infrastructure infrastructure
to to
go go
straight straight
to to
newer new
and and
better good
systems system
. .
