Thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
this	DT	this
whole	JJ	whole
evening	NN	evening
has	VBZ	have
been	VBN	be
very	RB	very
amazing	JJ	amazing
to	TO	to
me	PP	me
.	SENT	.
I	PP	I
feel	VBP	feel
it	PP	it
'	''	'
s	NN	S
sort	NN	sort
of	IN	of
like	IN	like
the	DT	the
Vimalakirti	NP	<unknown>
Sutra	NN	sutra
,	,	,
an	DT	an
ancient	JJ	ancient
work	NN	work
from	IN	from
ancient	JJ	ancient
India	NP	India
in	IN	in
which	WDT	which
the	DT	the
Buddha	NN	buddha
appears	VBZ	appear
at	IN	at
the	DT	the
beginning	NN	beginning
and	CC	and
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
people	NNS	people
come	VBN	come
to	TO	to
see	VB	see
him	PP	him
from	IN	from
the	DT	the
biggest	JJS	big
city	NN	city
in	IN	in
the	DT	the
area	NN	area
,	,	,
Vaishali	NP	<unknown>
,	,	,
and	CC	and
they	PP	they
bring	VBP	bring
some	DT	some
sort	NN	sort
of	IN	of
jeweled	VBN	jewel
parasols	NNS	parasol
to	TO	to
make	VB	make
an	DT	an
offering	NN	offering
to	TO	to
him	PP	him
.	SENT	.
All	PDT	all
the	DT	the
young	JJ	young
people	NNS	people
,	,	,
actually	RB	actually
,	,	,
from	IN	from
the	DT	the
city	NN	city
.	SENT	.
The	DT	the
old	JJ	old
fogeys	NNS	fogey
don	NN	don
'	POS	'
t	NN	t
come	VBN	come
because	IN	because
they	PP	they
'	POS	'
re	NN	re
mad	JJ	mad
at	IN	at
Buddha	NN	buddha
,	,	,
because	IN	because
when	WRB	when
he	PP	he
came	VBD	come
to	TO	to
their	PP$	their
city	NN	city
he	PP	he
accepted	VBD	accept
—	:	-
he	PP	he
always	RB	always
accepts	VBZ	accept
the	DT	the
first	JJ	first
invitation	NN	invitation
that	WDT	that
comes	VBZ	come
to	TO	to
him	PP	him
,	,	,
from	IN	from
whoever	WP	whoever
it	PP	it
is	VBZ	be
,	,	,
and	CC	and
the	DT	the
local	JJ	local
geisha	NN	geisha
,	,	,
a	DT	a
movie-star	NN	movie-star
sort	NN	sort
of	IN	of
person	NN	person
,	,	,
raced	VBD	race
the	DT	the
elders	NNS	elder
of	IN	of
the	DT	the
city	NN	city
in	IN	in
a	DT	a
chariot	NN	chariot
and	CC	and
invited	VBD	invite
him	PP	him
first	JJ	first
.	SENT	.
So	RB	so
he	PP	he
was	VBD	be
hanging	VBG	hang
out	RP	out
with	IN	with
the	DT	the
movie	NN	movie
star	NN	star
,	,	,
and	CC	and
of	IN	of
course	NN	course
they	PP	they
were	VBD	be
grumbling	VBG	grumble
:	:	:
"	``	"
He	PP	he
'	POS	'
s	NNS	<unknown>
supposed	VBN	suppose
to	TO	to
be	VB	be
religious	JJ	religious
and	CC	and
all	RB	all
this	DT	this
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
he	PP	he
doing	VBG	do
over	RP	over
there	RB	there
at	IN	at
Amrapali	NP	<unknown>
'	POS	'
s	JJ	<unknown>
house	NN	house
with	IN	with
all	PDT	all
his	PP$	his
500	CD	@card@
monks	NNS	monk
,	,	,
"	''	"
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
They	PP	they
were	VBD	be
all	RB	all
grumbling	VBG	grumble
,	,	,
and	CC	and
so	RB	so
they	PP	they
boycotted	VBD	boycott
him	PP	him
.	SENT	.
They	PP	they
wouldn	NP	<unknown>
'	POS	'
t	NN	t
go	VBP	go
listen	VB	listen
to	TO	to
him	PP	him
.	SENT	.
But	CC	but
the	DT	the
young	JJ	young
people	NNS	people
all	RB	all
came	VBD	come
.	SENT	.
And	CC	and
they	PP	they
brought	VBD	bring
this	DT	this
kind	NN	kind
of	IN	of
a	DT	a
jeweled	VBN	jewel
parasol	NN	parasol
,	,	,
and	CC	and
they	PP	they
put	VBP	put
it	PP	it
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
And	CC	and
as	RB	as
soon	RB	soon
as	IN	as
they	PP	they
had	VBD	have
laid	VBN	lay
all	PDT	all
these	DT	these
,	,	,
all	RB	all
their	PP$	their
big	JJ	big
stack	NN	stack
of	IN	of
these	DT	these
jeweled	VBN	jewel
parasols	NNS	parasol
that	IN	that
they	PP	they
used	VBD	use
to	TO	to
carry	VB	carry
in	IN	in
ancient	JJ	ancient
India	NP	India
,	,	,
he	PP	he
performed	VBD	perform
a	DT	a
kind	NN	kind
of	IN	of
special	JJ	special
effect	NN	effect
which	WDT	which
made	VBD	make
it	PP	it
into	IN	into
a	DT	a
giant	JJ	giant
planetarium	NN	planetarium
,	,	,
the	DT	the
wonder	NN	wonder
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
Everyone	NN	everyone
looked	VBD	look
in	IN	in
that	DT	that
,	,	,
and	CC	and
they	PP	they
saw	VBD	see
in	IN	in
there	RB	there
the	DT	the
total	JJ	total
interconnectedness	NN	interconnectedness
of	IN	of
all	DT	all
life	NN	life
in	IN	in
all	DT	all
universes	NNS	universe
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
in	IN	in
the	DT	the
Buddhist	NN	Buddhist
cosmos	NNS	cosmos
there	EX	there
are	VBP	be
millions	NNS	million
and	CC	and
billions	NNS	billion
of	IN	of
planets	NNS	planet
with	IN	with
human	JJ	human
life	NN	life
on	IN	on
it	PP	it
,	,	,
and	CC	and
enlightened	JJ	enlightened
beings	NNS	being
can	MD	can
see	VB	see
the	DT	the
life	NN	life
on	IN	on
all	PDT	all
the	DT	the
other	JJ	other
planets	NNS	planet
.	SENT	.
So	RB	so
they	PP	they
don	VB	don
'	''	'
t	NN	t
—	:	-
when	WRB	when
they	PP	they
look	VBP	look
out	RP	out
and	CC	and
they	PP	they
see	VBP	see
those	DT	those
lights	NNS	light
that	IN	that
you	PP	you
showed	VBD	show
in	IN	in
the	DT	the
sky	NN	sky
—	:	-
they	PP	they
don	VBP	don
'	''	'
t	NN	t
just	RB	just
see	VBP	see
sort	NN	sort
of	IN	of
pieces	NNS	piece
of	IN	of
matter	NN	matter
burning	NN	burning
or	CC	or
rocks	NNS	rock
or	CC	or
flames	NNS	flame
or	CC	or
gases	NNS	gas
exploding	VBG	explode
.	SENT	.
They	PP	they
actually	RB	actually
see	VBP	see
landscapes	NNS	landscape
and	CC	and
human	JJ	human
beings	NNS	being
and	CC	and
gods	NNS	god
and	CC	and
dragons	NNS	dragon
and	CC	and
serpent	NN	serpent
beings	NNS	being
and	CC	and
goddesses	NNS	goddess
and	CC	and
things	NNS	thing
like	IN	like
that	DT	that
.	SENT	.
He	PP	he
made	VBD	make
that	IN	that
special	JJ	special
effect	NN	effect
at	IN	at
the	DT	the
beginning	NN	beginning
to	TO	to
get	VB	get
everyone	NN	everyone
to	TO	to
think	VB	think
about	IN	about
interconnection	NN	interconnection
and	CC	and
interconnectedness	NN	interconnectedness
and	CC	and
how	WRB	how
