Good	JJ	good
morning	NN	morning
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
for	IN	for
a	DT	a
minute	NN	minute
at	IN	at
the	DT	the
greatest	JJS	great
icon	NN	icon
of	IN	of
all	DT	all
,	,	,
Leonardo	NP	Leonardo
da	NP	da
Vinci	NP	Vinci
.	SENT	.
We	PP	we
'	''	'
re	IN	re
all	DT	all
familiar	JJ	familiar
with	IN	with
his	PP$	his
fantastic	JJ	fantastic
work	NN	work
â	NP	<unknown>
his	PP$	his
drawings	NNS	drawing
,	,	,
his	PP$	his
paintings	NNS	painting
,	,	,
his	PP$	his
inventions	NNS	invention
,	,	,
his	PP$	his
writings	NNS	writing
.	SENT	.
But	CC	but
we	PP	we
do	VBP	do
not	RB	not
know	VB	know
his	PP$	his
face	NN	face
.	SENT	.
Thousands	NNS	thousand
of	IN	of
books	NNS	book
have	VBP	have
been	VBN	be
written	VBN	write
about	IN	about
him	PP	him
,	,	,
but	CC	but
there	EX	there
'	''	'
s	NN	S
controversy	NN	controversy
,	,	,
and	CC	and
it	PP	it
remains	VBZ	remain
,	,	,
about	IN	about
his	PP$	his
looks	NNS	look
.	SENT	.
Even	RB	even
this	DT	this
well-known	JJ	well-known
portrait	NN	portrait
is	VBZ	be
not	RB	not
accepted	VBN	accept
by	IN	by
many	JJ	many
art	NN	art
historians	NNS	historian
.	SENT	.
So	RB	so
,	,	,
what	WP	what
do	VBP	do
you	PP	you
think	VBP	think
?	SENT	?
Is	VBZ	be
this	DT	this
the	DT	the
face	NN	face
of	IN	of
Leonardo	NP	Leonardo
da	NP	da
Vinci	NP	Vinci
or	CC	or
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
find	VBP	find
out	RP	out
.	SENT	.
Leonardo	NP	Leonardo
was	VBD	be
a	DT	a
man	NN	man
that	WDT	that
drew	VBD	draw
everything	NN	everything
around	IN	around
him	PP	him
.	SENT	.
He	PP	he
drew	VBD	draw
people	NNS	people
,	,	,
anatomy	NN	anatomy
,	,	,
plants	NNS	plant
,	,	,
animals	NNS	animal
,	,	,
landscapes	NNS	landscape
,	,	,
buildings	NNS	building
,	,	,
water	NN	water
,	,	,
everything	NN	everything
.	SENT	.
But	CC	but
no	DT	no
faces	VBZ	face
?	SENT	?
I	PP	I
find	VBP	find
that	IN	that
hard	JJ	hard
to	TO	to
believe	VB	believe
.	SENT	.
His	PP$	his
contemporaries	NNS	contemporary
made	VBN	make
faces	VBZ	face
,	,	,
like	IN	like
the	DT	the
ones	NNS	one
you	PP	you
see	VBP	see
here	RB	here
â	NP	<unknown>
en	IN	en
face	NN	face
or	CC	or
three-quarters	NNS	three-quarter
.	SENT	.
So	RB	so
,	,	,
surely	RB	surely
a	DT	a
passionate	JJ	passionate
drawer	NN	drawer
like	IN	like
Leonardo	NP	Leonardo
must	MD	must
have	VB	have
made	VBN	make
self-portraits	NNS	self-portrait
from	IN	from
time	NN	time
to	TO	to
time	NN	time
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
try	VBP	try
to	TO	to
find	VB	find
them	PP	them
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
if	IN	if
we	PP	we
were	VBD	be
to	TO	to
scan	VB	scan
all	DT	all
of	IN	of
his	PP$	his
work	NN	work
and	CC	and
look	NN	look
for	IN	for
self-portraits	NNS	self-portrait
,	,	,
we	PP	we
would	MD	would
find	VB	find
his	PP$	his
face	NN	face
looking	VBG	look
at	IN	at
us	PP	us
.	SENT	.
So	RB	so
I	PP	I
looked	VBD	look
at	IN	at
all	DT	all
of	IN	of
his	PP$	his
drawings	NNS	drawing
,	,	,
more	JJR	more
than	IN	than
700	CD	@card@
,	,	,
and	CC	and
looked	VBD	look
for	IN	for
male	JJ	male
portraits	NNS	portrait
.	SENT	.
There	EX	there
are	VBP	be
about	RB	about
120	CD	@card@
,	,	,
you	PP	you
see	VBP	see
them	PP	them
here	RB	here
.	SENT	.
Which	WDT	which
ones	NNS	one
of	IN	of
these	DT	these
could	MD	could
be	VB	be
self-portraits	NNS	self-portrait
?	SENT	?
Well	RB	well
,	,	,
for	IN	for
that	WDT	that
they	PP	they
have	VBP	have
to	TO	to
be	VB	be
done	VBN	do
as	IN	as
we	PP	we
just	RB	just
saw	VBD	see
,	,	,
en	IN	en
face	NN	face
or	CC	or
three-quarters	NNS	three-quarter
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
eliminate	VB	eliminate
all	PDT	all
the	DT	the
profiles	NNS	profile
.	SENT	.
It	PP	it
also	RB	also
has	VBZ	have
to	TO	to
be	VB	be
sufficiently	RB	sufficiently
detailed	JJ	detailed
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
also	RB	also
eliminate	VB	eliminate
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
very	RB	very
vague	JJ	vague
or	CC	or
very	RB	very
stylized	VBN	stylize
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
from	IN	from
his	PP$	his
contemporaries	NNS	contemporary
that	IN	that
Leonardo	NP	Leonardo
was	VBD	be
a	DT	a
very	RB	very
handsome	JJ	handsome
,	,	,
even	RB	even
beautiful	JJ	beautiful
man	NN	man
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
also	RB	also
eliminate	VB	eliminate
the	DT	the
ugly	JJ	ugly
ones	NNS	one
or	CC	or
the	DT	the
caricatures	NNS	caricature
.	SENT	.
And	CC	and
look	NN	look
what	WP	what
happens	VBZ	happen
â	NP	<unknown>
only	RB	only
three	CD	three
candidates	NNS	candidate
remain	VBP	remain
that	RB	that
fit	VB	fit
the	DT	the
bill	NN	bill
.	SENT	.
And	CC	and
here	RB	here
they	PP	they
are	VBP	be
.	SENT	.
Yes	UH	yes
,	,	,
indeed	RB	indeed
,	,	,
the	DT	the
old	JJ	old
man	NN	man
is	VBZ	be
there	RB	there
,	,	,
as	IN	as
is	VBZ	be
this	DT	this
famous	JJ	famous
pen	NN	pen
drawing	VBG	draw
of	IN	of
the	DT	the
Homo	NN	homo
Vitruvianus	NN	<unknown>
.	SENT	.
And	CC	and
lastly	RB	lastly
,	,	,
the	DT	the
only	JJ	only
portrait	NN	portrait
of	IN	of
a	DT	a
male	NN	male
that	IN	that
Leonardo	NP	Leonardo
painted	VBD	paint
,	,	,
"	``	"
The	DT	the
Musician	NN	musician
.	SENT	.
"	``	"
Before	IN	before
we	PP	we
go	VBP	go
into	IN	into
these	DT	these
faces	NNS	face
,	,	,
I	PP	I
should	MD	should
explain	VB	explain
why	WRB	why
I	PP	I
have	VBP	have
some	DT	some
right	NN	right
to	TO	to
talk	VB	talk
about	IN	about
them	PP	them
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
made	VBD	make
more	JJR	more
than	IN	than
1	CD	@card@
,	,	,
100	CD	@card@
portraits	NNS	portrait
myself	PP	myself
for	IN	for
newspapers	NNS	newspaper
,	,	,
over	IN	over
the	DT	the
course	NN	course
of	IN	of
300	CD	@card@
â	NP	<unknown>
30	CD	@card@
years	NNS	year
,	,	,
sorry	RB	sorry
,	,	,
30	CD	@card@
years	NNS	year
only	RB	only
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
1	CD	@card@
,	,	,
100	CD	@card@
,	,	,
and	CC	and
very	RB	very
few	JJ	few
artists	NNS	artist
have	VBP	have
drawn	VBN	draw
so	IN	so
many	JJ	many
faces	NNS	face
.	SENT	.
So	RB	so
I	PP	I
know	VBP	know
a	DT	a
little	JJ	little
about	IN	about
drawing	VBG	draw
and	CC	and
analyzing	VBG	analyze
faces	NNS	face
.	SENT	.
OK	UH	OK
,	,	,
now	RB	now
let	VBD	let
'	''	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
these	DT	these
three	CD	three
portraits	NNS	portrait
.	SENT	.
