Interestingly	RB	interestingly
,	,	,
Charles	NP	Charles
Darwin	NP	Darwin
was	VBD	be
born	VBN	bear
a	DT	a
very	RB	very
lightly	RB	lightly
pigmented	JJ	<unknown>
man	NN	man
,	,	,
in	IN	in
a	DT	a
moderately-to-darkly	JJ	<unknown>
pigmented	JJ	<unknown>
world	NN	world
.	SENT	.
Over	IN	over
the	DT	the
course	NN	course
of	IN	of
his	PP$	his
life	NN	life
,	,	,
Darwin	NP	Darwin
had	VBD	have
great	JJ	great
privilege	NN	privilege
.	SENT	.
He	PP	he
lived	VBD	live
in	IN	in
a	DT	a
fairly	RB	fairly
wealthy	JJ	wealthy
home	NN	home
.	SENT	.
He	PP	he
was	VBD	be
raised	VBN	raise
by	IN	by
very	RB	very
supportive	JJ	supportive
and	CC	and
interested	JJ	interested
parents	NNS	parent
.	SENT	.
And	CC	and
when	WRB	when
he	PP	he
was	VBD	be
in	IN	in
his	PP$	his
20s	NNS	20s
he	PP	he
embarked	VBD	embark
upon	IN	upon
a	DT	a
remarkable	JJ	remarkable
voyage	NN	voyage
on	IN	on
the	DT	the
ship	NN	ship
the	DT	the
Beagle	NP	Beagle
.	SENT	.
And	CC	and
during	IN	during
the	DT	the
course	NN	course
of	IN	of
that	DT	that
voyage	NN	voyage
,	,	,
he	PP	he
saw	VBD	see
remarkable	JJ	remarkable
things	NNS	thing
:	:	:
tremendous	JJ	tremendous
diversity	NN	diversity
of	IN	of
plants	NNS	plant
and	CC	and
animals	NNS	animal
,	,	,
and	CC	and
humans	NNS	human
.	SENT	.
And	CC	and
the	DT	the
observations	NNS	observation
that	IN	that
he	PP	he
made	VBD	make
on	IN	on
that	DT	that
epic	NN	epic
journey	NN	journey
were	VBD	be
to	TO	to
be	VB	be
eventually	RB	eventually
distilled	VBN	distil
into	IN	into
his	PP$	his
wonderful	JJ	wonderful
book	NN	book
,	,	,
"	''	"
On	IN	on
the	DT	the
Origin	NN	origin
of	IN	of
Species	NP	Species
,	,	,
"	''	"
published	VBD	publish
150	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
Now	RB	now
what	WP	what
is	VBZ	be
so	RB	so
interesting	JJ	interesting
and	CC	and
to	TO	to
some	DT	some
,	,	,
the	DT	the
extent	NN	extent
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
a	DT	a
bit	NN	bit
infamous	JJ	infamous
about	IN	about
"	``	"
The	DT	the
Origin	NN	origin
of	IN	of
Species	NP	Species
,	,	,
"	``	"
is	VBZ	be
that	IN	that
there	EX	there
is	VBZ	be
only	RB	only
one	CD	one
line	NN	line
in	IN	in
it	PP	it
about	RB	about
human	JJ	human
evolution	NN	evolution
.	SENT	.
"	``	"
Light	NN	light
will	MD	will
be	VB	be
thrown	VBN	throw
on	IN	on
the	DT	the
origin	NN	origin
of	IN	of
man	NN	man
and	CC	and
his	PP$	his
history	NN	history
.	SENT	.
"	``	"
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
much	RB	much
longer	JJR	long
,	,	,
much	RB	much
later	RBR	later
,	,	,
that	DT	that
Darwin	NP	Darwin
actually	RB	actually
spoke	VBD	speak
and	CC	and
wrote	VBD	write
about	IN	about
humans	NNS	human
.	SENT	.
Now	RB	now
in	IN	in
his	PP$	his
years	NNS	year
of	IN	of
traveling	VBG	travel
on	IN	on
the	DT	the
Beagle	NP	Beagle
,	,	,
and	CC	and
from	IN	from
listening	VBG	listen
to	TO	to
the	DT	the
accounts	NNS	account
or	CC	or
explorers	NNS	explorer
and	CC	and
naturalists	NNS	naturalist
,	,	,
he	PP	he
knew	VBD	know
that	IN	that
skin	NN	skin
color	NN	color
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
ways	NNS	way
in	IN	in
which	WDT	which
people	NNS	people
varied	VBD	vary
.	SENT	.
And	CC	and
he	PP	he
was	VBD	be
somewhat	RB	somewhat
interested	JJ	interested
in	IN	in
the	DT	the
pattern	NN	pattern
of	IN	of
skin	NN	skin
color	NN	color
.	SENT	.
He	PP	he
knew	VBD	know
that	IN	that
darkly	RB	darkly
pigmented	JJ	<unknown>
peoples	NNS	people
were	VBD	be
found	VBN	find
close	RB	close
to	TO	to
the	DT	the
equator	NN	equator
;	:	;
lightly	RB	lightly
pigmented	JJ	<unknown>
peoples	NNS	people
,	,	,
like	IN	like
himself	PP	himself
,	,	,
were	VBD	be
found	VBN	find
closer	RBR	closer
to	TO	to
the	DT	the
poles	NNS	pole
.	SENT	.
So	RB	so
what	WP	what
did	VBD	do
he	PP	he
make	VBP	make
of	IN	of
all	PDT	all
this	DT	this
?	SENT	?
Well	RB	well
he	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
write	NN	write
anything	NN	anything
about	IN	about
it	PP	it
in	IN	in
The	DT	the
Origin	NN	origin
of	IN	of
Species	NP	Species
.	SENT	.
But	CC	but
much	RB	much
later	RBR	later
,	,	,
in	IN	in
1871	CD	@card@
,	,	,
he	PP	he
did	VBD	do
have	VB	have
something	NN	something
to	TO	to
say	VB	say
about	IN	about
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
quite	RB	quite
curious	JJ	curious
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Of	IN	of
all	PDT	all
the	DT	the
differences	NNS	difference
between	IN	between
the	DT	the
races	NNS	race
of	IN	of
men	NNS	man
,	,	,
the	DT	the
color	NN	color
of	IN	of
the	DT	the
skin	NN	skin
is	VBZ	be
the	DT	the
most	RBS	most
conspicuous	JJ	conspicuous
and	CC	and
one	CD	one
of	IN	of
the	DT	the
best	RBS	well
marked	JJ	marked
.	SENT	.
"	``	"
And	CC	and
he	PP	he
went	VBD	go
on	RP	on
to	TO	to
say	VB	say
,	,	,
"	''	"
These	DT	these
differences	NNS	difference
do	VBP	do
not	RB	not
coincide	VB	coincide
