Please	UH	please
close	VB	close
your	PP$	your
eyes	NNS	eye
,	,	,
and	CC	and
open	VB	open
your	PP$	your
hands	NNS	hand
.	SENT	.
Now	RB	now
imagine	VB	imagine
what	WP	what
you	PP	you
could	MD	could
place	VB	place
in	IN	in
your	PP$	your
hands	NNS	hand
:	:	:
an	DT	an
apple	NN	apple
,	,	,
maybe	RB	maybe
your	PP$	your
wallet	NN	wallet
.	SENT	.
Now	RB	now
open	VB	open
your	PP$	your
eyes	NNS	eye
.	SENT	.
What	WP	what
about	IN	about
a	DT	a
life	NN	life
?	SENT	?
What	WP	what
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
a	DT	a
premature	JJ	premature
baby	NN	baby
.	SENT	.
He	PP	he
looks	VBZ	look
like	IN	like
he	PP	he
'	POS	'
s	NNS	<unknown>
resting	VBG	rest
peacefully	RB	peacefully
,	,	,
but	CC	but
in	IN	in
fact	NN	fact
he	PP	he
'	POS	'
s	NNS	<unknown>
struggling	VBG	struggle
to	TO	to
stay	VB	stay
alive	JJ	alive
because	IN	because
he	PP	he
can	MD	can
'	''	'
t	NN	t
regulate	VB	regulate
his	PP$	his
own	JJ	own
body	NN	body
temperature	NN	temperature
.	SENT	.
This	DT	this
baby	NN	baby
is	VBZ	be
so	RB	so
tiny	JJ	tiny
he	PP	he
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
enough	RB	enough
fat	JJ	fat
on	IN	on
his	PP$	his
body	NN	body
to	TO	to
stay	VB	stay
warm	JJ	warm
.	SENT	.
Sadly	RB	sadly
,	,	,
20	CD	@card@
million	CD	million
babies	NNS	baby
like	IN	like
this	DT	this
are	VBP	be
born	VBN	bear
every	DT	every
year	NN	year
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Four	CD	four
million	CD	million
of	IN	of
these	DT	these
babies	NNS	baby
die	VBP	die
annually	RB	annually
.	SENT	.
But	CC	but
the	DT	the
bigger	JJR	big
problem	NN	problem
is	VBZ	be
that	IN	that
the	DT	the
ones	NNS	one
who	WP	who
do	VBP	do
survive	VB	survive
grow	VB	grow
up	RP	up
with	IN	with
severe	JJ	severe
,	,	,
long-term	JJ	long-term
health	NN	health
problems	NNS	problem
.	SENT	.
