I	NP	I
'	POS	'
m	NN	m
speaking	NN	speaking
about	IN	about
compassion	NN	compassion
from	IN	from
an	DT	an
Islamic	JJ	Islamic
point	NN	point
of	IN	of
view	NN	view
,	,	,
and	CC	and
perhaps	RB	perhaps
my	PP$	my
faith	NN	faith
is	VBZ	be
not	RB	not
very	RB	very
well	RB	well
thought	VBN	think
of	IN	of
as	RB	as
being	VBG	be
one	CD	one
that	WDT	that
is	VBZ	be
grounded	VBN	ground
in	IN	in
compassion	NN	compassion
.	SENT	.
The	DT	the
truth	NN	truth
of	IN	of
the	DT	the
matter	NN	matter
is	VBZ	be
otherwise	RB	otherwise
.	SENT	.
Our	PP$	our
holy	JJ	holy
book	NN	book
,	,	,
the	DT	the
Koran	NN	Koran
,	,	,
consists	VBZ	consist
of	IN	of
114	CD	@card@
chapters	NNS	chapter
,	,	,
and	CC	and
each	DT	each
chapter	NN	chapter
begins	VBZ	begin
with	IN	with
what	WP	what
we	PP	we
call	VBP	call
the	DT	the
basmala	NN	<unknown>
,	,	,
the	DT	the
saying	VBG	say
of	IN	of
"	``	"
In	IN	in
the	DT	the
name	NN	name
of	IN	of
God	NP	God
,	,	,
the	DT	the
all	RB	all
compassionate	JJ	compassionate
,	,	,
the	DT	the
all	RB	all
merciful	JJ	merciful
,	,	,
"	''	"
or	CC	or
,	,	,
as	IN	as
Sir	NP	Sir
Richard	NP	Richard
Burton	NP	Burton
—	:	-
not	RB	not
the	DT	the
Richard	NP	Richard
Burton	NP	Burton
who	WP	who
was	VBD	be
married	VBN	marry
to	TO	to
Elizabeth	NP	Elizabeth
Taylor	NP	Taylor
,	,	,
but	CC	but
the	DT	the
Sir	NP	Sir
Richard	NP	Richard
Burton	NP	Burton
who	WP	who
lived	VBD	live
a	DT	a
century	NN	century
before	IN	before
that	WDT	that
and	CC	and
who	WP	who
was	VBD	be
a	DT	a
worldwide	JJ	worldwide
traveler	NN	traveler
and	CC	and
translator	NN	translator
of	IN	of
many	JJ	many
works	NNS	work
of	IN	of
literature	NN	literature
—	:	-
translates	VBZ	translate
it	PP	it
.	SENT	.
"	''	"
In	IN	in
the	DT	the
name	NN	name
of	IN	of
God	NP	God
,	,	,
the	DT	the
compassionating	NN	<unknown>
,	,	,
the	DT	the
compassionate	JJ	compassionate
.	SENT	.
"	''	"
And	CC	and
in	IN	in
a	DT	a
saying	VBG	say
of	IN	of
the	DT	the
Koran	NN	Koran
,	,	,
which	WDT	which
to	TO	to
Muslims	NPS	Muslims
is	VBZ	be
God	NP	God
speaking	NN	speaking
to	TO	to
humanity	NN	humanity
,	,	,
God	NP	God
says	VBZ	say
to	TO	to
his	PP$	his
prophet	NN	prophet
Muhammad	NP	Muhammad
—	:	-
whom	WP	whom
we	PP	we
believe	VBP	believe
to	TO	to
be	VB	be
the	DT	the
last	JJ	last
of	IN	of
a	DT	a
series	NN	series
of	IN	of
prophets	NNS	prophet
