Fifty	CD	fifty
years	NNS	year
ago	RB	ago
,	,	,
when	WRB	when
I	PP	I
began	VBD	begin
exploring	VBG	explore
the	DT	the
ocean	NN	ocean
,	,	,
no	DT	no
one	CD	one
â	NP	<unknown>
not	RB	not
Jacques	NP	Jacques
Perrin	NP	Perrin
,	,	,
not	RB	not
Jacques	NP	Jacques
Cousteau	NP	<unknown>
or	CC	or
Rachel	NP	Rachel
Carson	NP	Carson
â	NP	<unknown>
imagined	VBD	imagine
that	IN	that
we	PP	we
could	MD	could
do	VB	do
anything	NN	anything
to	TO	to
harm	VB	harm
the	DT	the
ocean	NN	ocean
by	IN	by
what	WP	what
we	PP	we
put	VBP	put
into	IN	into
it	PP	it
or	CC	or
by	IN	by
what	WP	what
we	PP	we
took	VBD	take
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
It	PP	it
seemed	VBD	seem
,	,	,
at	IN	at
that	DT	that
time	NN	time
,	,	,
to	TO	to
be	VB	be
a	DT	a
sea	NN	sea
of	IN	of
Eden	NP	Eden
,	,	,
but	CC	but
now	RB	now
we	PP	we
know	VBP	know
,	,	,
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
facing	VBG	face
paradise	NN	paradise
lost	VBD	lose
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
my	PP$	my
personal	JJ	personal
view	NN	view
of	IN	of
changes	NNS	change
in	IN	in
the	DT	the
sea	NN	sea
that	WDT	that
affect	VBP	affect
all	DT	all
of	IN	of
us	PP	us
,	,	,
and	CC	and
to	TO	to
consider	VB	consider
why	WRB	why
it	PP	it
matters	VBZ	matter
that	IN	that
in	IN	in
50	CD	@card@
years	NNS	year
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
lost	VBD	lose
â	NP	<unknown>
actually	RB	actually
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
taken	VBN	take
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
eaten	VBN	eat
â	NP	<unknown>
more	JJR	more
than	IN	than
90	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
big	JJ	big
fish	NN	fish
in	IN	in
the	DT	the
sea	NN	sea
;	:	;
why	WRB	why
you	PP	you
should	MD	should
care	VB	care
that	DT	that
nearly	RB	nearly
half	JJ	half
of	IN	of
the	DT	the
coral	JJ	coral
reefs	NNS	reef
have	VBP	have
disappeared	VBN	disappear
;	:	;
why	WRB	why
a	DT	a
mysterious	JJ	mysterious
depletion	NN	depletion
of	IN	of
oxygen	NN	oxygen
in	IN	in
large	JJ	large
areas	NNS	area
of	IN	of
the	DT	the
Pacific	NP	Pacific
should	MD	should
concern	VB	concern
not	RB	not
only	RB	only
the	DT	the
creatures	NNS	creature
that	WDT	that
are	VBP	be
dying	VBG	die
,	,	,
but	CC	but
it	PP	it
really	RB	really
should	MD	should
concern	VB	concern
you	PP	you
.	SENT	.
It	PP	it
does	VBZ	do
concern	VB	concern
you	PP	you
,	,	,
as	RB	as
well	RB	well
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
haunted	VBN	haunt
by	IN	by
the	DT	the
