Tyler	NP	Tyler
Dewar	NP	Dewar
:	:	:
The	DT	the
way	NN	way
I	PP	I
feel	VBP	feel
right	RB	right
now	RB	now
is	VBZ	be
that	IN	that
all	DT	all
of	IN	of
the	DT	the
other	JJ	other
speakers	NNS	speaker
have	VBP	have
said	VBN	say
exactly	RB	exactly
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
say	VB	say
.	SENT	.
And	CC	and
it	PP	it
seems	VBZ	seem
that	IN	that
the	DT	the
only	JJ	only
thing	NN	thing
left	VBN	leave
for	IN	for
me	PP	me
to	TO	to
say	VB	say
is	VBZ	be
to	TO	to
thank	VB	thank
you	PP	you
all	DT	all
for	IN	for
your	PP$	your
kindness	NN	kindness
.	SENT	.
TD	NP	TD
:	:	:
But	CC	but
maybe	RB	maybe
in	IN	in
the	DT	the
spirit	NN	spirit
of	IN	of
appreciating	VBG	appreciate
the	DT	the
kindness	NN	kindness
of	IN	of
you	PP	you
all	RB	all
,	,	,
I	PP	I
could	MD	could
share	VB	share
with	IN	with
you	PP	you
a	DT	a
little	JJ	little
story	NN	story
about	IN	about
myself	PP	myself
.	SENT	.
TD	NP	TD
:	:	:
From	IN	from
the	DT	the
time	NN	time
I	PP	I
was	VBD	be
very	RB	very
young	JJ	young
,	,	,
onward	RB	onward
,	,	,
I	PP	I
was	VBD	be
given	VBN	give
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
responsibilities	NNS	responsibility
,	,	,
and	CC	and
it	PP	it
always	RB	always
seemed	VBD	seem
to	TO	to
me	PP	me
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
young	JJ	young
,	,	,
that	DT	that
everything	NN	everything
was	VBD	be
laid	VBN	lay
out	RP	out
before	IN	before
me	PP	me
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
plans	NNS	plan
for	IN	for
me	PP	me
were	VBD	be
already	RB	already
made	VBN	make
.	SENT	.
I	PP	I
was	VBD	be
given	VBN	give
the	DT	the
clothes	NNS	clothes
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
wear	VB	wear
and	CC	and
told	VBD	tell
where	WRB	where
I	PP	I
needed	VBD	need
to	TO	to
be	VB	be
,	,	,
given	VBN	give
these	DT	these
very	RB	very
precious	JJ	precious
and	CC	and
holy	JJ	holy
looking	VBG	look
robes	NNS	robe
to	TO	to
wear	VB	wear
,	,	,
with	IN	with
the	DT	the
understanding	NN	understanding
that	IN	that
it	PP	it
was	VBD	be
something	NN	something
sacred	JJ	sacred
or	CC	or
important	JJ	important
.	SENT	.
TD	NP	TD
:	:	:
But	CC	but
before	IN	before
that	DT	that
kind	NN	kind
of	IN	of
formal	JJ	formal
lifestyle	NN	lifestyle
happened	VBN	happen
for	IN	for
me	PP	me
,	,	,
I	PP	I
was	VBD	be
living	VBG	live
in	IN	in
eastern	JJ	eastern
Tibet	NP	Tibet
with	IN	with
my	PP$	my
family	NN	family
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
was	VBD	be
seven	CD	seven
years	NNS	year
old	JJ	old
,	,	,
all	RB	all
of	IN	of
a	DT	a
sudden	JJ	sudden
,	,	,
a	DT	a
search	NN	search
party	NN	party
arrived	VBN	arrive
at	IN	at
my	PP$	my
home	NN	home
.	SENT	.
They	PP	they
were	VBD	be
looking	VBG	look
the	DT	the
next	JJ	next
Karmapa	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
noticed	VBD	notice
they	PP	they
were	VBD	be
talking	VBG	talk
to	TO	to
my	PP$	my
mom	NN	mom
and	CC	and
dad	NN	dad
,	,	,
and	CC	and
the	DT	the
news	NN	news
came	VBD	come
to	TO	to
me	PP	me
that	IN	that
they	PP	they
were	VBD	be
telling	VBG	tell
me	PP	me
that	IN	that
I	PP	I
was	VBD	be
the	DT	the
Karmapa	NP	<unknown>
.	SENT	.
And	CC	and
these	DT	these
days	NNS	day
,	,	,
people	NNS	people
ask	VBP	ask
me	PP	me
a	DT	a
lot	NN	lot
,	,	,
how	WRB	how
did	VBD	do
that	DT	that
feel	NN	feel
.	SENT	.
How	WRB	how
did	VBD	do
that	RB	that
feel	VB	feel
when	WRB	when
they	PP	they
came	VBD	come
and	CC	and
whisked	VBD	whisk
you	PP	you
away	RP	away
,	,	,
and	CC	and
your	PP$	your
lifestyle	NN	lifestyle
completely	RB	completely
changed	VBN	change
?	SENT	?
And	CC	and
what	WP	what
I	PP	I
mostly	RB	mostly
say	VBP	say
is	VBZ	be
that	IN	that
,	,	,
at	IN	at
that	DT	that
time	NN	time
,	,	,
it	PP	it
was	VBD	be
a	DT	a
pretty	RB	pretty
interesting	JJ	interesting
idea	NN	idea
to	TO	to
me	PP	me
.	SENT	.
I	PP	I
thought	VBD	think
that	IN	that
things	NNS	thing
would	MD	would
be	VB	be
pretty	JJ	pretty
fun	NN	fun
and	CC	and
there	EX	there
would	MD	would
be	VB	be
more	JJR	more
things	NNS	thing
to	TO	to
play	VB	play
with	IN	with
.	SENT	.
TD	NP	TD
:	:	:
But	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
turn	VB	turn
out	RP	out
to	TO	to
be	VB	be
so	IN	so
fun	NN	fun
and	CC	and
entertaining	JJ	entertaining
,	,	,
as	IN	as
I	PP	I
thought	VBD	think
it	PP	it
would	MD	would
have	VB	have
been	VBN	be
.	SENT	.
I	PP	I
was	VBD	be
placed	VBN	place
in	IN	in
a	DT	a
pretty	RB	pretty
strictly	RB	strictly
controlled	VBN	control
environment	NN	environment
.	SENT	.
And	CC	and
immediately	RB	immediately
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
responsibilities	NNS	responsibility
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
my	PP$	my
education	NN	education
and	CC	and
so	RB	so
forth	RB	forth
,	,	,
were	VBD	be
heaped	VBN	heap
upon	IN	upon
me	PP	me
.	SENT	.
I	PP	I
was	VBD	be
separated	VBN	separate
,	,	,
largely	RB	largely
,	,	,
from	IN	from
my	PP$	my
family	NN	family
,	,	,
including	VBG	include
my	PP$	my
mother	NN	mother
and	CC	and
father	NN	father
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
have	VB	have
many	JJ	many
personal	JJ	personal
friends	NNS	friend
to	TO	to
spend	VB	spend
time	NN	time
with	IN	with
,	,	,
but	CC	but
I	PP	I
was	VBD	be
expected	VBN	expect
to	TO	to
perform	VB	perform
these	DT	these
prescribed	JJ	prescribed
duties	NNS	duty
.	SENT	.
So	RB	so
it	PP	it
turned	VBD	turn
out	RP	out
that	IN	that
my	PP$	my
fantasy	NN	fantasy
about	IN	about
an	DT	an
entertaining	JJ	entertaining
life	NN	life
of	IN	of
being	VBG	be
the	DT	the
Karmapa	NP	<unknown>
wasn	NN	<unknown>
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
come	VB	come
true	JJ	true
.	SENT	.
It	PP	it
more	RBR	more
felt	VBD	feel
to	TO	to
be	VB	be
the	DT	the
case	NN	case
to	TO	to
me	PP	me
that	IN	that
I	PP	I
was	VBD	be
being	VBG	be
treated	VBN	treat
like	IN	like
a	DT	a
statue	NN	statue
,	,	,
and	CC	and
I	PP	I
was	VBD	be
to	TO	to
sit	VB	sit
in	IN	in
one	CD	one
place	NN	place
like	IN	like
a	DT	a
statue	NN	statue
would	MD	would
.	SENT	.
TD	NP	TD
:	:	:
Nevertheless	RB	nevertheless
,	,	,
I	PP	I
felt	VBD	feel
that	IN	that
,	,	,
even	RB	even
though	IN	though
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
separated	VBN	separate
from	IN	from
my	PP$	my
loved	VBN	love
